,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,3650183,2028953,1621230,3485367,1938407,1546960,164816,90546,74270,1822631,928665,893966,1789848,911361,878487,32783,17304,15479,1724980,1024421,700559,1612933,963655,649278,112047,60766,51281,102572,75867,26705,82586,63391,19195,19986,12476,7510
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,48657,25410,23247,47668,24712,22956,989,698,291,44830,22243,22587,43970,21674,22296,860,569,291,3649,2989,660,3520,2860,660,129,129,0,178,178,0,178,178,0,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,25473,14792,10681,24936,14678,10258,537,114,423,15182,8324,6858,14705,8210,6495,477,114,363,9556,5860,3696,9496,5860,3636,60,0,60,735,608,127,735,608,127,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,29969,16068,13901,29359,15606,13753,610,462,148,27125,13904,13221,26844,13771,13073,281,133,148,2701,2081,620,2372,1752,620,329,329,0,143,83,60,143,83,60,0,0,0
4,Madison & Cortland Counties PUMA,36535,20864,15671,34465,19593,14872,2070,1271,799,11891,5845,6046,11517,5501,6016,374,344,30,23455,14196,9259,21831,13341,8490,1624,855,769,1189,823,366,1117,751,366,72,72,0
5,Ontario & Yates Counties PUMA,42498,25003,17495,39287,23373,15914,3211,1630,1581,17401,8904,8497,17210,8882,8328,191,22,169,21933,13636,8297,19816,12488,7328,2117,1148,969,3164,2463,701,2261,2003,258,903,460,443
6,Monroe County (Central)--Greece & Gates Towns PUMA,37941,20268,17673,36437,19410,17027,1504,858,646,13817,6548,7269,13746,6477,7269,71,71,0,23037,12875,10162,21890,12196,9694,1147,679,468,1087,845,242,801,737,64,286,108,178
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,21121,11077,10044,20958,11007,9951,163,70,93,12731,6612,6119,12638,6612,6026,93,0,93,8121,4196,3925,8051,4126,3925,70,70,0,269,269,0,269,269,0,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",47823,25897,21926,44112,24122,19990,3711,1775,1936,12083,5508,6575,11796,5478,6318,287,30,257,33804,18894,14910,30450,17219,13231,3354,1675,1679,1936,1495,441,1866,1425,441,70,70,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,58202,29049,29153,56627,28501,28126,1575,548,1027,51022,24530,26492,49907,24442,25465,1115,88,1027,7180,4519,2661,6720,4059,2661,460,460,0,0,0,0,0,0,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,27752,15535,12217,27322,15105,12217,430,430,0,13468,6782,6686,13468,6782,6686,0,0,0,14048,8517,5531,13854,8323,5531,194,194,0,236,236,0,0,0,0,236,236,0
11,Erie County (Northwest) PUMA,35054,18588,16466,33055,17993,15062,1999,595,1404,15180,7738,7442,15180,7738,7442,0,0,0,19016,10236,8780,17017,9641,7376,1999,595,1404,858,614,244,858,614,244,0,0,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",9081,4273,4808,9007,4199,4808,74,74,0,6072,2697,3375,5998,2623,3375,74,74,0,2750,1319,1431,2750,1319,1431,0,0,0,259,257,2,259,257,2,0,0,0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,726,517,209,647,517,130,79,0,79,262,262,0,262,262,0,0,0,0,375,166,209,296,166,130,79,0,79,89,89,0,89,89,0,0,0,0
14,Rockland County (North)--New City & Congers PUMA,21250,10590,10660,20685,10489,10196,565,101,464,11882,6155,5727,11781,6054,5727,101,101,0,8223,3932,4291,7882,3932,3950,341,0,341,1145,503,642,1022,503,519,123,0,123
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",35381,19748,15633,32541,17920,14621,2840,1828,1012,9683,4084,5599,9137,3799,5338,546,285,261,23943,14612,9331,22029,13178,8851,1914,1434,480,1755,1052,703,1375,943,432,380,109,271
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,11503,5712,5791,11070,5364,5706,433,348,85,9214,4185,5029,9067,4038,5029,147,147,0,2061,1456,605,1775,1255,520,286,201,85,228,71,157,228,71,157,0,0,0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,11628,5732,5896,11338,5513,5825,290,219,71,4463,1666,2797,4329,1532,2797,134,134,0,6767,3842,2925,6611,3757,2854,156,85,71,398,224,174,398,224,174,0,0,0
18,Tompkins County PUMA,24656,11556,13100,23044,10808,12236,1612,748,864,14047,6998,7049,13956,6998,6958,91,0,91,9987,3936,6051,8543,3265,5278,1444,671,773,622,622,0,545,545,0,77,77,0
19,Dutchess County (Southwest) PUMA,36388,21630,14758,35059,20614,14445,1329,1016,313,14732,7642,7090,14599,7509,7090,133,133,0,20818,13438,7380,19713,12646,7067,1105,792,313,838,550,288,747,459,288,91,91,0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,5739,3349,2390,5686,3296,2390,53,53,0,2609,1406,1203,2609,1406,1203,0,0,0,3038,1851,1187,2985,1798,1187,53,53,0,92,92,0,92,92,0,0,0,0
21,Westchester County (Northwest) PUMA,28558,16463,12095,27981,16374,11607,577,89,488,19332,10296,9036,19027,10249,8778,305,47,258,8549,5823,2726,8507,5781,2726,42,42,0,677,344,333,447,344,103,230,0,230
