,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,4364191,2254217,2109974,3654168,2032845,1621323,710023,221372,488651,2105128,1013199,1091929,1823204,929238,893966,281924,83961,197963,2120877,1147942,972935,1727797,1027145,700652,393080,120797,272283,138186,93076,45110,103167,76462,26705,35019,16614,18405
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,59199,28348,30851,48657,25410,23247,10542,2938,7604,54272,24743,29529,44830,22243,22587,9442,2500,6942,4749,3427,1322,3649,2989,660,1100,438,662,178,178,0,178,178,0,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,29817,15512,14305,25473,14792,10681,4344,720,3624,16832,8522,8310,15182,8324,6858,1650,198,1452,11926,6271,5655,9556,5860,3696,2370,411,1959,1059,719,340,735,608,127,324,111,213
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,33454,17035,16419,29969,16068,13901,3485,967,2518,30072,14405,15667,27125,13904,13221,2947,501,2446,3100,2480,620,2701,2081,620,399,399,0,282,150,132,143,83,60,139,67,72
4,Madison & Cortland Counties PUMA,43242,22731,20511,36535,20864,15671,6707,1867,4840,13872,6414,7458,11891,5845,6046,1981,569,1412,28167,15480,12687,23455,14196,9259,4712,1284,3428,1203,837,366,1189,823,366,14,14,0
5,Ontario & Yates Counties PUMA,51772,27472,24300,42517,25022,17495,9255,2450,6805,19942,9165,10777,17401,8904,8497,2541,261,2280,28369,15783,12586,21952,13655,8297,6417,2128,4289,3461,2524,937,3164,2463,701,297,61,236
6,Monroe County (Central)--Greece & Gates Towns PUMA,45981,22960,23021,37941,20268,17673,8040,2692,5348,16029,7220,8809,13817,6548,7269,2212,672,1540,28689,14838,13851,23037,12875,10162,5652,1963,3689,1263,902,361,1087,845,242,176,57,119
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,25491,11818,13673,21121,11077,10044,4370,741,3629,15070,6796,8274,12731,6612,6119,2339,184,2155,10152,4753,5399,8121,4196,3925,2031,557,1474,269,269,0,269,269,0,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",59048,29847,29201,47893,25967,21926,11155,3880,7275,14055,6170,7885,12083,5508,6575,1972,662,1310,42115,21598,20517,33874,18964,14910,8241,2634,5607,2878,2079,799,1936,1495,441,942,584,358
9,NYC-Manhattan Community District 8--Upper East Side PUMA,66906,31259,35647,58202,29049,29153,8704,2210,6494,57708,26026,31682,51022,24530,26492,6686,1496,5190,9198,5233,3965,7180,4519,2661,2018,714,1304,0,0,0,0,0,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,34005,17945,16060,27752,15535,12217,6253,2410,3843,15246,7187,8059,13468,6782,6686,1778,405,1373,18179,10522,7657,14048,8517,5531,4131,2005,2126,580,236,344,236,236,0,344,0,344
11,Erie County (Northwest) PUMA,41656,19884,21772,35054,18588,16466,6602,1296,5306,17266,8052,9214,15180,7738,7442,2086,314,1772,23401,11218,12183,19016,10236,8780,4385,982,3403,989,614,375,858,614,244,131,0,131
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",10978,4445,6533,9156,4348,4808,1822,97,1725,7216,2828,4388,6147,2772,3375,1069,56,1013,3503,1360,2143,2750,1319,1431,753,41,712,259,257,2,259,257,2,0,0,0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,726,517,209,726,517,209,0,0,0,262,262,0,262,262,0,0,0,0,375,166,209,375,166,209,0,0,0,89,89,0,89,89,0,0,0,0
14,Rockland County (North)--New City & Congers PUMA,24911,11945,12966,21250,10590,10660,3661,1355,2306,13601,6843,6758,11882,6155,5727,1719,688,1031,9911,4458,5453,8223,3932,4291,1688,526,1162,1399,644,755,1145,503,642,254,141,113
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",42328,21944,20384,35381,19748,15633,6947,2196,4751,10867,4406,6461,9683,4084,5599,1184,322,862,29289,16246,13043,23943,14612,9331,5346,1634,3712,2172,1292,880,1755,1052,703,417,240,177
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,14369,7064,7305,11503,5712,5791,2866,1352,1514,11365,5072,6293,9214,4185,5029,2151,887,1264,2599,1744,855,2061,1456,605,538,288,250,405,248,157,228,71,157,177,177,0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,14142,6946,7196,11628,5732,5896,2514,1214,1300,5589,2226,3363,4463,1666,2797,1126,560,566,7949,4375,3574,6767,3842,2925,1182,533,649,604,345,259,398,224,174,206,121,85
18,Tompkins County PUMA,29630,13977,15653,24656,11556,13100,4974,2421,2553,16814,8225,8589,14047,6998,7049,2767,1227,1540,12143,5130,7013,9987,3936,6051,2156,1194,962,673,622,51,622,622,0,51,0,51
19,Dutchess County (Southwest) PUMA,44260,23767,20493,36615,21857,14758,7645,1910,5735,17350,8230,9120,14732,7642,7090,2618,588,2030,25784,14987,10797,21045,13665,7380,4739,1322,3417,1126,550,576,838,550,288,288,0,288
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,6959,3931,3028,5739,3349,2390,1220,582,638,3410,1700,1710,2609,1406,1203,801,294,507,3457,2139,1318,3038,1851,1187,419,288,131,92,92,0,92,92,0,0,0,0
21,Westchester County (Northwest) PUMA,32899,17996,14903,28558,16463,12095,4341,1533,2808,21501,11074,10427,19332,10296,9036,2169,778,1391,10635,6492,4143,8549,5823,2726,2086,669,1417,763,430,333,677,344,333,86,86,0
