,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,3654168,2032845,1621323,80466.5435363125,91047.17407820075,67200.35173250487,1823204,929238,893966,107919.73280170513,128857.88706983572,86155.450272158,1727797,1027145,700652,53834.796150820956,60255.1623607183,44422.63854524072,103167,76462,26705,41321.1652272529,45177.4552195862,30279.800486800224
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,48657,25410,23247,192177.96236923774,214850.42601338055,167395.95603733815,44830,22243,22587,200045.59480258756,228948.83446477543,171582.5514676584,3649,2989,660,102991.80597423951,120407.62796922047,24119.242424242424,178,178,0,39000.0,39000.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,25473,14792,10681,112587.15011973462,125440.43395078421,94786.7780170396,15182,8324,6858,143482.00757475957,163505.36148486304,119178.36249635462,9556,5860,3696,64983.113855169526,74193.90273037543,50379.42803030303,735,608,127,93346.9387755102,98223.68421052632,70000.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,29969,16068,13901,138659.54492976074,158048.57991038088,116247.99079202935,27125,13904,13221,142187.6144516129,164922.1146432681,118278.64458059148,2701,2081,620,108009.46316179192,117266.7948101874,76937.67741935483,143,83,60,48358.74125874126,29100.0,75000.0
4,Madison & Cortland Counties PUMA,36535,20864,15671,55993.20010948406,61371.46376533742,48832.7066556059,11891,5845,6046,71820.69910015978,79758.26740804107,64147.01620906384,23455,14196,9259,49319.55800468983,55371.988377007605,40039.90560535695,1189,823,366,29353.574432296045,34272.660996354796,18292.349726775956
5,Ontario & Yates Counties PUMA,42517,25022,17495,64625.3568690171,75044.54200303732,49723.45058588168,17401,8904,8497,95632.98603528533,126325.53908355795,63470.28245263034,21952,13655,8297,44184.50437317784,47884.515708531675,38095.11606604797,3164,2463,701,35912.91656131479,40235.02557856273,20726.961483594863
6,Monroe County (Central)--Greece & Gates Towns PUMA,37941,20268,17673,56961.543449039295,63778.08348134991,49144.102529281954,13817,6548,7269,76836.95440399509,95198.93494196702,60296.268124914015,23037,12875,10162,46158.90181013153,49476.820970873785,41955.18116512497,1087,845,242,33265.04139834407,38198.224852071005,16039.669421487602
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,21121,11077,10044,99266.2975237915,120657.09217297102,75675.513739546,12731,6612,6119,119237.37255518026,149099.62341197822,86969.15835920902,8121,4196,3925,69182.91835980791,79579.09914204004,58068.937579617836,269,269,0,62297.39776951673,62297.39776951673,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",47893,25967,21926,47345.673605746146,51392.402973004195,42553.124965794035,12083,5508,6575,67276.23768931557,75925.40849673202,60030.666159695815,33874,18964,14910,40803.36854224479,45499.93239822822,34829.81810865191,1936,1495,441,37424.72107438016,35751.612040133776,43096.598639455784
9,NYC-Manhattan Community District 8--Upper East Side PUMA,58202,29049,29153,178855.25016322464,211610.80071603155,146216.55129832265,51022,24530,26492,194034.74305201677,240335.47289033837,151163.04959987922,7180,4519,2661,70987.8286908078,55687.76277937597,96970.9169485156,0,0,0,#DIV/0!,0.0,0.0
