,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",18649,7958,3516,4442,9886,5252,4634,805,401,404
48,Wayne & Seneca Counties PUMA,59600,12300,5390,6910,42488,21611,20877,4812,2479,2333
49,Schenectady County--Schenectady City PUMA,59472,23408,10934,12474,33440,16392,17048,2624,1831,793
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,24537,15396,7083,8313,8505,5379,3126,636,232,404
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,28987,22754,10821,11933,6057,3280,2777,176,162,14
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,24891,10051,5254,4797,14215,7953,6262,625,185,440
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",58618,52682,31268,21414,5575,3456,2119,361,224,137
54,Columbia & Greene Counties PUMA,48840,14669,6246,8423,31460,16530,14930,2711,1790,921
55,Rensselaer County--Troy City PUMA,72137,22729,9868,12861,45703,22619,23084,3705,3041,664
56,Erie County (West Central)--Buffalo City (West) PUMA,33051,16598,8339,8259,14454,6815,7639,1999,1412,587
57,Erie County (South) PUMA,87474,29840,13282,16558,53994,29229,24765,3640,2247,1393
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,58591,17758,8669,9089,36786,18344,18442,4047,2094,1953
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",28318,22795,10329,12466,4921,2384,2537,602,403,199
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,8199,2845,1081,1764,3614,1692,1922,1740,1037,703
61,NYC-Manhattan Community District 10--Central Harlem PUMA,11730,9785,4853,4932,1426,846,580,519,339,180
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,26641,16064,7439,8625,10204,5331,4873,373,109,264
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1380,255,81,174,905,516,389,220,109,111
64,Albany County (East Central)--Albany City PUMA,26403,13406,6557,6849,11441,5718,5723,1556,1207,349
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,22941,11790,6245,5545,10550,5336,5214,601,211,390
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,46186,13332,5231,8101,30550,15607,14943,2304,1909,395
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",881,339,91,248,342,262,80,200,126,74
