,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
0,Total Geo,1429369.0,710554.0,718815.0,1187985.0,599933.0,588052.0,241384.0,110621.0,130763.0,674735.0,324519.0,350216.0,603946.0,292607.0,311339.0,70789.0,31912.0,38877.0,658060.0,332801.0,325259.0,521419.0,271612.0,249807.0,136641.0,61189.0,75452.0,96574.0,53234.0,43340.0,62620.0,35714.0,26906.0,33954.0,17520.0,16434.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,38814.0,19065.0,19749.0,35227.0,17839.0,17388.0,3587.0,1226.0,2361.0,34426.0,16344.0,18082.0,31630.0,15247.0,16383.0,2796.0,1097.0,1699.0,4210.0,2543.0,1667.0,3419.0,2414.0,1005.0,791.0,129.0,662.0,178.0,178.0,0.0,178.0,178.0,0.0,0.0,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,2515.0,1043.0,1472.0,2303.0,929.0,1374.0,212.0,114.0,98.0,1653.0,652.0,1001.0,1539.0,538.0,1001.0,114.0,114.0,0.0,862.0,391.0,471.0,764.0,391.0,373.0,98.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,24462.0,12284.0,12178.0,21444.0,10881.0,10563.0,3018.0,1403.0,1615.0,21844.0,10345.0,11499.0,19521.0,9516.0,10005.0,2323.0,829.0,1494.0,2409.0,1802.0,607.0,1853.0,1295.0,558.0,556.0,507.0,49.0,209.0,137.0,72.0,70.0,70.0,0.0,139.0,67.0,72.0
4,Madison & Cortland Counties PUMA,11990.0,6678.0,5312.0,9664.0,5530.0,4134.0,2326.0,1148.0,1178.0,1702.0,921.0,781.0,1617.0,836.0,781.0,85.0,85.0,0.0,9614.0,5117.0,4497.0,7697.0,4378.0,3319.0,1917.0,739.0,1178.0,674.0,640.0,34.0,350.0,316.0,34.0,324.0,324.0,0.0
5,Ontario & Yates Counties PUMA,10474.0,4693.0,5781.0,8872.0,4142.0,4730.0,1602.0,551.0,1051.0,3736.0,1596.0,2140.0,3644.0,1596.0,2048.0,92.0,0.0,92.0,5850.0,2769.0,3081.0,4397.0,2234.0,2163.0,1453.0,535.0,918.0,888.0,328.0,560.0,831.0,312.0,519.0,57.0,16.0,41.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,8543.0,3913.0,4630.0,6753.0,3327.0,3426.0,1790.0,586.0,1204.0,1535.0,247.0,1288.0,1263.0,247.0,1016.0,272.0,0.0,272.0,6206.0,3111.0,3095.0,4866.0,2525.0,2341.0,1340.0,586.0,754.0,802.0,555.0,247.0,624.0,555.0,69.0,178.0,0.0,178.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1861.0,646.0,1215.0,1392.0,646.0,746.0,469.0,0.0,469.0,689.0,81.0,608.0,474.0,81.0,393.0,215.0,0.0,215.0,1013.0,565.0,448.0,759.0,565.0,194.0,254.0,0.0,254.0,159.0,0.0,159.0,159.0,0.0,159.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",19777.0,9377.0,10400.0,15074.0,7029.0,8045.0,4703.0,2348.0,2355.0,2613.0,1039.0,1574.0,2341.0,1009.0,1332.0,272.0,30.0,242.0,14813.0,7021.0,7792.0,11905.0,5395.0,6510.0,2908.0,1626.0,1282.0,2351.0,1317.0,1034.0,828.0,625.0,203.0,1523.0,692.0,831.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,44618.0,19297.0,25321.0,41168.0,17702.0,23466.0,3450.0,1595.0,1855.0,38475.0,15200.0,23275.0,35025.0,13605.0,21420.0,3450.0,1595.0,1855.0,6143.0,4097.0,2046.0,6143.0,4097.0,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,2022.0,855.0,1167.0,1527.0,722.0,805.0,495.0,133.0,362.0,267.0,144.0,123.0,267.0,144.0,123.0,0.0,0.0,0.0,1755.0,711.0,1044.0,1260.0,578.0,682.0,495.0,133.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Erie County (Northwest) PUMA,8254.0,3718.0,4536.0,6892.0,3137.0,3755.0,1362.0,581.0,781.0,2834.0,1511.0,1323.0,2569.0,1511.0,1058.0,265.0,0.0,265.0,5358.0,2207.0,3151.0,4323.0,1626.0,2697.0,1035.0,581.0,454.0,62.0,0.0,62.0,0.0,0.0,0.0,62.0,0.0,62.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",6039.0,2985.0,3054.0,4565.0,2290.0,2275.0,1474.0,695.0,779.0,3917.0,1826.0,2091.0,2850.0,1346.0,1504.0,1067.0,480.0,587.0,2122.0,1159.0,963.0,1715.0,944.0,771.0,407.0,215.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,653.0,344.0,309.0,428.0,344.0,84.0,225.0,0.0,225.0,178.0,178.0,0.0,178.0,178.0,0.0,0.0,0.0,0.0,475.0,166.0,309.0,250.0,166.0,84.0,225.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Rockland County (North)--New City & Congers PUMA,2810.0,1512.0,1298.0,2267.0,1433.0,834.0,543.0,79.0,464.0,1007.0,577.0,430.0,928.0,577.0,351.0,79.0,0.0,79.0,1651.0,935.0,716.0,1339.0,856.0,483.0,312.0,79.0,233.0,152.0,0.0,152.0,0.0,0.0,0.0,152.0,0.0,152.0
