,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
22,Albany County (Outside Albany City) PUMA,93103,45716,47387,84073,40977,43096,9030,4739,4291,37270,18790,18480,35324,17855,17469,1946,935,1011,51529,23794,27735,46186,21056,25130,5343,2738,2605,4304,3132,1172,2563,2066,497,1741,1066,675
23,Monroe County (South) PUMA,73859,37025,36834,68504,34172,34332,5355,2853,2502,42153,19909,22244,41134,19366,21768,1019,543,476,29114,15285,13829,25827,13900,11927,3287,1385,1902,2592,1831,761,1543,906,637,1049,925,124
24,Jefferson & Lewis Counties PUMA,66236,34070,32166,52670,28092,24578,13566,5978,7588,13705,5912,7793,12492,5404,7088,1213,508,705,46688,24353,22335,37095,20520,16575,9593,3833,5760,5843,3805,2038,3083,2168,915,2760,1637,1123
25,"Chenango, Delaware & Broome (East) Counties PUMA",53363,27030,26333,39674,20687,18987,13689,6343,7346,10793,4273,6520,9458,3890,5568,1335,383,952,37681,19651,18030,27722,15216,12506,9959,4435,5524,4889,3106,1783,2494,1581,913,2395,1525,870
26,Erie County (Central) PUMA,77920,37002,40918,65686,32079,33607,12234,4923,7311,20219,8070,12149,18699,7421,11278,1520,649,871,54915,27286,27629,44979,23422,21557,9936,3864,6072,2786,1646,1140,2008,1236,772,778,410,368
27,St. Lawrence County PUMA,50351,25333,25018,38845,20340,18505,11506,4993,6513,12459,6335,6124,11594,6112,5482,865,223,642,33751,16670,17081,25151,12950,12201,8600,3720,4880,4141,2328,1813,2100,1278,822,2041,1050,991
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",37291,17690,19601,27778,13816,13962,9513,3874,5639,23300,11808,11492,19551,9653,9898,3749,2155,1594,10887,4397,6490,6999,3175,3824,3888,1222,2666,3104,1485,1619,1228,988,240,1876,497,1379
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,47120,23803,23317,43585,22230,21355,3535,1573,1962,22361,10375,11986,21992,10213,11779,369,162,207,23412,12731,10681,20977,11498,9479,2435,1233,1202,1347,697,650,616,519,97,731,178,553
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,67538,36058,31480,51895,28431,23464,15643,7627,8016,38229,19733,18496,36061,19154,16907,2168,579,1589,25002,13539,11463,14381,8309,6072,10621,5230,5391,4307,2786,1521,1453,968,485,2854,1818,1036
31,Cayuga & Onondaga (South) Counties PUMA,55752,27783,27969,48630,25020,23610,7122,2763,4359,17078,6882,10196,15994,6739,9255,1084,143,941,35266,18935,16331,30607,16892,13715,4659,2043,2616,3408,1966,1442,2029,1389,640,1379,577,802
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,52447,27007,25440,50373,26181,24192,2074,826,1248,23870,10738,13132,23177,10374,12803,693,364,329,28174,16088,12086,27024,15807,11217,1150,281,869,403,181,222,172,0,172,231,181,50
33,Fulton & Montgomery Counties PUMA,52547,26253,26294,39177,20624,18553,13370,5629,7741,8775,3632,5143,7731,3099,4632,1044,533,511,37049,19639,17410,28027,15568,12459,9022,4071,4951,6723,2982,3741,3419,1957,1462,3304,1025,2279
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,78931,37683,41248,70303,33973,36330,8628,3710,4918,33979,16261,17718,31999,15375,16624,1980,886,1094,42603,20353,22250,36895,18143,18752,5708,2210,3498,2349,1069,1280,1409,455,954,940,614,326
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,47974,23880,24094,42128,20922,21206,5846,2958,2888,15740,6607,9133,15065,6607,8458,675,0,675,28240,15122,13118,24220,12819,11401,4020,2303,1717,3994,2151,1843,2843,1496,1347,1151,655,496
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,53629,26122,27507,38908,20564,18344,14721,5558,9163,8792,3539,5253,7920,3217,4703,872,322,550,39979,20423,19556,29152,16416,12736,10827,4007,6820,4858,2160,2698,1836,931,905,3022,1229,1793
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,52829,27925,24904,48712,26523,22189,4117,1402,2715,17987,9133,8854,17472,8891,8581,515,242,273,32511,16947,15564,29583,16153,13430,2928,794,2134,2331,1845,486,1657,1479,178,674,366,308
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",31058,14665,16393,18378,10165,8213,12680,4500,8180,5544,1992,3552,4858,1992,2866,686,0,686,18088,8487,9601,10638,6059,4579,7450,2428,5022,7426,4186,3240,2882,2114,768,4544,2072,2472
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,11603,5705,5898,8219,4905,3314,3384,800,2584,4161,2216,1945,3480,2020,1460,681,196,485,5460,2546,2914,3426,1960,1466,2034,586,1448,1982,943,1039,1313,925,388,669,18,651
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",61236,29801,31435,56263,28606,27657,4973,1195,3778,50105,24091,26014,48799,23614,25185,1306,477,829,9282,4899,4383,6177,4193,1984,3105,706,2399,1849,811,1038,1287,799,488,562,12,550
