,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
22,Albany County (Outside Albany City) PUMA,79248,40039,39209,68087,36554,31533,11161,3485,7676,33407,16915,16492,29187,15539,13648,4220,1376,2844,42931,20628,22303,36427,18798,17629,6504,1830,4674,2910,2496,414,2473,2217,256,437,279,158
23,Monroe County (South) PUMA,64321,33580,30741,54299,31015,23284,10022,2565,7457,38390,19301,19089,33354,18029,15325,5036,1272,3764,24518,13310,11208,19892,12159,7733,4626,1151,3475,1413,969,444,1053,827,226,360,142,218
24,Jefferson & Lewis Counties PUMA,53343,29300,24043,44219,26830,17389,9124,2470,6654,11891,5334,6557,10745,4982,5763,1146,352,794,37600,21130,16470,30526,19322,11204,7074,1808,5266,3852,2836,1016,2948,2526,422,904,310,594
25,"Chenango, Delaware & Broome (East) Counties PUMA",39865,20386,19479,31323,17556,13767,8542,2830,5712,9152,3632,5520,7291,3161,4130,1861,471,1390,28841,15607,13234,22781,13509,9272,6060,2098,3962,1872,1147,725,1251,886,365,621,261,360
26,Erie County (Central) PUMA,63641,30941,32700,52808,28000,24808,10833,2941,7892,17853,7442,10411,15259,6878,8381,2594,564,2030,44452,22621,21831,36578,20517,16061,7874,2104,5770,1336,878,458,971,605,366,365,273,92
27,St. Lawrence County PUMA,38528,19807,18721,30957,17143,13814,7571,2664,4907,10946,5672,5274,9897,5471,4426,1049,201,848,25524,12534,12990,19436,10268,9168,6088,2266,3822,2058,1601,457,1624,1404,220,434,197,237
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",30160,14510,15650,22790,11211,11579,7370,3299,4071,21874,10987,10887,15919,8187,7732,5955,2800,3155,7315,2735,4580,6432,2585,3847,883,150,733,971,788,183,439,439,0,532,349,183
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,39055,20726,18329,31630,19404,12226,7425,1322,6103,19847,9806,10041,17074,9199,7875,2773,607,2166,18607,10416,8191,13955,9701,4254,4652,715,3937,601,504,97,601,504,97,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,55087,30660,24427,46652,27469,19183,8435,3191,5244,36653,19397,17256,32904,17788,15116,3749,1609,2140,16309,9719,6590,12309,8611,3698,4000,1108,2892,2125,1544,581,1439,1070,369,686,474,212
31,Cayuga & Onondaga (South) Counties PUMA,46628,24009,22619,38924,22088,16836,7704,1921,5783,14963,6253,8710,12880,5787,7093,2083,466,1617,29507,16404,13103,24498,15057,9441,5009,1347,3662,2158,1352,806,1546,1244,302,612,108,504
