,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,5851781,2994570,2857211,5539443,2816208,2723235,312338,178362,133976,2616523,1235955,1380568,2533987,1193064,1340923,82536,42891,39645,2957934,1587847,1370087,2773464,1481704,1291760,184470,106143,78327,277324,170768,106556,231992,141440,90552,45332,29328,16004
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,72230,35674,36556,70684,34303,36381,1546,1371,175,61834,28578,33256,60478,27397,33081,1356,1181,175,9697,6918,2779,9507,6728,2779,190,190,0,699,178,521,699,178,521,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,38242,20471,17771,36687,19399,17288,1555,1072,483,20336,10403,9933,19426,9732,9694,910,671,239,16199,8944,7255,15636,8625,7011,563,319,244,1707,1124,583,1625,1042,583,82,82,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,53993,27064,26929,51154,25737,25417,2839,1327,1512,42074,20284,21790,40443,19795,20648,1631,489,1142,10527,6280,4247,9482,5605,3877,1045,675,370,1392,500,892,1229,337,892,163,163,0
4,Madison & Cortland Counties PUMA,45649,24513,21136,43038,22850,20188,2611,1663,948,14356,6846,7510,13990,6566,7424,366,280,86,29755,16527,13228,27991,15403,12588,1764,1124,640,1538,1140,398,1057,881,176,481,259,222
5,Ontario & Yates Counties PUMA,53084,28316,24768,50952,27177,23775,2132,1139,993,20226,9283,10943,19979,9238,10741,247,45,202,29555,16473,13082,27743,15436,12307,1812,1037,775,3303,2560,743,3230,2503,727,73,57,16
6,Monroe County (Central)--Greece & Gates Towns PUMA,52154,26896,25258,50861,26150,24711,1293,746,547,16823,7499,9324,16582,7413,9169,241,86,155,33707,18350,15357,32735,17770,14965,972,580,392,1624,1047,577,1544,967,577,80,80,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,29101,14610,14491,27954,13994,13960,1147,616,531,16526,7766,8760,16125,7590,8535,401,176,225,11624,6279,5345,10878,5839,5039,746,440,306,951,565,386,951,565,386,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",59384,30407,28977,55893,28352,27541,3491,2055,1436,13893,6119,7774,13305,5959,7346,588,160,428,42367,21871,20496,39792,20261,19531,2575,1610,965,3124,2417,707,2796,2132,664,328,285,43
9,NYC-Manhattan Community District 8--Upper East Side PUMA,80773,37748,43025,78501,36186,42315,2272,1562,710,66934,30533,36401,64865,29174,35691,2069,1359,710,13839,7215,6624,13636,7012,6624,203,203,0,0,0,0,0,0,0,0,0,0
