,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,472317,262125,210192,385757,232855,152902,86560,29270,57290,113731,49883,63848,96590,44606,51984,17141,5277,11864,267844,152652,115192,215701,134567,81134,52143,18085,34058,90742,59590,31152,73466,53682,19784,17276,5908,11368
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",8522,5187,3335,7047,4743,2304,1475,444,1031,2510,1092,1418,1914,1031,883,596,61,535,4858,3243,1615,4281,2860,1421,577,383,194,1154,852,302,852,852,0,302,0,302
2,Ulster County (East) PUMA,1498,467,1031,1188,467,721,310,0,310,488,213,275,488,213,275,0,0,0,617,171,446,617,171,446,0,0,0,393,83,310,83,83,0,310,0,310
3,Albany County (East Central)--Albany City PUMA,90,0,90,90,0,90,0,0,0,90,0,90,90,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,399,133,266,133,133,0,266,0,266,399,133,266,133,133,0,266,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,508,102,406,235,102,133,273,0,273,102,102,0,102,102,0,0,0,0,406,0,406,133,0,133,273,0,273,0,0,0,0,0,0,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,7131,4175,2956,5315,3978,1337,1816,197,1619,1374,880,494,1162,880,282,212,0,212,4568,2263,2305,2964,2066,898,1604,197,1407,1189,1032,157,1189,1032,157,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",159,60,99,159,60,99,0,0,0,102,60,42,102,60,42,0,0,0,0,0,0,0,0,0,0,0,0,57,0,57,57,0,57,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,394,348,46,348,348,0,46,0,46,0,0,0,0,0,0,0,0,0,201,155,46,155,155,0,46,0,46,193,193,0,193,193,0,0,0,0
