,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
115,Fulton & Montgomery Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,283.0,147.0,136.0,283.0,147.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,0.0,147.0,147.0,0.0,0.0,0.0,0.0,136.0,0.0,136.0,136.0,0.0,136.0,0.0,0.0,0.0
117,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",116.0,58.0,58.0,116.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,58.0,58.0,116.0,58.0,58.0,0.0,0.0,0.0
118,NYC-Brooklyn Community District 4--Bushwick PUMA,6408.0,2471.0,3937.0,3976.0,1587.0,2389.0,2432.0,884.0,1548.0,727.0,113.0,614.0,422.0,113.0,309.0,305.0,0.0,305.0,3956.0,1455.0,2501.0,3164.0,1245.0,1919.0,792.0,210.0,582.0,1725.0,903.0,822.0,390.0,229.0,161.0,1335.0,674.0,661.0
119,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",3479.0,1842.0,1637.0,2584.0,1202.0,1382.0,895.0,640.0,255.0,589.0,127.0,462.0,468.0,127.0,341.0,121.0,0.0,121.0,2576.0,1495.0,1081.0,1949.0,1002.0,947.0,627.0,493.0,134.0,314.0,220.0,94.0,167.0,73.0,94.0,147.0,147.0,0.0
120,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",1519.0,601.0,918.0,1022.0,530.0,492.0,497.0,71.0,426.0,512.0,260.0,252.0,441.0,189.0,252.0,71.0,71.0,0.0,884.0,341.0,543.0,458.0,341.0,117.0,426.0,0.0,426.0,123.0,0.0,123.0,123.0,0.0,123.0,0.0,0.0,0.0
121,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,2317.0,1437.0,880.0,2223.0,1343.0,880.0,94.0,94.0,0.0,682.0,370.0,312.0,682.0,370.0,312.0,0.0,0.0,0.0,1553.0,985.0,568.0,1459.0,891.0,568.0,94.0,94.0,0.0,82.0,82.0,0.0,82.0,82.0,0.0,0.0,0.0,0.0
122,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,2127.0,997.0,1130.0,1963.0,930.0,1033.0,164.0,67.0,97.0,682.0,129.0,553.0,682.0,129.0,553.0,0.0,0.0,0.0,792.0,519.0,273.0,628.0,452.0,176.0,164.0,67.0,97.0,653.0,349.0,304.0,653.0,349.0,304.0,0.0,0.0,0.0
123,Suffolk County (Northwest)--Huntington Town (North) PUMA,376.0,376.0,0.0,0.0,0.0,0.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,376.0,0.0,0.0,0.0,0.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Orange County (Southeast) PUMA,356.0,0.0,356.0,59.0,0.0,59.0,297.0,0.0,297.0,59.0,0.0,59.0,59.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,0.0,297.0,0.0,0.0,0.0,297.0,0.0,297.0
125,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,135.0,0.0,135.0,135.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,135.0,135.0,0.0,135.0,0.0,0.0,0.0
126,Suffolk County (Northwest)--Smithtown Town PUMA,558.0,415.0,143.0,558.0,415.0,143.0,0.0,0.0,0.0,197.0,54.0,143.0,197.0,54.0,143.0,0.0,0.0,0.0,361.0,361.0,0.0,361.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
