,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,385402,232845,152557,327830,196884,130946,57572,35961,21611,96245,44606,51639,90205,40430,49775,6040,4176,1864,215691,134557,81134,183270,116292,66978,32421,18265,14156,73466,53682,19784,54355,40162,14193,19111,13520,5591
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",8467,5233,3234,5863,3446,2417,2604,1787,817,2455,1138,1317,2277,1092,1185,178,46,132,4858,3243,1615,3060,1890,1170,1798,1353,445,1154,852,302,526,464,62,628,388,240
2,Ulster County (East) PUMA,1713,570,1143,1016,382,634,697,188,509,600,213,387,384,196,188,216,17,199,720,274,446,549,103,446,171,171,0,393,83,310,83,83,0,310,0,310
3,Albany County (East Central)--Albany City PUMA,121,0,121,121,0,121,0,0,0,90,0,90,90,0,90,0,0,0,31,0,31,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,541,133,408,400,133,267,141,0,141,399,133,266,258,133,125,141,0,141,142,0,142,142,0,142,0,0,0,0,0,0,0,0,0,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,634,102,532,361,102,259,273,0,273,102,102,0,102,102,0,0,0,0,406,0,406,133,0,133,273,0,273,126,0,126,126,0,126,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,8738,4487,4251,6575,3497,3078,2163,990,1173,1817,880,937,1817,880,937,0,0,0,5401,2575,2826,3676,1837,1839,1725,738,987,1520,1032,488,1082,780,302,438,252,186
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",275,91,184,190,91,99,85,0,85,102,60,42,102,60,42,0,0,0,85,0,85,0,0,0,85,0,85,88,31,57,88,31,57,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,903,434,469,318,193,125,585,241,344,79,0,79,79,0,79,0,0,0,287,241,46,46,0,46,241,241,0,537,193,344,193,193,0,344,0,344
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",11116,5442,5674,7348,4229,3119,3768,1213,2555,2984,1340,1644,2257,975,1282,727,365,362,5050,2883,2167,3652,2308,1344,1398,575,823,3082,1219,1863,1439,946,493,1643,273,1370
11,Livingston & Wyoming Counties PUMA,477,196,281,123,21,102,354,175,179,219,175,44,44,0,44,175,175,0,58,0,58,58,0,58,0,0,0,200,21,179,21,21,0,179,0,179
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,2035,986,1049,1270,908,362,765,78,687,407,264,143,407,264,143,0,0,0,1262,532,730,733,514,219,529,18,511,366,190,176,130,130,0,236,60,176
