,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,410551.0,187578.0,222973.0,94291.0,39312.0,54979.0,316260.0,148266.0,167994.0
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Tompkins County PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4612.0,2667.0,1945.0,186.0,66.0,120.0,4426.0,2601.0,1825.0
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",17322.0,8690.0,8632.0,5107.0,2295.0,2812.0,12215.0,6395.0,5820.0
5,Madison & Cortland Counties PUMA,48.0,0.0,48.0,0.0,0.0,0.0,48.0,0.0,48.0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,2862.0,748.0,2114.0,416.0,64.0,352.0,2446.0,684.0,1762.0
7,Dutchess County (Southwest) PUMA,303.0,0.0,303.0,101.0,0.0,101.0,202.0,0.0,202.0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",7914.0,3701.0,4213.0,227.0,146.0,81.0,7687.0,3555.0,4132.0
9,Dutchess County (North & East) PUMA,592.0,284.0,308.0,365.0,149.0,216.0,227.0,135.0,92.0
10,Erie County (Central) PUMA,610.0,208.0,402.0,485.0,83.0,402.0,125.0,125.0,0.0
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,4321.0,1905.0,2416.0,2880.0,1142.0,1738.0,1441.0,763.0,678.0
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",122.0,18.0,104.0,104.0,0.0,104.0,18.0,18.0,0.0
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,21647.0,10210.0,11437.0,2743.0,942.0,1801.0,18904.0,9268.0,9636.0
14,Westchester County (Northeast) PUMA,1862.0,1463.0,399.0,195.0,119.0,76.0,1667.0,1344.0,323.0
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,698.0,250.0,448.0,637.0,189.0,448.0,61.0,61.0,0.0
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,179.0,179.0,0.0,112.0,112.0,0.0,67.0,67.0,0.0
18,Niagara County (North & East) PUMA,43.0,0.0,43.0,43.0,0.0,43.0,0.0,0.0,0.0
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",1031.0,370.0,661.0,836.0,295.0,541.0,195.0,75.0,120.0
20,"Chenango, Delaware & Broome (East) Counties PUMA",135.0,0.0,135.0,39.0,0.0,39.0,96.0,0.0,96.0
21,Oswego County PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",307.0,0.0,307.0,0.0,0.0,0.0,307.0,0.0,307.0
