,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
18,Niagara County (North & East) PUMA,0,0,0,0,0,0,0,0,0
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",729,325,404,679,325,354,50,0,50
20,"Chenango, Delaware & Broome (East) Counties PUMA",135,0,135,135,0,135,0,0,0
21,Oswego County PUMA,0,0,0,0,0,0,0,0,0
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0,0,0,0,0,0,0,0,0
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,796,515,281,796,515,281,0,0,0
24,Ontario & Yates Counties PUMA,122,122,0,122,122,0,0,0,0
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",1991,560,1431,1461,372,1089,530,188,342
26,Erie County (Northwest) PUMA,0,0,0,0,0,0,0,0,0
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,4142,2460,1682,3583,2093,1490,559,367,192
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",2943,2438,505,2730,2225,505,213,213,0
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",591,55,536,591,55,536,0,0,0
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",6412,4166,2246,6188,4166,2022,224,0,224
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,3969,2397,1572,3644,2244,1400,325,153,172
32,Erie County (West Central)--Buffalo City (West) PUMA,1428,875,553,1258,875,383,170,0,170
33,Schenectady County--Schenectady City PUMA,338,139,199,139,139,0,199,0,199
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,2064,1496,568,2064,1496,568,0,0,0
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",0,0,0,0,0,0,0,0,0
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,2491,1500,991,2377,1386,991,114,114,0
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,4199,2391,1808,3195,2137,1058,1004,254,750
38,Erie County (Northeast) PUMA,0,0,0,0,0,0,0,0,0
39,Monroe County (North & West) PUMA,0,0,0,0,0,0,0,0,0
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,695,546,149,336,229,107,359,317,42
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",6020,3338,2682,5563,3020,2543,457,318,139
42,Erie County (West Central)--Buffalo City (East) PUMA,0,0,0,0,0,0,0,0,0
43,Suffolk County (Northwest)--Smithtown Town PUMA,110,0,110,110,0,110,0,0,0
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,2693,1216,1477,2693,1216,1477,0,0,0
45,NYC-Manhattan Community District 8--Upper East Side PUMA,724,724,0,724,724,0,0,0,0
46,Suffolk County (Southwest)--Islip Town (South) PUMA,161,161,0,161,161,0,0,0,0
47,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",607,173,434,607,173,434,0,0,0
48,Erie County (South) PUMA,33,0,33,33,0,33,0,0,0
49,Albany County (Outside Albany City) PUMA,0,0,0,0,0,0,0,0,0
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1306,793,513,1227,793,434,79,0,79
51,Erie County (North Central) PUMA,361,361,0,361,361,0,0,0,0
52,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",203,203,0,203,203,0,0,0,0
53,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",15456,8861,6595,13448,7157,6291,2008,1704,304
54,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,190,190,0,190,190,0,0,0,0
55,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",3213,2083,1130,2954,1897,1057,259,186,73
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",1831,881,950,1726,881,845,105,0,105
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",2660,1916,744,2495,1751,744,165,165,0
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,31,0,31,31,0,31,0,0,0
59,Albany County (East Central)--Albany City PUMA,939,497,442,939,497,442,0,0,0
60,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,4981,3071,1910,4495,2585,1910,486,486,0
61,Rensselaer County--Troy City PUMA,63,63,0,63,63,0,0,0,0
62,Warren & Washington Counties PUMA,152,0,152,152,0,152,0,0,0
63,Orange County (Northeast)--Greater Newburgh City PUMA,1537,1283,254,1404,1150,254,133,133,0
64,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",709,462,247,709,462,247,0,0,0
65,Fulton & Montgomery Counties PUMA,165,0,165,165,0,165,0,0,0
66,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,10723,5372,5351,9987,4884,5103,736,488,248
67,Monroe County (Central)--Rochester City (East) PUMA,705,270,435,591,156,435,114,114,0
68,Chautauqua County PUMA,284,284,0,284,284,0,0,0,0
69,Nassau County (Northwest)--North Hempstead Town (North) PUMA,724,626,98,724,626,98,0,0,0
70,"Clinton, Franklin, Essex & Hamilton Counties PUMA",311,164,147,164,164,0,147,0,147
71,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,835,339,496,835,339,496,0,0,0
72,Monroe County (Central)--Rochester City (West) PUMA,572,176,396,283,0,283,289,176,113
73,Orange County (Southeast) PUMA,297,297,0,297,297,0,0,0,0
74,Rockland County (North)--New City & Congers PUMA,1427,92,1335,1427,92,1335,0,0,0
75,Westchester County (Southeast) PUMA,2766,1893,873,2766,1893,873,0,0,0
76,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1564,609,955,1564,609,955,0,0,0
77,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,401,0,401,401,0,401,0,0,0
78,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,8532,5532,3000,7938,5229,2709,594,303,291
79,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",2085,1212,873,1753,1028,725,332,184,148
80,Onondaga County (Central)--Syracuse City (Outer) PUMA,0,0,0,0,0,0,0,0,0
81,Wayne & Seneca Counties PUMA,0,0,0,0,0,0,0,0,0
82,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",7328,4112,3216,6490,3677,2813,838,435,403
83,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,966,277,689,966,277,689,0,0,0
84,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,1471,818,653,1375,722,653,96,96,0
85,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",832,341,491,686,292,394,146,49,97
86,Suffolk County (South Central)--Brookhaven Town (South) PUMA,889,535,354,889,535,354,0,0,0
87,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,7705,4102,3603,7464,4102,3362,241,0,241
88,Livingston & Wyoming Counties PUMA,0,0,0,0,0,0,0,0,0
89,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",643,222,421,643,222,421,0,0,0
90,Cattaraugus & Allegany Counties PUMA,0,0,0,0,0,0,0,0,0
91,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,0,0,0,0,0,0,0,0,0
92,Orange County (Northwest) PUMA,784,580,204,784,580,204,0,0,0
93,Columbia & Greene Counties PUMA,154,154,0,154,154,0,0,0,0
94,Suffolk County (East) PUMA,1025,721,304,1025,721,304,0,0,0
95,Monroe County (East) PUMA,310,159,151,310,159,151,0,0,0
96,Sullivan & Ulster (West) Counties PUMA,450,354,96,354,354,0,96,0,96
97,Cayuga & Onondaga (South) Counties PUMA,0,0,0,0,0,0,0,0,0
98,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",7199,3828,3371,7009,3783,3226,190,45,145
99,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,1281,846,435,1281,846,435,0,0,0
100,Onondaga County (Central)--Syracuse City PUMA,798,247,551,798,247,551,0,0,0
101,Ulster County (East) PUMA,81,81,0,81,81,0,0,0,0
102,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,2747,1215,1532,2549,1215,1334,198,0,198
103,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,1945,997,948,1743,795,948,202,202,0
104,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,90,37,53,90,37,53,0,0,0
105,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,550,515,35,550,515,35,0,0,0
106,Saratoga County (Outer) PUMA,0,0,0,0,0,0,0,0,0
107,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",70,0,70,70,0,70,0,0,0
108,NYC-Brooklyn Community District 4--Bushwick PUMA,6790,3664,3126,5549,3259,2290,1241,405,836
109,Suffolk County (Central)--Islip Town (East) PUMA,0,0,0,0,0,0,0,0,0
110,Westchester County (Southwest)--Yonkers City PUMA,3801,2618,1183,3638,2455,1183,163,163,0
111,Nassau County (West Central)--North Hempstead Town (South) PUMA,818,166,652,818,166,652,0,0,0
112,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",1795,859,936,1795,859,936,0,0,0
113,Jefferson & Lewis Counties PUMA,0,0,0,0,0,0,0,0,0
114,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,1215,656,559,1133,656,477,82,0,82
115,Suffolk County (Northwest)--Huntington Town (South) PUMA,118,56,62,118,56,62,0,0,0
116,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,801,323,478,801,323,478,0,0,0
117,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",1719,1551,168,1719,1551,168,0,0,0
118,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,0,0,0,0,0,0
119,Monroe County (Central)--Greece & Gates Towns PUMA,314,138,176,314,138,176,0,0,0
120,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,11844,8082,3762,11013,7564,3449,831,518,313
121,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",2737,1253,1484,2737,1253,1484,0,0,0
122,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,4747,2945,1802,4389,2680,1709,358,265,93
123,Broome (Outer West) & Tioga Counties PUMA,0,0,0,0,0,0,0,0,0
124,Putnam County PUMA,686,686,0,572,572,0,114,114,0
125,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",141,0,141,141,0,141,0,0,0
126,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",1193,599,594,1153,599,554,40,0,40
127,Nassau County (Central)--Hempstead Town (Northeast) PUMA,123,123,0,123,123,0,0,0,0
128,Suffolk County (Central)--Brookhaven Town (Central) PUMA,575,355,220,412,192,220,163,163,0
129,NYC-Manhattan Community District 10--Central Harlem PUMA,473,271,202,398,196,202,75,75,0
130,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",8635,4781,3854,8374,4520,3854,261,261,0
131,NYC-Manhattan Community District 11--East Harlem PUMA,1597,703,894,1597,703,894,0,0,0
132,Westchester County (Northwest) PUMA,3780,2705,1075,3548,2705,843,232,0,232
133,Onondaga County (North) PUMA,0,0,0,0,0,0,0,0,0
134,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,529,369,160,369,369,0,160,0,160
135,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,1517,1053,464,1517,1053,464,0,0,0
136,Genesee & Orleans Counties PUMA,43,10,33,10,10,0,33,0,33
137,Westchester County (Central)--White Plains City PUMA,1239,445,794,1056,445,611,183,0,183
138,Saratoga County (South & Central) PUMA,0,0,0,0,0,0,0,0,0
139,Monroe County (South) PUMA,327,0,327,327,0,327,0,0,0
140,Suffolk County (Central)--Islip Town (Northwest) PUMA,5617,3064,2553,5224,2895,2329,393,169,224
141,St. Lawrence County PUMA,79,0,79,0,0,0,79,0,79
142,Nassau County (West Central)--Hempstead Town (West Central) PUMA,252,91,161,252,91,161,0,0,0
143,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,10453,5633,4820,10224,5633,4591,229,0,229
144,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",6862,3976,2886,6238,3877,2361,624,99,525
145,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0,0,0,0,0,0,0,0,0
146,Capital Region,1646,853,793,1447,853,594,199,0,199
147,Central NY,846,247,599,846,247,599,0,0,0
148,Finger Lakes,2393,875,1518,1957,585,1372,436,290,146
149,Long Island,35939,19091,16848,33939,18505,15434,2000,586,1414
150,Mid-Hudson,27248,18348,8900,25820,17659,8161,1428,689,739
151,Mohawk Valley,860,546,314,501,229,272,359,317,42
152,New York City,199465,113953,85512,185300,106047,79253,14165,7906,6259
153,North Country,390,164,226,164,164,0,226,0,226
154,Southern Tier,225,37,188,225,37,188,0,0,0
155,Western NY,2385,1603,782,2215,1603,612,170,0,170
