,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,271397,155717,115680,252414,145929,106485,18983,9788,9195
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0,0,0,0,0,0,0,0,0
2,Tompkins County PUMA,0,0,0,0,0,0,0,0,0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4415,2667,1748,4213,2601,1612,202,66,136
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",12199,6662,5537,11807,6513,5294,392,149,243
5,Madison & Cortland Counties PUMA,48,0,48,48,0,48,0,0,0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,1601,634,967,1416,634,782,185,0,185
7,Dutchess County (Southwest) PUMA,202,0,202,202,0,202,0,0,0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",4726,2333,2393,4483,2171,2312,243,162,81
9,Dutchess County (North & East) PUMA,592,284,308,500,284,216,92,0,92
10,Erie County (Central) PUMA,179,83,96,179,83,96,0,0,0
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,3419,1450,1969,3290,1450,1840,129,0,129
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0,0,0,0,0,0,0,0,0
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,15504,9489,6015,14683,9000,5683,821,489,332
14,Westchester County (Northeast) PUMA,1539,1463,76,1539,1463,76,0,0,0
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,252,142,110,252,142,110,0,0,0
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,100,0,100,100,0,100,0,0,0
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,67,67,0,67,67,0,0,0,0
