,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,411502,187858,223644,202540,101535,101005,208962,86323,122639
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",17,17,0,0,0,0,17,17,0
2,Tompkins County PUMA,0,0,0,0,0,0,0,0,0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4612,2667,1945,2837,1668,1169,1775,999,776
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",17324,8692,8632,8799,4310,4489,8525,4382,4143
5,Madison & Cortland Counties PUMA,48,0,48,48,0,48,0,0,0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,2862,748,2114,1044,501,543,1818,247,1571
7,Dutchess County (Southwest) PUMA,303,0,303,101,0,101,202,0,202
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",8067,3747,4320,1870,975,895,6197,2772,3425
9,Dutchess County (North & East) PUMA,592,284,308,513,205,308,79,79,0
10,Erie County (Central) PUMA,610,208,402,199,83,116,411,125,286
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,4321,1905,2416,3026,1550,1476,1295,355,940
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",122,18,104,73,0,73,49,18,31
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,21647,10210,11437,7522,3984,3538,14125,6226,7899
14,Westchester County (Northeast) PUMA,1862,1463,399,1385,1309,76,477,154,323
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,715,267,448,556,108,448,159,159,0
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,100,0,100,0,0,0,100,0,100
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,179,179,0,179,179,0,0,0,0
18,Niagara County (North & East) PUMA,43,0,43,43,0,43,0,0,0
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",1031,370,661,936,325,611,95,45,50
20,"Chenango, Delaware & Broome (East) Counties PUMA",135,0,135,0,0,0,135,0,135
21,Oswego County PUMA,0,0,0,0,0,0,0,0,0
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",363,56,307,0,0,0,363,56,307
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,1802,603,1199,1118,303,815,684,300,384
24,Ontario & Yates Counties PUMA,339,122,217,339,122,217,0,0,0
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",3866,1260,2606,1686,1077,609,2180,183,1997
26,Erie County (Northwest) PUMA,0,0,0,0,0,0,0,0,0
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,7379,2990,4389,3068,1304,1764,4311,1686,2625
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",4154,2438,1716,1730,1325,405,2424,1113,1311
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",852,231,621,82,0,82,770,231,539
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",9956,4644,5312,4025,2527,1498,5931,2117,3814
