,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,269056,154610,114446,205687,133392,72295,63369,21218,42151
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0,0,0,0,0,0,0,0,0
2,Tompkins County PUMA,0,0,0,0,0,0,0,0,0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4295,2601,1694,3658,2539,1119,637,62,575
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",12422,6908,5514,9749,6339,3410,2673,569,2104
5,Madison & Cortland Counties PUMA,119,71,48,48,0,48,71,71,0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,1511,634,877,866,507,359,645,127,518
7,Dutchess County (Southwest) PUMA,202,0,202,0,0,0,202,0,202
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",4599,2217,2382,3438,1826,1612,1161,391,770
9,Dutchess County (North & East) PUMA,500,284,216,344,149,195,156,135,21
10,Erie County (Central) PUMA,262,166,96,209,166,43,53,0,53
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,3419,1450,1969,2841,1321,1520,578,129,449
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",18,18,0,0,0,0,18,18,0
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,15426,9185,6241,10978,7812,3166,4448,1373,3075
14,Westchester County (Northeast) PUMA,1539,1463,76,1539,1463,76,0,0,0
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,252,142,110,171,61,110,81,81,0
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,100,0,100,100,0,100,0,0,0
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,67,67,0,67,67,0,0,0,0
18,Niagara County (North & East) PUMA,0,0,0,0,0,0,0,0,0
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",729,325,404,679,325,354,50,0,50
20,"Chenango, Delaware & Broome (East) Counties PUMA",135,0,135,96,0,96,39,0,39
21,Oswego County PUMA,0,0,0,0,0,0,0,0,0
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0,0,0,0,0,0,0,0,0
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,796,515,281,796,515,281,0,0,0
24,Ontario & Yates Counties PUMA,131,131,0,131,131,0,0,0,0
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",2565,1134,1431,1769,1134,635,796,0,796
26,Erie County (Northwest) PUMA,0,0,0,0,0,0,0,0,0
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,4379,2697,1682,2673,2040,633,1706,657,1049
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",2972,2438,534,1882,1691,191,1090,747,343
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",591,55,536,591,55,536,0,0,0
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",6297,4166,2131,5118,4053,1065,1179,113,1066
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,4111,2528,1583,3042,2194,848,1069,334,735
32,Erie County (West Central)--Buffalo City (West) PUMA,1625,875,750,870,509,361,755,366,389
33,Schenectady County--Schenectady City PUMA,139,139,0,95,95,0,44,44,0
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,2064,1496,568,1663,1425,238,401,71,330
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",0,0,0,0,0,0,0,0,0
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,2491,1500,991,1217,1154,63,1274,346,928
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,3659,2391,1268,2704,1857,847,955,534,421
38,Erie County (Northeast) PUMA,0,0,0,0,0,0,0,0,0
39,Monroe County (North & West) PUMA,0,0,0,0,0,0,0,0,0
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,653,546,107,653,546,107,0,0,0
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",5840,3088,2752,4813,2654,2159,1027,434,593
42,Erie County (West Central)--Buffalo City (East) PUMA,41,0,41,0,0,0,41,0,41
43,Suffolk County (Northwest)--Smithtown Town PUMA,110,0,110,110,0,110,0,0,0
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,2693,1216,1477,1959,1216,743,734,0,734
45,NYC-Manhattan Community District 8--Upper East Side PUMA,724,724,0,724,724,0,0,0,0
46,Suffolk County (Southwest)--Islip Town (South) PUMA,247,161,86,161,161,0,86,0,86
47,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",607,173,434,362,173,189,245,0,245
48,Erie County (South) PUMA,33,0,33,0,0,0,33,0,33
49,Albany County (Outside Albany City) PUMA,0,0,0,0,0,0,0,0,0
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1227,793,434,773,631,142,454,162,292
51,Erie County (North Central) PUMA,361,361,0,174,174,0,187,187,0
52,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",203,203,0,203,203,0,0,0,0
53,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",15031,8260,6771,12279,7656,4623,2752,604,2148
54,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,399,399,0,190,190,0,209,209,0
55,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",3419,2038,1381,3115,2038,1077,304,0,304
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",1765,920,845,1244,774,470,521,146,375
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",2769,1965,804,2129,1784,345,640,181,459
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,118,0,118,118,0,118,0,0,0
59,Albany County (East Central)--Albany City PUMA,939,497,442,399,48,351,540,449,91
60,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,5116,2918,2198,3784,1966,1818,1332,952,380
61,Rensselaer County--Troy City PUMA,63,63,0,63,63,0,0,0,0
62,Warren & Washington Counties PUMA,152,0,152,0,0,0,152,0,152
63,Orange County (Northeast)--Greater Newburgh City PUMA,1404,1150,254,1345,1150,195,59,0,59
64,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",709,462,247,462,462,0,247,0,247
65,Fulton & Montgomery Counties PUMA,165,0,165,165,0,165,0,0,0
66,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,10496,5240,5256,7475,4010,3465,3021,1230,1791
67,Monroe County (Central)--Rochester City (East) PUMA,705,270,435,540,235,305,165,35,130
68,Chautauqua County PUMA,284,284,0,284,284,0,0,0,0
69,Nassau County (Northwest)--North Hempstead Town (North) PUMA,724,626,98,626,626,0,98,0,98
70,"Clinton, Franklin, Essex & Hamilton Counties PUMA",164,164,0,164,164,0,0,0,0
71,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,835,339,496,532,203,329,303,136,167
72,Monroe County (Central)--Rochester City (West) PUMA,283,0,283,135,0,135,148,0,148
73,Orange County (Southeast) PUMA,297,297,0,297,297,0,0,0,0
74,Rockland County (North)--New City & Congers PUMA,1427,92,1335,854,92,762,573,0,573
75,Westchester County (Southeast) PUMA,2766,1893,873,2168,1677,491,598,216,382
76,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1694,609,1085,1114,526,588,580,83,497
77,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,401,0,401,168,0,168,233,0,233
78,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,7938,5229,2709,6835,4819,2016,1103,410,693
79,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",1753,1028,725,1609,1028,581,144,0,144
80,Onondaga County (Central)--Syracuse City (Outer) PUMA,0,0,0,0,0,0,0,0,0
81,Wayne & Seneca Counties PUMA,0,0,0,0,0,0,0,0,0
82,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",7060,3844,3216,5256,3137,2119,1804,707,1097
83,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,966,277,689,277,277,0,689,0,689
84,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,1471,818,653,932,578,354,539,240,299
85,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",735,341,394,609,215,394,126,126,0
86,Suffolk County (South Central)--Brookhaven Town (South) PUMA,955,601,354,955,601,354,0,0,0
87,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,7805,4102,3703,5866,3752,2114,1939,350,1589
88,Livingston & Wyoming Counties PUMA,0,0,0,0,0,0,0,0,0
89,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",643,222,421,394,222,172,249,0,249
90,Cattaraugus & Allegany Counties PUMA,0,0,0,0,0,0,0,0,0
91,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,0,0,0,0,0,0,0,0,0
92,Orange County (Northwest) PUMA,784,580,204,784,580,204,0,0,0
93,Columbia & Greene Counties PUMA,154,154,0,154,154,0,0,0,0
94,Suffolk County (East) PUMA,1173,765,408,1042,634,408,131,131,0
95,Monroe County (East) PUMA,310,159,151,151,0,151,159,159,0
96,Sullivan & Ulster (West) Counties PUMA,354,354,0,354,354,0,0,0,0
97,Cayuga & Onondaga (South) Counties PUMA,0,0,0,0,0,0,0,0,0
98,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",7339,3918,3421,4723,2634,2089,2616,1284,1332
99,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,1281,846,435,1281,846,435,0,0,0
100,Onondaga County (Central)--Syracuse City PUMA,798,247,551,677,247,430,121,0,121
101,Ulster County (East) PUMA,244,244,0,81,81,0,163,163,0
102,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,2549,1215,1334,2069,1143,926,480,72,408
103,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,1875,927,948,1028,595,433,847,332,515
104,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,90,37,53,90,37,53,0,0,0
105,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,550,515,35,515,515,0,35,0,35
