,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
0,Total Geo,304989.0,142541.0,162448.0,192340.0,95249.0,97091.0,112649.0,47292.0,65357.0
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Tompkins County PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,3895.0,2247.0,1648.0,3665.0,2115.0,1550.0,230.0,132.0,98.0
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",12020.0,6395.0,5625.0,7348.0,3466.0,3882.0,4672.0,2929.0,1743.0
5,Madison & Cortland Counties PUMA,48.0,0.0,48.0,48.0,0.0,48.0,0.0,0.0,0.0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,2318.0,684.0,1634.0,1411.0,570.0,841.0,907.0,114.0,793.0
7,Dutchess County (Southwest) PUMA,202.0,0.0,202.0,0.0,0.0,0.0,202.0,0.0,202.0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",7287.0,3287.0,4000.0,4834.0,1420.0,3414.0,2453.0,1867.0,586.0
9,Dutchess County (North & East) PUMA,227.0,135.0,92.0,0.0,0.0,0.0,227.0,135.0,92.0
10,Erie County (Central) PUMA,125.0,125.0,0.0,0.0,0.0,0.0,125.0,125.0,0.0
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,1441.0,763.0,678.0,671.0,408.0,263.0,770.0,355.0,415.0
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,18738.0,9189.0,9549.0,10179.0,5481.0,4698.0,8559.0,3708.0,4851.0
14,Westchester County (Northeast) PUMA,1667.0,1344.0,323.0,1190.0,1190.0,0.0,477.0,154.0,323.0
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,61.0,61.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,67.0,67.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
18,Niagara County (North & East) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",195.0,75.0,120.0,30.0,30.0,0.0,165.0,45.0,120.0
20,"Chenango, Delaware & Broome (East) Counties PUMA",96.0,0.0,96.0,0.0,0.0,0.0,96.0,0.0,96.0
21,Oswego County PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",307.0,0.0,307.0,0.0,0.0,0.0,307.0,0.0,307.0
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,842.0,302.0,540.0,500.0,154.0,346.0,342.0,148.0,194.0
24,Ontario & Yates Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",3866.0,1260.0,2606.0,2160.0,946.0,1214.0,1706.0,314.0,1392.0
26,Erie County (Northwest) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,6559.0,2447.0,4112.0,3480.0,1451.0,2029.0,3079.0,996.0,2083.0
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",3548.0,2120.0,1428.0,1632.0,1283.0,349.0,1916.0,837.0,1079.0
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",703.0,231.0,472.0,82.0,0.0,82.0,621.0,231.0,390.0
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",9808.0,4644.0,5164.0,7235.0,3856.0,3379.0,2573.0,788.0,1785.0
