,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
88,Putnam County PUMA,3495.0,1932.0,1563.0,3012.0,1678.0,1334.0,483.0,254.0,229.0,1560.0,744.0,816.0,1486.0,744.0,742.0,74.0,0.0,74.0,1443.0,1066.0,377.0,1094.0,812.0,282.0,349.0,254.0,95.0,492.0,122.0,370.0,432.0,122.0,310.0,60.0,0.0,60.0
89,Albany County (Outside Albany City) PUMA,2849.0,1795.0,1054.0,1458.0,860.0,598.0,1391.0,935.0,456.0,434.0,101.0,333.0,274.0,101.0,173.0,160.0,0.0,160.0,2165.0,1497.0,668.0,987.0,562.0,425.0,1178.0,935.0,243.0,250.0,197.0,53.0,197.0,197.0,0.0,53.0,0.0,53.0
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",20075.0,9446.0,10629.0,9377.0,4764.0,4613.0,10698.0,4682.0,6016.0,6103.0,2357.0,3746.0,3925.0,1559.0,2366.0,2178.0,798.0,1380.0,12948.0,6477.0,6471.0,4713.0,2680.0,2033.0,8235.0,3797.0,4438.0,1024.0,612.0,412.0,739.0,525.0,214.0,285.0,87.0,198.0
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,7793.0,4363.0,3430.0,2016.0,1030.0,986.0,5777.0,3333.0,2444.0,912.0,538.0,374.0,189.0,128.0,61.0,723.0,410.0,313.0,5455.0,3378.0,2077.0,1490.0,755.0,735.0,3965.0,2623.0,1342.0,1426.0,447.0,979.0,337.0,147.0,190.0,1089.0,300.0,789.0
92,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",2933.0,1365.0,1568.0,1173.0,744.0,429.0,1760.0,621.0,1139.0,923.0,232.0,691.0,532.0,232.0,300.0,391.0,0.0,391.0,1526.0,994.0,532.0,502.0,373.0,129.0,1024.0,621.0,403.0,484.0,139.0,345.0,139.0,139.0,0.0,345.0,0.0,345.0
93,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,3998.0,1638.0,2360.0,3752.0,1638.0,2114.0,246.0,0.0,246.0,1968.0,874.0,1094.0,1800.0,874.0,926.0,168.0,0.0,168.0,1933.0,764.0,1169.0,1855.0,764.0,1091.0,78.0,0.0,78.0,97.0,0.0,97.0,97.0,0.0,97.0,0.0,0.0,0.0
94,Suffolk County (Northwest)--Huntington Town (South) PUMA,1771.0,1020.0,751.0,1575.0,919.0,656.0,196.0,101.0,95.0,579.0,162.0,417.0,484.0,162.0,322.0,95.0,0.0,95.0,1192.0,858.0,334.0,1091.0,757.0,334.0,101.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Oswego County PUMA,1142.0,551.0,591.0,490.0,219.0,271.0,652.0,332.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.0,468.0,294.0,311.0,219.0,92.0,451.0,249.0,202.0,380.0,83.0,297.0,179.0,0.0,179.0,201.0,83.0,118.0
96,Rensselaer County--Troy City PUMA,3522.0,1460.0,2062.0,1099.0,539.0,560.0,2423.0,921.0,1502.0,526.0,486.0,40.0,444.0,435.0,9.0,82.0,51.0,31.0,2673.0,906.0,1767.0,584.0,54.0,530.0,2089.0,852.0,1237.0,323.0,68.0,255.0,71.0,50.0,21.0,252.0,18.0,234.0
97,Saratoga County (Outer) PUMA,1184.0,1059.0,125.0,887.0,887.0,0.0,297.0,172.0,125.0,560.0,560.0,0.0,560.0,560.0,0.0,0.0,0.0,0.0,624.0,499.0,125.0,327.0,327.0,0.0,297.0,172.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
