,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,176.0,176.0,0.0,176.0,176.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,128.0,0.0,128.0,128.0,0.0,0.0,0.0,0.0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",453.0,93.0,360.0,375.0,93.0,282.0,78.0,0.0,78.0,453.0,93.0,360.0,375.0,93.0,282.0,78.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,79.0,0.0,79.0,79.0,0.0,79.0,0.0,0.0,0.0,79.0,0.0,79.0,79.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Niagara County (North & East) PUMA,337.0,337.0,0.0,169.0,169.0,0.0,168.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,337.0,0.0,169.0,169.0,0.0,168.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Monroe County (Central)--Rochester City (East) PUMA,118.0,54.0,64.0,118.0,54.0,64.0,0.0,0.0,0.0,54.0,54.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,64.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Warren & Washington Counties PUMA,195.0,163.0,32.0,195.0,163.0,32.0,0.0,0.0,0.0,163.0,163.0,0.0,163.0,163.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,551.0,108.0,443.0,551.0,108.0,443.0,0.0,0.0,0.0,489.0,108.0,381.0,489.0,108.0,381.0,0.0,0.0,0.0,62.0,0.0,62.0,62.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,1414.0,977.0,437.0,1257.0,977.0,280.0,157.0,0.0,157.0,1042.0,721.0,321.0,941.0,721.0,220.0,101.0,0.0,101.0,372.0,256.0,116.0,316.0,256.0,60.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Onondaga County (Central)--Syracuse City PUMA,659.0,482.0,177.0,202.0,161.0,41.0,457.0,321.0,136.0,389.0,348.0,41.0,202.0,161.0,41.0,187.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,134.0,136.0,0.0,0.0,0.0,270.0,134.0,136.0
89,Westchester County (Central)--White Plains City PUMA,646.0,407.0,239.0,646.0,407.0,239.0,0.0,0.0,0.0,536.0,297.0,239.0,536.0,297.0,239.0,0.0,0.0,0.0,110.0,110.0,0.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
