,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,268575,154420,114155,245646,139301,106345,22929,15119,7810,150445,78775,71670,142708,74722,67986,7737,4053,3684,102373,63750,38623,89454,54534,34920,12919,9216,3703,15757,11895,3862,13484,10045,3439,2273,1850,423
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,6036,1663,4373,5929,1556,4373,107,107,0,4327,1663,2664,4220,1556,2664,107,107,0,960,0,960,960,0,960,0,0,0,749,0,749,749,0,749,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,400,124,276,400,124,276,0,0,0,96,0,96,96,0,96,0,0,0,304,124,180,304,124,180,0,0,0,0,0,0,0,0,0,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,3094,1972,1122,2815,1693,1122,279,279,0,2481,1359,1122,2481,1359,1122,0,0,0,248,248,0,248,248,0,0,0,0,365,365,0,86,86,0,279,279,0
4,Madison & Cortland Counties PUMA,199,107,92,199,107,92,0,0,0,53,30,23,53,30,23,0,0,0,146,77,69,146,77,69,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,269,195,74,269,195,74,0,0,0,269,195,74,269,195,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,964,560,404,964,560,404,0,0,0,197,197,0,197,197,0,0,0,0,697,363,334,697,363,334,0,0,0,70,0,70,70,0,70,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1875,1124,751,1875,1124,751,0,0,0,538,385,153,538,385,153,0,0,0,1337,739,598,1337,739,598,0,0,0,0,0,0,0,0,0,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",258,159,99,230,159,71,28,0,28,79,43,36,79,43,36,0,0,0,66,31,35,66,31,35,0,0,0,113,85,28,85,85,0,28,0,28
9,NYC-Manhattan Community District 8--Upper East Side PUMA,6979,3283,3696,6979,3283,3696,0,0,0,6628,3150,3478,6628,3150,3478,0,0,0,351,133,218,351,133,218,0,0,0,0,0,0,0,0,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,396,159,237,349,112,237,47,47,0,114,53,61,114,53,61,0,0,0,235,59,176,235,59,176,0,0,0,47,47,0,0,0,0,47,47,0
11,Erie County (Northwest) PUMA,442,442,0,442,442,0,0,0,0,0,0,0,0,0,0,0,0,0,442,442,0,442,442,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",5866,3516,2350,5344,2994,2350,522,522,0,2463,1084,1379,2333,954,1379,130,130,0,3403,2432,971,3011,2040,971,392,392,0,0,0,0,0,0,0,0,0,0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,172,24,148,172,24,148,0,0,0,131,24,107,131,24,107,0,0,0,41,0,41,41,0,41,0,0,0,0,0,0,0,0,0,0,0,0
14,Rockland County (North)--New City & Congers PUMA,687,114,573,687,114,573,0,0,0,454,34,420,454,34,420,0,0,0,233,80,153,233,80,153,0,0,0,0,0,0,0,0,0,0,0,0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",163,108,55,163,108,55,0,0,0,69,42,27,69,42,27,0,0,0,14,14,0,14,14,0,0,0,0,80,52,28,80,52,28,0,0,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,1473,998,475,1302,827,475,171,171,0,1159,684,475,988,513,475,171,171,0,314,314,0,314,314,0,0,0,0,0,0,0,0,0,0,0,0,0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,10146,5263,4883,8780,4537,4243,1366,726,640,5454,2055,3399,5022,1990,3032,432,65,367,4376,2892,1484,3509,2298,1211,867,594,273,316,316,0,249,249,0,67,67,0
18,Tompkins County PUMA,1100,641,459,1100,641,459,0,0,0,884,513,371,884,513,371,0,0,0,216,128,88,216,128,88,0,0,0,0,0,0,0,0,0,0,0,0
19,Dutchess County (Southwest) PUMA,1008,388,620,879,259,620,129,129,0,306,64,242,306,64,242,0,0,0,702,324,378,573,195,378,129,129,0,0,0,0,0,0,0,0,0,0
