,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
93,Oswego County PUMA,61141.0,30818.0,30323.0,48484.0,24559.0,23925.0,12657.0,6259.0,6398.0,9174.0,4147.0,5027.0,8226.0,3789.0,4437.0,948.0,358.0,590.0,44882.0,22366.0,22516.0,35916.0,17656.0,18260.0,8966.0,4710.0,4256.0,7085.0,4305.0,2780.0,4342.0,3114.0,1228.0,2743.0,1191.0,1552.0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",49075.0,24554.0,24521.0,21911.0,11454.0,10457.0,27164.0,13100.0,14064.0,14759.0,7052.0,7707.0,7589.0,3793.0,3796.0,7170.0,3259.0,3911.0,30253.0,16157.0,14096.0,13629.0,7514.0,6115.0,16624.0,8643.0,7981.0,4063.0,1345.0,2718.0,693.0,147.0,546.0,3370.0,1198.0,2172.0
95,Monroe County (East) PUMA,62846.0,30116.0,32730.0,53139.0,25370.0,27769.0,9707.0,4746.0,4961.0,28658.0,13243.0,15415.0,26334.0,12271.0,14063.0,2324.0,972.0,1352.0,31594.0,15358.0,16236.0,24722.0,12000.0,12722.0,6872.0,3358.0,3514.0,2594.0,1515.0,1079.0,2083.0,1099.0,984.0,511.0,416.0,95.0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,59640.0,27510.0,32130.0,37048.0,18077.0,18971.0,22592.0,9433.0,13159.0,31905.0,13479.0,18426.0,22541.0,9987.0,12554.0,9364.0,3492.0,5872.0,23221.0,11258.0,11963.0,12757.0,7185.0,5572.0,10464.0,4073.0,6391.0,4514.0,2773.0,1741.0,1750.0,905.0,845.0,2764.0,1868.0,896.0
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",34575.0,15222.0,19353.0,14828.0,7519.0,7309.0,19747.0,7703.0,12044.0,12878.0,6446.0,6432.0,7983.0,4211.0,3772.0,4895.0,2235.0,2660.0,18278.0,7713.0,10565.0,5819.0,2745.0,3074.0,12459.0,4968.0,7491.0,3419.0,1063.0,2356.0,1026.0,563.0,463.0,2393.0,500.0,1893.0
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",39603.0,21951.0,17652.0,14938.0,8261.0,6677.0,24665.0,13690.0,10975.0,11556.0,6891.0,4665.0,5298.0,2996.0,2302.0,6258.0,3895.0,2363.0,21723.0,11056.0,10667.0,7754.0,3891.0,3863.0,13969.0,7165.0,6804.0,6324.0,4004.0,2320.0,1886.0,1374.0,512.0,4438.0,2630.0,1808.0
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",46719.0,24307.0,22412.0,25333.0,13319.0,12014.0,21386.0,10988.0,10398.0,14620.0,6498.0,8122.0,7567.0,3357.0,4210.0,7053.0,3141.0,3912.0,28547.0,15979.0,12568.0,16356.0,9246.0,7110.0,12191.0,6733.0,5458.0,3552.0,1830.0,1722.0,1410.0,716.0,694.0,2142.0,1114.0,1028.0
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",27470.0,14568.0,12902.0,20035.0,11001.0,9034.0,7435.0,3567.0,3868.0,15640.0,7210.0,8430.0,12132.0,5809.0,6323.0,3508.0,1401.0,2107.0,11015.0,6581.0,4434.0,7573.0,4900.0,2673.0,3442.0,1681.0,1761.0,815.0,777.0,38.0,330.0,292.0,38.0,485.0,485.0,0.0
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",66109.0,30202.0,35907.0,18075.0,7595.0,10480.0,48034.0,22607.0,25427.0,61042.0,26420.0,34622.0,16925.0,7124.0,9801.0,44117.0,19296.0,24821.0,4869.0,3706.0,1163.0,1074.0,395.0,679.0,3795.0,3311.0,484.0,198.0,76.0,122.0,76.0,76.0,0.0,122.0,0.0,122.0
102,Chautauqua County PUMA,63089.0,31339.0,31750.0,45728.0,23299.0,22429.0,17361.0,8040.0,9321.0,13734.0,6174.0,7560.0,11677.0,5447.0,6230.0,2057.0,727.0,1330.0,42909.0,21292.0,21617.0,30817.0,16036.0,14781.0,12092.0,5256.0,6836.0,6446.0,3873.0,2573.0,3234.0,1816.0,1418.0,3212.0,2057.0,1155.0
