,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,7477961,2966930,1353514,1613416,3948246,2022459,1925787,562785,318295,244490
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,84285,68611,29341,39270,13925,8761,5164,1749,687,1062
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,45602,23479,11139,12340,19425,10529,8896,2698,1453,1245
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,66804,46361,21888,24473,16100,9630,6470,4343,2131,2212
4,Madison & Cortland Counties PUMA,58247,15546,7285,8261,39285,20023,19262,3416,2133,1283
5,Ontario & Yates Counties PUMA,66107,22697,10116,12581,38434,19391,19043,4976,3076,1900
6,Monroe County (Central)--Greece & Gates Towns PUMA,62760,18559,7855,10704,41511,21532,19979,2690,1483,1207
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,35588,18877,8340,10537,15317,8433,6884,1394,565,829
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",89019,15405,6563,8842,63389,34983,28406,10225,7024,3201
9,NYC-Manhattan Community District 8--Upper East Side PUMA,91383,75304,32849,42455,15606,8117,7489,473,397,76
10,Suffolk County (Southwest)--Islip Town (South) PUMA,49563,19704,8797,10907,27974,14749,13225,1885,1441,444
11,Erie County (Northwest) PUMA,51652,19331,8637,10694,30441,14446,15995,1880,1199,681
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",31424,17239,8525,8714,12296,5257,7039,1889,636,1253
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,39337,7388,3159,4229,26225,12310,13915,5724,1686,4038
14,Rockland County (North)--New City & Congers PUMA,37738,16778,7718,9060,18179,8851,9328,2781,1487,1294
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",54132,12582,5131,7451,37609,19885,17724,3941,1833,2108
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,29317,16462,7346,9116,8683,4930,3753,4172,2827,1345
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,28986,11440,4029,7411,15535,8364,7171,2011,952,1059
18,Tompkins County PUMA,41921,22577,11136,11441,17896,8400,9496,1448,1120,328
19,Dutchess County (Southwest) PUMA,73299,23380,10043,13337,44976,23639,21337,4943,2518,2425
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,32752,11851,5059,6792,18446,9159,9287,2455,1702,753
21,Westchester County (Northwest) PUMA,55344,28995,13623,15372,23472,13112,10360,2877,2000,877
22,Albany County (Outside Albany City) PUMA,93607,37270,18790,18480,51963,24023,27940,4374,3132,1242
23,Monroe County (South) PUMA,74480,42393,20149,22244,29345,15358,13987,2742,1831,911
24,Jefferson & Lewis Counties PUMA,68224,13705,5912,7793,47900,25565,22335,6619,4581,2038
25,"Chenango, Delaware & Broome (East) Counties PUMA",53596,10793,4273,6520,37914,19810,18104,4889,3106,1783
26,Erie County (Central) PUMA,77920,20219,8070,12149,54915,27286,27629,2786,1646,1140
27,St. Lawrence County PUMA,52537,12811,6687,6124,34921,17741,17180,4805,2992,1813
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",37669,23657,11991,11666,10908,4418,6490,3104,1485,1619
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,47278,22361,10375,11986,23570,12731,10839,1347,697,650
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,67538,38229,19733,18496,25002,13539,11463,4307,2786,1521
31,Cayuga & Onondaga (South) Counties PUMA,58537,17078,6882,10196,36817,20486,16331,4642,3087,1555
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,52609,23870,10738,13132,28336,16250,12086,403,181,222
