,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
75,Livingston & Wyoming Counties PUMA,11588.0,5719.0,5869.0,9810.0,5032.0,4778.0,1778.0,687.0,1091.0,959.0,465.0,494.0,612.0,465.0,147.0,347.0,0.0,347.0,8311.0,4111.0,4200.0,7053.0,3597.0,3456.0,1258.0,514.0,744.0,2318.0,1143.0,1175.0,2145.0,970.0,1175.0,173.0,173.0,0.0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,6727.0,3169.0,3558.0,5259.0,2622.0,2637.0,1468.0,547.0,921.0,880.0,303.0,577.0,880.0,303.0,577.0,0.0,0.0,0.0,5562.0,2773.0,2789.0,4311.0,2319.0,1992.0,1251.0,454.0,797.0,285.0,93.0,192.0,68.0,0.0,68.0,217.0,93.0,124.0
77,Westchester County (Southwest)--Yonkers City PUMA,26321.0,11308.0,15013.0,21629.0,9734.0,11895.0,4692.0,1574.0,3118.0,6714.0,1947.0,4767.0,6078.0,1818.0,4260.0,636.0,129.0,507.0,15007.0,7370.0,7637.0,12130.0,6375.0,5755.0,2877.0,995.0,1882.0,4600.0,1991.0,2609.0,3421.0,1541.0,1880.0,1179.0,450.0,729.0
78,Erie County (North Central) PUMA,8716.0,3891.0,4825.0,6619.0,3391.0,3228.0,2097.0,500.0,1597.0,4799.0,2383.0,2416.0,3850.0,1883.0,1967.0,949.0,500.0,449.0,3917.0,1508.0,2409.0,2769.0,1508.0,1261.0,1148.0,0.0,1148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Saratoga County (South & Central) PUMA,16673.0,8732.0,7941.0,14632.0,7825.0,6807.0,2041.0,907.0,1134.0,4926.0,2527.0,2399.0,4761.0,2460.0,2301.0,165.0,67.0,98.0,11272.0,5992.0,5280.0,9724.0,5261.0,4463.0,1548.0,731.0,817.0,475.0,213.0,262.0,147.0,104.0,43.0,328.0,109.0,219.0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,11151.0,4418.0,6733.0,8588.0,3715.0,4873.0,2563.0,703.0,1860.0,2047.0,818.0,1229.0,1878.0,818.0,1060.0,169.0,0.0,169.0,7052.0,2658.0,4394.0,5686.0,2329.0,3357.0,1366.0,329.0,1037.0,2052.0,942.0,1110.0,1024.0,568.0,456.0,1028.0,374.0,654.0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",9088.0,4420.0,4668.0,7426.0,3637.0,3789.0,1662.0,783.0,879.0,3337.0,1879.0,1458.0,3185.0,1807.0,1378.0,152.0,72.0,80.0,5451.0,2372.0,3079.0,4170.0,1830.0,2340.0,1281.0,542.0,739.0,300.0,169.0,131.0,71.0,0.0,71.0,229.0,169.0,60.0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,10647.0,4976.0,5671.0,9152.0,4554.0,4598.0,1495.0,422.0,1073.0,1310.0,827.0,483.0,1310.0,827.0,483.0,0.0,0.0,0.0,7555.0,3419.0,4136.0,6371.0,3027.0,3344.0,1184.0,392.0,792.0,1782.0,730.0,1052.0,1471.0,700.0,771.0,311.0,30.0,281.0
83,Niagara County (North & East) PUMA,10609.0,5357.0,5252.0,9678.0,4763.0,4915.0,931.0,594.0,337.0,738.0,384.0,354.0,644.0,384.0,260.0,94.0,0.0,94.0,8069.0,4085.0,3984.0,7307.0,3566.0,3741.0,762.0,519.0,243.0,1802.0,888.0,914.0,1727.0,813.0,914.0,75.0,75.0,0.0
84,Monroe County (Central)--Rochester City (East) PUMA,27383.0,13335.0,14048.0,19362.0,10847.0,8515.0,8021.0,2488.0,5533.0,5213.0,2582.0,2631.0,4735.0,2514.0,2221.0,478.0,68.0,410.0,16880.0,7598.0,9282.0,11361.0,5860.0,5501.0,5519.0,1738.0,3781.0,5290.0,3155.0,2135.0,3266.0,2473.0,793.0,2024.0,682.0,1342.0
