,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,23477,14721,8756,147364.20658516846,180526.82005298554,91609.65737779808,17729,10528,7201,174694.21163066162,227786.04844224924,97072.92875989446,5457,3990,1467,63994.83232545354,62078.39598997494,69207.22563053851,291,203,88,45690.721649484534,57689.65517241379,18011.363636363636
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,17145,10001,7144,62625.1221930592,70647.76322367763,51394.098544232926,9954,6186,3768,75538.3484026522,83941.52602651148,61742.68577494692,6148,3029,3119,47733.392973324655,54846.81413007593,40825.23244629689,1043,786,257,27165.963566634706,26914.758269720103,27934.241245136185
20,Rockland County (North)--New City & Congers PUMA,24572,12922,11650,88111.3356666124,103998.18758706082,70489.88497854077,13703,6257,7446,110579.13814493177,141034.91609397475,84986.63174858985,10368,6391,3977,60784.70389660494,70434.84744171491,45277.01785265275,501,274,227,39101.796407185626,41094.890510948906,36696.035242290745
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",18273,8360,9913,39560.92923986209,43220.562200956934,36474.625239584384,4083,1198,2885,44844.71222140583,52769.78297161937,41553.81629116118,12220,6016,6204,38808.63338788871,41102.210771276594,36584.55834945197,1970,1146,824,33276.345177664974,44358.46422338569,17863.59223300971
22,Orange County (Northwest) PUMA,30426,16135,14291,70861.07076184842,81400.64958165478,58961.54628787348,10510,4105,6405,99471.38163653664,137046.5239951279,75389.26463700234,18852,11182,7670,56291.01517080416,63291.13754247899,46085.62164276402,1064,848,216,46406.484962406015,50827.83018867925,29048.61111111111
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,51202,26523,24679,109824.10243740478,124096.89899332654,94484.85112848981,42094,20919,21175,120899.2279659809,138718.5980209379,103295.28925619835,7922,4994,2928,63314.275561726834,74864.71766119343,43613.828893442624,1186,610,576,27408.010118043843,25726.72131147541,29188.541666666668
24,Dutchess County (Southwest) PUMA,50868,28281,22587,76394.1645238657,87696.36551041335,62242.770088989244,19353,10608,8745,106134.19779879089,113958.39083710407,96643.16981132075,29359,16580,12779,60473.7474369018,75336.14131483715,41190.66656232882,2156,1093,1063,26231.20593692022,20308.3989021043,32321.166509877705
25,Westchester County (Northwest) PUMA,36758,19791,16967,111237.71625224441,129110.8215855692,90389.79807862321,22618,12003,10615,139437.88946856486,164113.9648421228,111535.21092793217,13271,7026,6245,68080.46040238113,79354.30543694847,55396.70776621297,869,762,107,36333.7169159954,36520.99737532809,35000.0
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,35432,20444,14988,85333.41837886655,95207.68734102916,71864.67307179076,19528,10409,9119,99687.95985251946,111421.5448169853,86294.50816975546,15498,9629,5869,67893.6766034327,79138.86177173123,49444.21536888737,406,406,0,60618.226600985225,60618.226600985225,0.0
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,43470,21713,21757,92605.43639291465,109760.6028646433,75484.96346003585,25563,11798,13765,119678.40433438955,150511.00695033057,93251.73919360698,17084,9166,7918,53695.532076797004,61630.84333406066,44509.492296034354,823,749,74,59398.29890643986,56868.89185580774,85000.0
28,Saratoga County (Outer) PUMA,43239,25092,18147,63521.49055251046,74875.33197831978,47822.44448118146,15868,7884,7984,82648.60221830098,105220.00126839169,60359.91107214429,24836,15426,9410,54021.82678370108,63289.70698820174,38828.80658873539,2535,1782,753,36864.54437869822,40914.88215488216,27279.282868525897
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,18288,10011,8277,56698.06244531934,55921.73708920188,57637.02500906125,8113,3673,4440,64203.54739307285,70647.55240947455,58872.72972972973,9225,5744,3481,51631.14211382114,48169.925139275765,57342.49813272048,950,594,356,41803.68421052631,39824.91582491583,45105.33707865168
30,Erie County (South) PUMA,60457,33392,27065,63680.15493656648,74615.02803066603,50189.030519120635,24151,11115,13036,81808.94339778891,103683.17336932074,63158.12519177662,35657,21688,13969,51985.19042544241,60945.183696053115,38074.07767198797,649,589,60,31598.459167950692,29418.336162988115,53000.0
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",38531,19055,19476,50356.04609275648,53870.35476252952,46917.703943314846,10362,3622,6740,61266.844431576916,69854.58310325787,56651.89050445104,26735,14174,12561,47107.55825696652,51649.64089177367,41982.211607356105,1434,1259,175,32078.940027894,32886.65607625099,26268.0
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,53316,29830,23486,81664.91724810563,89760.33985920214,71382.77228987482,36250,18703,17547,96864.49268965518,110985.3429931027,81813.35783894683,13853,8639,5214,51515.691041651626,57436.16946405834,41706.13732259302,3213,2488,725,40168.689698101465,42444.13183279743,32360.0
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,40774,22145,18629,75481.42713493893,81800.4700835403,67969.74072682377,14002,6848,7154,97275.00571346951,111490.6585864486,83667.40285155158,26305,15165,11140,64460.865995057975,68318.65347840422,59209.219030520646,467,132,335,42809.421841541756,90386.36363636363,24062.68656716418
34,St. Lawrence County PUMA,28635,16411,12224,55934.65632966649,63602.90597769788,45639.85553010471,9063,4040,5023,69994.69392033543,91556.27202970297,52652.71192514434,18113,11281,6832,49858.306906641636,55220.23676978991,41004.687060889926,1459,1090,369,44032.52912954078,46752.71559633027,35997.28997289973
