,puma,Unemployment_HSINC_score,FT_Work_HSINC_score,Poverty_HSINC_score,Working_Poor_HSINC_score,Rent_Burden_HSINC_score,Home_Ownership_HSINC_score,Income_level_HSINC_score,Overall_HSINC_score,Unemployment_HSINC_grade,FT_Work_HSINC_grade,Poverty_HSINC_grade,Working_Poor_HSINC_grade,Rent_Burden_HSINC_grade,Home_Ownership_HSINC_grade,Income_level_HSINC_grade,Overall_HSINC_grade
0,Total Geo,0.04368089103252942,0.10418398145782902,-0.14201407693641852,-0.056768034920830775,0.07215704963423158,-0.3020457136948135,-0.05578832307419039,-0.04808488950023759,C,C,C,C,C,C-,C,C
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",#DIV/0!,#DIV/0!,-1.9050160450193767,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,E,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
2,Tompkins County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.20266468242624372,0.4474017558231847,0.29833643632038176,0.030641531868946754,0.9875945357116177,-0.9115953556442308,-0.4585794309799484,0.0852091650751708,C,B-,B-,C,B,D,C-,C
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",0.2921661001111383,0.1842341921354449,-0.08573797509299483,0.09480039776752355,0.015127461509858966,-0.09227985273396842,0.08335266277205654,0.07023756949557987,B-,C,C,C,C,C,C,C
5,Madison & Cortland Counties PUMA,0.5033378962482382,-1.3169726049945645,1.6768879535491696,1.1446640517191986,1.161799832555114,-1.0414300515353618,-1.2129878286563303,0.13075703555506626,B-,D-,A-,B,B,D,D,C
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,-0.25603392031275884,-0.6488523434004683,-0.5984095549755043,0.03938306955357643,0.007456929183928241,-0.5734893512596754,0.11027580675771888,-0.27423848063616907,C-,C-,C-,C,C,C-,C,C-
7,Dutchess County (Southwest) PUMA,0.5033378962482382,-2.904387475363974,-0.7110480454965276,#DIV/0!,-1.7883289987727893,0.031683958231476746,#DIV/0!,#DIV/0!,B-,E,C-,#DIV!0,E,C,#DIV!0,#DIV!0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.16543910791190447,0.03758517537202616,-1.0746998832091401,-1.4326951775970795,0.16870719865263722,-0.9490885503158499,-0.7049000615170118,-0.5413788843860733,C,C,D,D-,C,D,C-,C-
9,Dutchess County (North & East) PUMA,-0.5179312199396944,-0.19678684480388456,1.1988973861726238,0.4191988096258024,-1.7883289987727893,0.9434683280164766,0.06803941508736963,0.01807955362655774,C-,C,B,B-,E,B,C,C
10,Erie County (Central) PUMA,0.5033378962482382,0.23497283323634294,-0.7364932651584899,-0.10986223937465683,-1.7883289987727893,1.5182107422527535,0.05669125443381589,-0.045924539590683634,B-,C,C-,C,E,A-,C,C
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.25538756795163475,0.3657672479933646,0.6033943923026371,0.5753568361308843,-0.41460488647506333,1.1043012709329294,0.134463633522222,0.37486658033694414,B-,B-,B-,B-,C-,B,C,B-
