,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,17542,11118,6424,50486.99794778247,54066.29591653175,44292.31631382316,6982,3952,3030,59710.312231452306,72253.39068825911,43350.49504950495,8590,5505,3085,44467.401396973226,46278.124977293366,41236.272285251216,1970,1661,309,44045.95939086295,36606.02046959663,84038.64077669903
21,Westchester County (Northwest) PUMA,6987,5292,1695,42609.388865035064,39442.195767195764,52497.758112094394,2176,971,1205,73800.0,87252.31719876415,62960.0,3245,2755,490,29567.58089368259,30065.29945553539,26769.183673469386,1566,1566,0,26293.869731800765,26293.869731800765,0.0
22,Albany County (Outside Albany City) PUMA,4677,2518,2159,81153.01689116955,112029.41223193011,45142.47336729967,3285,2118,1167,98281.63165905632,124175.90179414542,51285.86118251928,1038,400,638,47720.134874759155,47713.75,47724.137931034486,354,0,354,20237.28813559322,0.0,20237.28813559322
23,Monroe County (South) PUMA,3837,2179,1658,78325.16288767266,71943.04726938963,86712.75633293124,3030,1495,1535,87124.40594059406,81646.95652173914,92459.12052117263,450,327,123,31738.0,38033.94495412844,15000.0,357,357,0,62365.82633053221,62365.82633053221,0.0
24,Jefferson & Lewis Counties PUMA,1567,1214,353,52565.411614550096,57462.10873146623,35725.21246458923,1297,944,353,59059.367771781035,67784.95762711864,35725.21246458923,270,270,0,21370.37037037037,21370.37037037037,0.0,0,0,0,#DIV/0!,0.0,0.0
25,"Chenango, Delaware & Broome (East) Counties PUMA",293,84,209,41754.266211604096,45595.23809523809,40210.52631578947,132,0,132,52000.0,0.0,52000.0,120,43,77,37916.666666666664,70000.0,20000.0,41,41,0,20000.0,20000.0,0.0
26,Erie County (Central) PUMA,1287,945,342,35323.31002331003,40190.58201058201,21874.269005847953,389,313,76,55071.9794344473,60431.30990415336,33000.0,795,632,163,27904.528301886792,30166.29746835443,19134.969325153375,103,0,103,18000.0,0.0,18000.0
27,St. Lawrence County PUMA,339,227,112,46100.29498525074,49925.11013215859,38348.21428571428,148,148,0,65027.02702702703,65027.02702702703,0.0,191,79,112,31434.55497382199,21632.91139240506,38348.21428571428,0,0,0,#DIV/0!,0.0,0.0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",13221,7305,5916,43777.297481279784,47975.4893908282,38593.4246112238,5901,2740,3161,62834.96864938146,74553.08394160584,52677.538753559,4327,2661,1666,37298.913797088055,41085.68207440812,31250.540216086436,2993,1904,1089,15569.027731373204,19357.405462184874,8945.454545454546
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,3376,2249,1127,75937.99763033175,75713.65051133838,76385.69653948536,2173,1519,654,91480.75471698113,89700.72416063199,95615.10703363914,853,380,473,56514.654161781946,64875.26315789474,49797.885835095134,350,350,0,26777.14285714286,26777.14285714286,0.0
