,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
23,Monroe County (South) PUMA,57420,28875,28545,45407,24556,20851,12013,4319,7694,37564,17326,20238,30377,15291,15086,7187,2035,5152,18762,10976,7786,14244,8775,5469,4518,2201,2317,1094,573,521,786,490,296,308,83,225
24,Jefferson & Lewis Counties PUMA,46071,24944,21127,38592,23556,15036,7479,1388,6091,11718,5829,5889,10434,5286,5148,1284,543,741,32174,17792,14382,26516,17042,9474,5658,750,4908,2179,1323,856,1642,1228,414,537,95,442
25,"Chenango, Delaware & Broome (East) Counties PUMA",38634,20277,18357,31805,18057,13748,6829,2220,4609,8203,3695,4508,6569,3360,3209,1634,335,1299,27405,14746,12659,22681,13129,9552,4724,1617,3107,3026,1836,1190,2555,1568,987,471,268,203
26,Erie County (Central) PUMA,57184,28599,28585,47890,26425,21465,9294,2174,7120,20052,9162,10890,17774,8519,9255,2278,643,1635,35201,18008,17193,28638,16477,12161,6563,1531,5032,1931,1429,502,1478,1429,49,453,0,453
27,St. Lawrence County PUMA,37356,19580,17776,31582,17715,13867,5774,1865,3909,10031,4328,5703,8971,3971,5000,1060,357,703,25578,14255,11323,21450,13001,8449,4128,1254,2874,1747,997,750,1161,743,418,586,254,332
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",13847,7717,6130,11030,6391,4639,2817,1326,1491,11443,6105,5338,8775,4779,3996,2668,1326,1342,2265,1612,653,2116,1612,504,149,0,149,139,0,139,139,0,139,0,0,0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,31546,16789,14757,27010,15122,11888,4536,1667,2869,14505,6018,8487,12625,5549,7076,1880,469,1411,16482,10277,6205,14067,9255,4812,2415,1022,1393,559,494,65,318,318,0,241,176,65
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,46079,27011,19068,37816,22848,14968,8263,4163,4100,35183,19618,15565,31415,17954,13461,3768,1664,2104,8659,5683,2976,4967,3653,1314,3692,2030,1662,2237,1710,527,1434,1241,193,803,469,334
31,Cayuga & Onondaga (South) Counties PUMA,40649,19969,20680,32952,18120,14832,7697,1849,5848,13883,6064,7819,11792,5678,6114,2091,386,1705,25257,13224,12033,20090,12123,7967,5167,1101,4066,1509,681,828,1070,319,751,439,362,77
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,39108,19880,19228,33558,18159,15399,5550,1721,3829,20762,9705,11057,18604,9260,9344,2158,445,1713,17306,9662,7644,14262,8536,5726,3044,1126,1918,1040,513,527,692,363,329,348,150,198
33,Fulton & Montgomery Counties PUMA,36432,19130,17302,30689,17826,12863,5743,1304,4439,8005,3697,4308,7288,3611,3677,717,86,631,25135,13327,11808,20457,12210,8247,4678,1117,3561,3292,2106,1186,2944,2005,939,348,101,247
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,58790,29388,29402,50881,26944,23937,7909,2444,5465,29069,13537,15532,26055,12711,13344,3014,826,2188,27835,14665,13170,23439,13471,9968,4396,1194,3202,1886,1186,700,1387,762,625,499,424,75
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,23851,12379,11472,21465,11643,9822,2386,736,1650,9971,5634,4337,9360,5508,3852,611,126,485,13198,6251,6947,11423,5641,5782,1775,610,1165,682,494,188,682,494,188,0,0,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,37409,18241,19168,31319,15661,15658,6090,2580,3510,10360,4592,5768,9170,4185,4985,1190,407,783,24807,12069,12738,20746,10539,10207,4061,1530,2531,2242,1580,662,1403,937,466,839,643,196
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,40741,19503,21238,35403,17404,17999,5338,2099,3239,14184,5629,8555,13185,5549,7636,999,80,919,25941,13626,12315,21714,11607,10107,4227,2019,2208,616,248,368,504,248,256,112,0,112
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",1462,757,705,1241,670,571,221,87,134,404,404,0,404,404,0,0,0,0,625,199,426,404,112,292,221,87,134,433,154,279,433,154,279,0,0,0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,1854,1245,609,1562,1165,397,292,80,212,1529,1075,454,1411,1014,397,118,61,57,247,170,77,151,151,0,96,19,77,78,0,78,0,0,0,78,0,78
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",37374,17457,19917,32650,15228,17422,4724,2229,2495,33222,14918,18304,29573,13211,16362,3649,1707,1942,3925,2312,1613,2929,1869,1060,996,443,553,227,227,0,148,148,0,79,79,0
41,Suffolk County (Central)--Islip Town (East) PUMA,34546,17756,16790,30289,16689,13600,4257,1067,3190,16035,6514,9521,14593,6057,8536,1442,457,985,17722,10977,6745,15518,10509,5009,2204,468,1736,789,265,524,178,123,55,611,142,469
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",12466,7145,5321,10180,6106,4074,2286,1039,1247,9511,4796,4715,8190,4384,3806,1321,412,909,2479,1962,517,1774,1506,268,705,456,249,476,387,89,216,216,0,260,171,89
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",16322,9803,6519,14431,8984,5447,1891,819,1072,8186,4480,3706,7284,4054,3230,902,426,476,7402,4689,2713,6618,4501,2117,784,188,596,734,634,100,529,429,100,205,205,0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,6199,3518,2681,5489,3333,2156,710,185,525,3838,1743,2095,3251,1558,1693,587,185,402,2300,1775,525,2177,1775,402,123,0,123,61,0,61,61,0,61,0,0,0
45,Saratoga County (Outer) PUMA,51418,27350,24068,43371,25416,17955,8047,1934,6113,18716,9013,9703,16331,8526,7805,2385,487,1898,30163,16353,13810,24863,15209,9654,5300,1144,4156,2539,1984,555,2177,1681,496,362,303,59
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",2063,1088,975,2012,1088,924,51,0,51,1477,754,723,1477,754,723,0,0,0,524,272,252,473,272,201,51,0,51,62,62,0,62,62,0,0,0,0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",15265,7880,7385,12539,6778,5761,2726,1102,1624,8018,3426,4592,6711,2930,3781,1307,496,811,6170,3714,2456,5039,3241,1798,1131,473,658,1077,740,337,789,607,182,288,133,155
48,Wayne & Seneca Counties PUMA,47487,25307,22180,39313,23229,16084,8174,2078,6096,12050,5209,6841,9843,4831,5012,2207,378,1829,32752,18394,14358,27314,16727,10587,5438,1667,3771,2685,1704,981,2156,1671,485,529,33,496
49,Schenectady County--Schenectady City PUMA,49364,24808,24556,42552,22759,19793,6812,2049,4763,20675,8835,11840,17983,8177,9806,2692,658,2034,26014,14716,11298,21894,13325,8569,4120,1391,2729,2675,1257,1418,2675,1257,1418,0,0,0
