,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",8443.0,3985.0,4458.0,7263.0,3353.0,3910.0,1180.0,632.0,548.0,2157.0,1361.0,796.0,1869.0,1089.0,780.0,288.0,272.0,16.0,5267.0,1949.0,3318.0,4646.0,1789.0,2857.0,621.0,160.0,461.0,1019.0,675.0,344.0,748.0,475.0,273.0,271.0,200.0,71.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,9358.0,4299.0,5059.0,7577.0,3303.0,4274.0,1781.0,996.0,785.0,6823.0,2703.0,4120.0,6371.0,2453.0,3918.0,452.0,250.0,202.0,2304.0,1482.0,822.0,1153.0,797.0,356.0,1151.0,685.0,466.0,231.0,114.0,117.0,53.0,53.0,0.0,178.0,61.0,117.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,8593.0,4180.0,4413.0,6878.0,3428.0,3450.0,1715.0,752.0,963.0,2465.0,931.0,1534.0,2233.0,861.0,1372.0,232.0,70.0,162.0,5679.0,3148.0,2531.0,4383.0,2567.0,1816.0,1296.0,581.0,715.0,449.0,101.0,348.0,262.0,0.0,262.0,187.0,101.0,86.0
18,Tompkins County PUMA,9611.0,5029.0,4582.0,7150.0,3989.0,3161.0,2461.0,1040.0,1421.0,5718.0,3081.0,2637.0,4596.0,2523.0,2073.0,1122.0,558.0,564.0,3356.0,1535.0,1821.0,2114.0,1150.0,964.0,1242.0,385.0,857.0,537.0,413.0,124.0,440.0,316.0,124.0,97.0,97.0,0.0
19,Dutchess County (Southwest) PUMA,12358.0,6242.0,6116.0,10739.0,5312.0,5427.0,1619.0,930.0,689.0,3240.0,768.0,2472.0,3165.0,693.0,2472.0,75.0,75.0,0.0,7972.0,4978.0,2994.0,6714.0,4409.0,2305.0,1258.0,569.0,689.0,1146.0,496.0,650.0,860.0,210.0,650.0,286.0,286.0,0.0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,4392.0,2190.0,2202.0,3927.0,2103.0,1824.0,465.0,87.0,378.0,1883.0,918.0,965.0,1687.0,918.0,769.0,196.0,0.0,196.0,2352.0,1272.0,1080.0,2154.0,1185.0,969.0,198.0,87.0,111.0,157.0,0.0,157.0,86.0,0.0,86.0,71.0,0.0,71.0
21,Westchester County (Northwest) PUMA,6223.0,3114.0,3109.0,4742.0,2532.0,2210.0,1481.0,582.0,899.0,3479.0,1461.0,2018.0,3022.0,1461.0,1561.0,457.0,0.0,457.0,2578.0,1653.0,925.0,1598.0,1071.0,527.0,980.0,582.0,398.0,166.0,0.0,166.0,122.0,0.0,122.0,44.0,0.0,44.0
22,Albany County (Outside Albany City) PUMA,16679.0,7471.0,9208.0,15352.0,7069.0,8283.0,1327.0,402.0,925.0,5959.0,2462.0,3497.0,5626.0,2324.0,3302.0,333.0,138.0,195.0,9325.0,4315.0,5010.0,8667.0,4051.0,4616.0,658.0,264.0,394.0,1395.0,694.0,701.0,1059.0,694.0,365.0,336.0,0.0,336.0
23,Monroe County (South) PUMA,11700.0,5471.0,6229.0,10567.0,4950.0,5617.0,1133.0,521.0,612.0,5544.0,1987.0,3557.0,5077.0,1966.0,3111.0,467.0,21.0,446.0,5532.0,3333.0,2199.0,5027.0,2932.0,2095.0,505.0,401.0,104.0,624.0,151.0,473.0,463.0,52.0,411.0,161.0,99.0,62.0
24,Jefferson & Lewis Counties PUMA,15955.0,8336.0,7619.0,13707.0,7417.0,6290.0,2248.0,919.0,1329.0,4016.0,1987.0,2029.0,3829.0,1888.0,1941.0,187.0,99.0,88.0,10918.0,5878.0,5040.0,9266.0,5218.0,4048.0,1652.0,660.0,992.0,1021.0,471.0,550.0,612.0,311.0,301.0,409.0,160.0,249.0
