,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
24,Suffolk County (Central)--Islip Town (East) PUMA,30289,16689,13600,29411,16011,13400,878,678,200,14593,6057,8536,14266,5930,8336,327,127,200,15518,10509,5009,14967,9958,5009,551,551,0,178,123,55,178,123,55,0,0,0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,26948,15611,11337,26948,15611,11337,0,0,0,17925,10077,7848,17925,10077,7848,0,0,0,8512,5208,3304,8512,5208,3304,0,0,0,511,326,185,511,326,185,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",57,0,57,57,0,57,0,0,0,0,0,0,0,0,0,0,0,0,57,0,57,57,0,57,0,0,0,0,0,0,0,0,0,0,0,0
27,St. Lawrence County PUMA,31554,17687,13867,28768,16406,12362,2786,1281,1505,8971,3971,5000,8796,3851,4945,175,120,55,21422,12973,8449,19346,12132,7214,2076,841,1235,1161,743,418,626,423,203,535,320,215
28,Columbia & Greene Counties PUMA,31353,16680,14673,28963,15138,13825,2390,1542,848,11801,4813,6988,11010,4554,6456,791,259,532,18926,11378,7548,17327,10095,7232,1599,1283,316,626,489,137,626,489,137,0,0,0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,35593,18147,17446,35282,18054,17228,311,93,218,33208,16516,16692,32998,16423,16575,210,93,117,2139,1486,653,2139,1486,653,0,0,0,246,145,101,145,145,0,101,0,101
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",8937,5629,3308,8937,5629,3308,0,0,0,5391,3205,2186,5391,3205,2186,0,0,0,3305,2183,1122,3305,2183,1122,0,0,0,241,241,0,241,241,0,0,0,0
31,Monroe County (North & West) PUMA,34660,18550,16110,33219,18082,15137,1441,468,973,16056,7750,8306,15497,7680,7817,559,70,489,18085,10464,7621,17203,10066,7137,882,398,484,519,336,183,519,336,183,0,0,0
32,Schenectady County--Schenectady City PUMA,42552,22759,19793,41261,22382,18879,1291,377,914,17983,8177,9806,17869,8177,9692,114,0,114,21894,13325,8569,20717,12948,7769,1177,377,800,2675,1257,1418,2675,1257,1418,0,0,0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",10504,7810,2694,8044,5745,2299,2460,2065,395,4049,2552,1497,3938,2507,1431,111,45,66,5532,4335,1197,3728,2860,868,1804,1475,329,923,923,0,378,378,0,545,545,0
