,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
23,Monroe County (South) PUMA,55082,27663,27419,54333,27155,27178,749,508,241,36600,17157,19443,35921,16719,19202,679,438,241,17471,10016,7455,17401,9946,7455,70,70,0,1011,490,521,1011,490,521,0,0,0
24,Jefferson & Lewis Counties PUMA,44888,24736,20152,43466,24406,19060,1422,330,1092,11339,5825,5514,11156,5777,5379,183,48,135,31420,17588,13832,30204,17306,12898,1216,282,934,2129,1323,806,2106,1323,783,23,0,23
25,"Chenango, Delaware & Broome (East) Counties PUMA",36445,18772,17673,35392,18161,17231,1053,611,442,8081,3695,4386,8029,3695,4334,52,0,52,25436,13339,12097,24435,12728,11707,1001,611,390,2928,1738,1190,2928,1738,1190,0,0,0
26,Erie County (Central) PUMA,56054,28487,27567,54708,27820,26888,1346,667,679,19735,9183,10552,19209,8875,10334,526,308,218,34396,17883,16513,33635,17583,16052,761,300,461,1923,1421,502,1864,1362,502,59,59,0
27,St. Lawrence County PUMA,35728,18621,17107,34442,17957,16485,1286,664,622,9762,4190,5572,9570,3998,5572,192,192,0,24381,13596,10785,23548,13362,10186,833,234,599,1585,835,750,1324,597,727,261,238,23
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",13516,7601,5915,12747,7262,5485,769,339,430,11112,5989,5123,10343,5650,4693,769,339,430,2265,1612,653,2265,1612,653,0,0,0,139,0,139,139,0,139,0,0,0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,30873,16366,14507,29196,15236,13960,1677,1130,547,14238,5938,8300,13597,5569,8028,641,369,272,16217,10010,6207,15281,9349,5932,936,661,275,418,418,0,318,318,0,100,100,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,45260,26674,18586,44313,26103,18210,947,571,376,34726,19396,15330,34054,19052,15002,672,344,328,8416,5568,2848,8141,5341,2800,275,227,48,2118,1710,408,2118,1710,408,0,0,0
31,Cayuga & Onondaga (South) Counties PUMA,39443,19441,20002,38992,19107,19885,451,334,117,13485,6064,7421,13459,6038,7421,26,26,0,24576,12784,11792,24151,12476,11675,425,308,117,1382,593,789,1382,593,789,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,38007,19465,18542,37583,19322,18261,424,143,281,20281,9604,10677,20073,9604,10469,208,0,208,16686,9348,7338,16543,9278,7265,143,70,73,1040,513,527,967,440,527,73,73,0
