,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
108,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,19261.0,9466.0,9795.0,10488.0,4801.0,5687.0,8773.0,4665.0,4108.0,12353.0,5651.0,6702.0,6067.0,2609.0,3458.0,6286.0,3042.0,3244.0,5660.0,2784.0,2876.0,3755.0,1526.0,2229.0,1905.0,1258.0,647.0,1248.0,1031.0,217.0,666.0,666.0,0.0,582.0,365.0,217.0
109,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",32861.0,16567.0,16294.0,26399.0,12779.0,13620.0,6462.0,3788.0,2674.0,18432.0,8823.0,9609.0,15470.0,7377.0,8093.0,2962.0,1446.0,1516.0,13196.0,7328.0,5868.0,9734.0,5024.0,4710.0,3462.0,2304.0,1158.0,1233.0,416.0,817.0,1195.0,378.0,817.0,38.0,38.0,0.0
110,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,6823.0,3659.0,3164.0,2822.0,1333.0,1489.0,4001.0,2326.0,1675.0,2581.0,1373.0,1208.0,1071.0,518.0,553.0,1510.0,855.0,655.0,3045.0,1355.0,1690.0,1162.0,365.0,797.0,1883.0,990.0,893.0,1197.0,931.0,266.0,589.0,450.0,139.0,608.0,481.0,127.0
111,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",1847.0,1121.0,726.0,271.0,131.0,140.0,1576.0,990.0,586.0,544.0,200.0,344.0,271.0,131.0,140.0,273.0,69.0,204.0,1090.0,921.0,169.0,0.0,0.0,0.0,1090.0,921.0,169.0,213.0,0.0,213.0,0.0,0.0,0.0,213.0,0.0,213.0
112,Erie County (Northeast) PUMA,56360.0,28920.0,27440.0,47954.0,24195.0,23759.0,8406.0,4725.0,3681.0,24776.0,11595.0,13181.0,23109.0,10933.0,12176.0,1667.0,662.0,1005.0,30618.0,16392.0,14226.0,24022.0,12472.0,11550.0,6596.0,3920.0,2676.0,966.0,933.0,33.0,823.0,790.0,33.0,143.0,143.0,0.0
113,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,20980.0,10461.0,10519.0,5272.0,2443.0,2829.0,15708.0,8018.0,7690.0,17641.0,8420.0,9221.0,4786.0,2311.0,2475.0,12855.0,6109.0,6746.0,2991.0,1886.0,1105.0,293.0,132.0,161.0,2698.0,1754.0,944.0,348.0,155.0,193.0,193.0,0.0,193.0,155.0,155.0,0.0
114,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,6564.0,3518.0,3046.0,3560.0,1582.0,1978.0,3004.0,1936.0,1068.0,3899.0,1743.0,2156.0,2105.0,893.0,1212.0,1794.0,850.0,944.0,2604.0,1775.0,829.0,1394.0,689.0,705.0,1210.0,1086.0,124.0,61.0,0.0,61.0,61.0,0.0,61.0,0.0,0.0,0.0
115,Fulton & Montgomery Counties PUMA,46077.0,22846.0,23231.0,35504.0,17489.0,18015.0,10573.0,5357.0,5216.0,8702.0,3819.0,4883.0,7939.0,3445.0,4494.0,763.0,374.0,389.0,33254.0,16733.0,16521.0,24856.0,12868.0,11988.0,8398.0,3865.0,4533.0,4121.0,2294.0,1827.0,2709.0,1176.0,1533.0,1412.0,1118.0,294.0
116,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,45344.0,22101.0,23243.0,34398.0,16244.0,18154.0,10946.0,5857.0,5089.0,11438.0,5051.0,6387.0,9738.0,4067.0,5671.0,1700.0,984.0,716.0,30998.0,15068.0,15930.0,23324.0,11066.0,12258.0,7674.0,4002.0,3672.0,2908.0,1982.0,926.0,1336.0,1111.0,225.0,1572.0,871.0,701.0
117,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",46809.0,23768.0,23041.0,37756.0,19099.0,18657.0,9053.0,4669.0,4384.0,8966.0,3473.0,5493.0,7966.0,3154.0,4812.0,1000.0,319.0,681.0,34286.0,18370.0,15916.0,26861.0,14505.0,12356.0,7425.0,3865.0,3560.0,3557.0,1925.0,1632.0,2929.0,1440.0,1489.0,628.0,485.0,143.0
118,NYC-Brooklyn Community District 4--Bushwick PUMA,18255.0,9794.0,8461.0,1341.0,1043.0,298.0,16914.0,8751.0,8163.0,13424.0,6716.0,6708.0,911.0,613.0,298.0,12513.0,6103.0,6410.0,4358.0,2895.0,1463.0,430.0,430.0,0.0,3928.0,2465.0,1463.0,473.0,183.0,290.0,0.0,0.0,0.0,473.0,183.0,290.0
119,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",51972.0,29364.0,22608.0,13090.0,6321.0,6769.0,38882.0,23043.0,15839.0,44192.0,24246.0,19946.0,11904.0,5368.0,6536.0,32288.0,18878.0,13410.0,7780.0,5118.0,2662.0,1186.0,953.0,233.0,6594.0,4165.0,2429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",40131.0,18314.0,21817.0,17404.0,8513.0,8891.0,22727.0,9801.0,12926.0,35039.0,15277.0,19762.0,14709.0,6790.0,7919.0,20330.0,8487.0,11843.0,4793.0,2810.0,1983.0,2605.0,1633.0,972.0,2188.0,1177.0,1011.0,299.0,227.0,72.0,90.0,90.0,0.0,209.0,137.0,72.0
121,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,21995.0,10969.0,11026.0,4536.0,2333.0,2203.0,17459.0,8636.0,8823.0,14813.0,7133.0,7680.0,2700.0,1302.0,1398.0,12113.0,5831.0,6282.0,5816.0,3219.0,2597.0,1494.0,944.0,550.0,4322.0,2275.0,2047.0,1366.0,617.0,749.0,342.0,87.0,255.0,1024.0,530.0,494.0
122,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,11176.0,5690.0,5486.0,8689.0,4687.0,4002.0,2487.0,1003.0,1484.0,3311.0,1898.0,1413.0,2635.0,1557.0,1078.0,676.0,341.0,335.0,6929.0,3497.0,3432.0,5609.0,2835.0,2774.0,1320.0,662.0,658.0,936.0,295.0,641.0,445.0,295.0,150.0,491.0,0.0,491.0
123,Suffolk County (Northwest)--Huntington Town (North) PUMA,37771.0,17827.0,19944.0,34214.0,16145.0,18069.0,3557.0,1682.0,1875.0,23344.0,10790.0,12554.0,21437.0,9754.0,11683.0,1907.0,1036.0,871.0,13899.0,6771.0,7128.0,12335.0,6125.0,6210.0,1564.0,646.0,918.0,528.0,266.0,262.0,442.0,266.0,176.0,86.0,0.0,86.0
124,Orange County (Southeast) PUMA,41563.0,20555.0,21008.0,31087.0,14666.0,16421.0,10476.0,5889.0,4587.0,17772.0,7666.0,10106.0,15997.0,6779.0,9218.0,1775.0,887.0,888.0,20724.0,10566.0,10158.0,14418.0,7528.0,6890.0,6306.0,3038.0,3268.0,3067.0,2323.0,744.0,672.0,359.0,313.0,2395.0,1964.0,431.0
125,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,30679.0,14433.0,16246.0,29505.0,13883.0,15622.0,1174.0,550.0,624.0,17665.0,7773.0,9892.0,17212.0,7704.0,9508.0,453.0,69.0,384.0,12431.0,6297.0,6134.0,11781.0,5816.0,5965.0,650.0,481.0,169.0,583.0,363.0,220.0,512.0,363.0,149.0,71.0,0.0,71.0
126,Suffolk County (Northwest)--Smithtown Town PUMA,49174.0,24617.0,24557.0,45989.0,23033.0,22956.0,3185.0,1584.0,1601.0,29457.0,13584.0,15873.0,28123.0,13215.0,14908.0,1334.0,369.0,965.0,19075.0,10589.0,8486.0,17224.0,9374.0,7850.0,1851.0,1215.0,636.0,642.0,444.0,198.0,642.0,444.0,198.0,0.0,0.0,0.0
127,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",1340.0,803.0,537.0,888.0,498.0,390.0,452.0,305.0,147.0,1089.0,716.0,373.0,788.0,498.0,290.0,301.0,218.0,83.0,251.0,87.0,164.0,100.0,0.0,100.0,151.0,87.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",1265.0,938.0,327.0,459.0,366.0,93.0,806.0,572.0,234.0,354.0,354.0,0.0,130.0,130.0,0.0,224.0,224.0,0.0,747.0,420.0,327.0,240.0,147.0,93.0,507.0,273.0,234.0,164.0,164.0,0.0,89.0,89.0,0.0,75.0,75.0,0.0
129,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,8938.0,4402.0,4536.0,4497.0,2212.0,2285.0,4441.0,2190.0,2251.0,4130.0,2085.0,2045.0,2247.0,1167.0,1080.0,1883.0,918.0,965.0,4524.0,2266.0,2258.0,2123.0,994.0,1129.0,2401.0,1272.0,1129.0,284.0,51.0,233.0,127.0,51.0,76.0,157.0,0.0,157.0
130,Westchester County (Southwest)--Yonkers City PUMA,28030.0,13722.0,14308.0,19716.0,9913.0,9803.0,8314.0,3809.0,4505.0,14098.0,6812.0,7286.0,10941.0,5320.0,5621.0,3157.0,1492.0,1665.0,12209.0,6012.0,6197.0,7683.0,3900.0,3783.0,4526.0,2112.0,2414.0,1723.0,898.0,825.0,1092.0,693.0,399.0,631.0,205.0,426.0
131,Broome (Outer West) & Tioga Counties PUMA,50754.0,25497.0,25257.0,43733.0,22376.0,21357.0,7021.0,3121.0,3900.0,13344.0,5871.0,7473.0,12041.0,5143.0,6898.0,1303.0,728.0,575.0,33797.0,17687.0,16110.0,28913.0,15666.0,13247.0,4884.0,2021.0,2863.0,3613.0,1939.0,1674.0,2779.0,1567.0,1212.0,834.0,372.0,462.0
132,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,20214.0,9515.0,10699.0,11953.0,5445.0,6508.0,8261.0,4070.0,4191.0,12606.0,5297.0,7309.0,8091.0,3128.0,4963.0,4515.0,2169.0,2346.0,7076.0,3726.0,3350.0,3709.0,2204.0,1505.0,3367.0,1522.0,1845.0,532.0,492.0,40.0,153.0,113.0,40.0,379.0,379.0,0.0
133,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",28697.0,14327.0,14370.0,14528.0,6859.0,7669.0,14169.0,7468.0,6701.0,12681.0,6414.0,6267.0,6949.0,3353.0,3596.0,5732.0,3061.0,2671.0,14588.0,6765.0,7823.0,6793.0,2909.0,3884.0,7795.0,3856.0,3939.0,1428.0,1148.0,280.0,786.0,597.0,189.0,642.0,551.0,91.0
134,NYC-Manhattan Community District 10--Central Harlem PUMA,11936.0,6945.0,4991.0,2336.0,1224.0,1112.0,9600.0,5721.0,3879.0,10676.0,6096.0,4580.0,2019.0,1028.0,991.0,8657.0,5068.0,3589.0,1260.0,849.0,411.0,317.0,196.0,121.0,943.0,653.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",16866.0,8924.0,7942.0,12696.0,7089.0,5607.0,4170.0,1835.0,2335.0,10098.0,4609.0,5489.0,8505.0,4081.0,4424.0,1593.0,528.0,1065.0,6264.0,3921.0,2343.0,3830.0,2719.0,1111.0,2434.0,1202.0,1232.0,504.0,394.0,110.0,361.0,289.0,72.0,143.0,105.0,38.0
136,Erie County (Northwest) PUMA,47770.0,23647.0,24123.0,40334.0,19598.0,20736.0,7436.0,4049.0,3387.0,20142.0,8936.0,11206.0,17944.0,7874.0,10070.0,2198.0,1062.0,1136.0,26726.0,14181.0,12545.0,21580.0,11286.0,10294.0,5146.0,2895.0,2251.0,902.0,530.0,372.0,810.0,438.0,372.0,92.0,92.0,0.0
137,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,18224.0,10364.0,7860.0,5865.0,3173.0,2692.0,12359.0,7191.0,5168.0,13359.0,7466.0,5893.0,3281.0,1435.0,1846.0,10078.0,6031.0,4047.0,4623.0,2898.0,1725.0,2483.0,1738.0,745.0,2140.0,1160.0,980.0,242.0,0.0,242.0,101.0,0.0,101.0,141.0,0.0,141.0
138,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,39205.0,20388.0,18817.0,32466.0,16827.0,15639.0,6739.0,3561.0,3178.0,11668.0,5178.0,6490.0,10199.0,4053.0,6146.0,1469.0,1125.0,344.0,26597.0,14934.0,11663.0,21592.0,12498.0,9094.0,5005.0,2436.0,2569.0,940.0,276.0,664.0,675.0,276.0,399.0,265.0,0.0,265.0
139,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",55395.0,27075.0,28320.0,48009.0,22976.0,25033.0,7386.0,4099.0,3287.0,22973.0,10018.0,12955.0,20343.0,8727.0,11616.0,2630.0,1291.0,1339.0,31174.0,16381.0,14793.0,26552.0,13573.0,12979.0,4622.0,2808.0,1814.0,1248.0,676.0,572.0,1114.0,676.0,438.0,134.0,0.0,134.0
140,Nassau County (West Central)--Hempstead Town (West Central) PUMA,22951.0,11697.0,11254.0,20832.0,10469.0,10363.0,2119.0,1228.0,891.0,12315.0,5586.0,6729.0,11624.0,5140.0,6484.0,691.0,446.0,245.0,10081.0,5654.0,4427.0,8653.0,4872.0,3781.0,1428.0,782.0,646.0,555.0,457.0,98.0,555.0,457.0,98.0,0.0,0.0,0.0
