,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,846522,507148,339374,58621.326303391994,61452.17439485121,54391.01122949902,355673,184359,171314,86412.29623277561,98491.18994461892,73413.6343264415,384977,244184,140793,39814.79981401486,41732.08639386692,36489.558458161984,105872,78605,27267,33643.82989836784,35841.26033967305,27309.102211464407
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,4751,3087,1664,71235.48726583878,74680.85519922254,64843.75,2164,1111,1053,76597.87430683919,79046.62466246625,74014.24501424501,2388,1777,611,66230.31825795645,72141.24929656724,49039.279869067104,199,199,0,72984.92462311558,72984.92462311558,0.0
2,"Chenango, Delaware & Broome (East) Counties PUMA",255,220,35,27327.843137254902,31198.18181818182,3000.0,120,85,35,31963.333333333332,43889.41176470588,3000.0,135,135,0,23207.40740740741,23207.40740740741,0.0,0,0,0,#DIV/0!,0.0,0.0
3,Cayuga & Onondaga (South) Counties PUMA,30,0,30,90000.0,0.0,90000.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,30,0,30,90000.0,0.0,90000.0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,10245,5683,4562,40114.52415812592,40754.42547950026,39317.38272687418,1903,650,1253,61678.56016815554,63381.53846153846,60795.1316839585,5974,3325,2649,38086.18011382658,40763.6992481203,34725.38316345791,2368,1708,660,27902.094594594593,32125.351288056205,16972.81818181818
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",9989,6027,3962,46824.41185303834,46794.89132238261,46869.31852599697,2897,1562,1335,65876.6309975837,57118.822023047374,76123.59550561798,5162,3125,2037,41396.94691979853,45548.288,35028.296514482085,1930,1340,590,32742.699481865286,37667.76865671642,21556.949152542373
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",11782,6117,5665,42109.39373620778,45164.83897335295,38810.16010591351,4014,1235,2779,55022.22222222222,71783.4008097166,47573.47966894566,5803,3508,2295,36634.52989832845,39430.27936145952,32361.114161220044,1965,1374,591,31900.0,35880.2037845706,22646.53130287648
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",227,98,129,84123.34801762115,136000.0,44713.17829457364,195,98,97,93989.7435897436,136000.0,51546.39175257732,32,0,32,24000.0,0.0,24000.0,0,0,0,#DIV/0!,0.0,0.0
8,Erie County (Northwest) PUMA,852,771,81,58919.01408450704,61221.78988326848,37000.0,702,621,81,60611.11111111111,63690.821256038646,37000.0,150,150,0,51000.0,51000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,7864,4787,3077,204074.54298067142,242137.6030917067,144858.46603834906,6864,3787,3077,228613.95775058275,296666.67705307633,144858.46603834906,812,812,0,26522.16748768473,26522.16748768473,0.0,188,188,0,75000.0,75000.0,0.0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",4808,2382,2426,128129.87728785358,143858.8161209068,112686.21187139324,3889,1882,2007,145979.54487014658,175542.87991498405,118257.47384155456,419,0,419,86000.0,0.0,86000.0,500,500,0,24600.0,24600.0,0.0
11,Saratoga County (South & Central) PUMA,1448,795,653,93114.50966850828,84245.04402515723,103912.71056661561,1367,795,572,93595.32553035844,84245.04402515723,106590.90909090909,81,0,81,85000.0,0.0,85000.0,0,0,0,#DIV/0!,0.0,0.0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,3169,1506,1663,72810.03471126538,92027.88844621513,55406.49428743235,2003,1015,988,96466.79980029954,120076.84729064039,72211.53846153847,986,311,675,36219.06693711968,47961.41479099679,30808.88888888889,180,180,0,10000.0,10000.0,0.0
13,Columbia & Greene Counties PUMA,510,246,264,91333.33333333333,88373.9837398374,94090.90909090909,419,175,244,101252.98329355608,102542.85714285714,100327.86885245901,46,26,20,75652.17391304347,120000.0,18000.0,45,45,0,15000.0,15000.0,0.0
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,5269,3241,2028,76057.48548111596,77032.25856217217,74499.67504930966,3152,1857,1295,100179.7877538071,104630.02154011847,93798.2555984556,2069,1336,733,40571.9671338811,40663.77245508982,40404.63847203274,48,48,0,21600.0,21600.0,0.0
