,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,845336,506206,339130,726688,427963,298725,118648,78243,40405,355330,184260,171070,334626,172480,162146,20704,11780,8924,384637,243844,140793,317756,202251,115505,66881,41593,25288,105369,78102,27267,74306,53232,21074,31063,24870,6193
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,4751,3087,1664,4065,2463,1602,686,624,62,2164,1111,1053,2092,1039,1053,72,72,0,2388,1777,611,1774,1225,549,614,552,62,199,199,0,199,199,0,0,0,0
2,"Chenango, Delaware & Broome (East) Counties PUMA",255,220,35,202,202,0,53,18,35,120,85,35,67,67,0,53,18,35,135,135,0,135,135,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Cayuga & Onondaga (South) Counties PUMA,30,0,30,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,30,0,30,0,0,0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,10245,5683,4562,8289,5021,3268,1956,662,1294,1903,650,1253,1836,650,1186,67,0,67,5974,3325,2649,4416,2788,1628,1558,537,1021,2368,1708,660,2037,1583,454,331,125,206
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",9989,6027,3962,8156,4633,3523,1833,1394,439,2897,1562,1335,2644,1309,1335,253,253,0,5162,3125,2037,4843,2865,1978,319,260,59,1930,1340,590,669,459,210,1261,881,380
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",11782,6117,5665,9759,5502,4257,2023,615,1408,4014,1235,2779,3249,1120,2129,765,115,650,5803,3508,2295,5177,3465,1712,626,43,583,1965,1374,591,1333,917,416,632,457,175
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",227,98,129,227,98,129,0,0,0,195,98,97,195,98,97,0,0,0,32,0,32,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0
8,Erie County (Northwest) PUMA,852,771,81,852,771,81,0,0,0,702,621,81,702,621,81,0,0,0,150,150,0,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,7864,4787,3077,7864,4787,3077,0,0,0,6864,3787,3077,6864,3787,3077,0,0,0,812,812,0,812,812,0,0,0,0,188,188,0,188,188,0,0,0,0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",4808,2382,2426,4302,1876,2426,506,506,0,3889,1882,2007,3883,1876,2007,6,6,0,419,0,419,419,0,419,0,0,0,500,500,0,0,0,0,500,500,0
11,Saratoga County (South & Central) PUMA,1448,795,653,1377,724,653,71,71,0,1367,795,572,1296,724,572,71,71,0,81,0,81,81,0,81,0,0,0,0,0,0,0,0,0,0,0,0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,3169,1506,1663,2890,1326,1564,279,180,99,2003,1015,988,2003,1015,988,0,0,0,986,311,675,887,311,576,99,0,99,180,180,0,0,0,0,180,180,0
13,Columbia & Greene Counties PUMA,510,246,264,445,201,244,65,45,20,419,175,244,419,175,244,0,0,0,46,26,20,26,26,0,20,0,20,45,45,0,0,0,0,45,45,0
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,5269,3241,2028,4675,2796,1879,594,445,149,3152,1857,1295,3073,1857,1216,79,0,79,2069,1336,733,1554,891,663,515,445,70,48,48,0,48,48,0,0,0,0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,8741,5375,3366,7918,4758,3160,823,617,206,4278,1767,2511,4278,1767,2511,0,0,0,2750,1916,834,2239,1611,628,511,305,206,1713,1692,21,1401,1380,21,312,312,0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,12434,6698,5736,11238,5944,5294,1196,754,442,5512,3078,2434,5250,3023,2227,262,55,207,5783,2619,3164,5356,2383,2973,427,236,191,1139,1001,138,632,538,94,507,463,44
17,Putnam County PUMA,2065,1591,474,1899,1425,474,166,166,0,323,177,146,323,177,146,0,0,0,1503,1175,328,1503,1175,328,0,0,0,239,239,0,73,73,0,166,166,0
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,5661,3839,1822,5192,3370,1822,469,469,0,3497,2295,1202,3257,2055,1202,240,240,0,1907,1287,620,1845,1225,620,62,62,0,257,257,0,90,90,0,167,167,0
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,24622,17698,6924,18566,13357,5209,6056,4341,1715,4038,2564,1474,3355,1999,1356,683,565,118,17419,12700,4719,12963,9775,3188,4456,2925,1531,3165,2434,731,2248,1583,665,917,851,66
