,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,7745.0,3664.0,4081.0,5135.0,2205.0,2930.0,2610.0,1459.0,1151.0,3931.0,1963.0,1968.0,3361.0,1544.0,1817.0,570.0,419.0,151.0,3583.0,1653.0,1930.0,1726.0,613.0,1113.0,1857.0,1040.0,817.0,231.0,48.0,183.0,48.0,48.0,0.0,183.0,0.0,183.0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,11151.0,5888.0,5263.0,5356.0,2366.0,2990.0,5795.0,3522.0,2273.0,5884.0,2262.0,3622.0,4606.0,1972.0,2634.0,1278.0,290.0,988.0,2944.0,1916.0,1028.0,547.0,212.0,335.0,2397.0,1704.0,693.0,2323.0,1710.0,613.0,203.0,182.0,21.0,2120.0,1528.0,592.0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,17119.0,8524.0,8595.0,9613.0,4575.0,5038.0,7506.0,3949.0,3557.0,6378.0,3262.0,3116.0,3955.0,1996.0,1959.0,2423.0,1266.0,1157.0,9144.0,4216.0,4928.0,5094.0,2250.0,2844.0,4050.0,1966.0,2084.0,1597.0,1046.0,551.0,564.0,329.0,235.0,1033.0,717.0,316.0
17,Putnam County PUMA,2639.0,1591.0,1048.0,1505.0,769.0,736.0,1134.0,822.0,312.0,578.0,177.0,401.0,578.0,177.0,401.0,0.0,0.0,0.0,1540.0,1175.0,365.0,783.0,592.0,191.0,757.0,583.0,174.0,521.0,239.0,282.0,144.0,0.0,144.0,377.0,239.0,138.0
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,7888.0,4109.0,3779.0,4803.0,2057.0,2746.0,3085.0,2052.0,1033.0,4313.0,2301.0,2012.0,3441.0,1569.0,1872.0,872.0,732.0,140.0,3007.0,1551.0,1456.0,1306.0,488.0,818.0,1701.0,1063.0,638.0,568.0,257.0,311.0,56.0,0.0,56.0,512.0,257.0,255.0
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,32777.0,19813.0,12964.0,10898.0,5570.0,5328.0,21879.0,14243.0,7636.0,5453.0,2633.0,2820.0,3255.0,1380.0,1875.0,2198.0,1253.0,945.0,22978.0,14240.0,8738.0,6446.0,3577.0,2869.0,16532.0,10663.0,5869.0,4346.0,2940.0,1406.0,1197.0,613.0,584.0,3149.0,2327.0,822.0
20,Rockland County (North)--New City & Congers PUMA,8595.0,4584.0,4011.0,6487.0,2752.0,3735.0,2108.0,1832.0,276.0,3438.0,1952.0,1486.0,3056.0,1570.0,1486.0,382.0,382.0,0.0,4255.0,2001.0,2254.0,2997.0,1019.0,1978.0,1258.0,982.0,276.0,902.0,631.0,271.0,434.0,163.0,271.0,468.0,468.0,0.0
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",20611.0,10971.0,9640.0,1401.0,963.0,438.0,19210.0,10008.0,9202.0,4498.0,2896.0,1602.0,434.0,256.0,178.0,4064.0,2640.0,1424.0,10906.0,5281.0,5625.0,707.0,707.0,0.0,10199.0,4574.0,5625.0,5207.0,2794.0,2413.0,260.0,0.0,260.0,4947.0,2794.0,2153.0
22,Orange County (Northwest) PUMA,5390.0,2893.0,2497.0,3088.0,1536.0,1552.0,2302.0,1357.0,945.0,2248.0,1166.0,1082.0,1565.0,889.0,676.0,683.0,277.0,406.0,2786.0,1371.0,1415.0,1523.0,647.0,876.0,1263.0,724.0,539.0,356.0,356.0,0.0,0.0,0.0,0.0,356.0,356.0,0.0
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,6444.0,2863.0,3581.0,2717.0,1191.0,1526.0,3727.0,1672.0,2055.0,4719.0,1770.0,2949.0,2445.0,1051.0,1394.0,2274.0,719.0,1555.0,1662.0,1093.0,569.0,272.0,140.0,132.0,1390.0,953.0,437.0,63.0,0.0,63.0,0.0,0.0,0.0,63.0,0.0,63.0
