,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,1230327,625848,604479,947065,491963,455102,283262,133885,149377,477126,220095,257031,416141,193035,223106,60985,27060,33925,580684,305980,274704,428167,237779,190388,152517,68201,84316,172517,99773,72744,102757,61149,41608,69760,38624,31136
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,6673,3358,3315,5197,2634,2563,1476,724,752,2646,1180,1466,2574,1108,1466,72,72,0,3356,1879,1477,2330,1327,1003,1026,552,474,671,299,372,293,199,94,378,100,278
2,"Chenango, Delaware & Broome (East) Counties PUMA",255,220,35,202,202,0,53,18,35,120,85,35,67,67,0,53,18,35,135,135,0,135,135,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Cayuga & Onondaga (South) Counties PUMA,30,0,30,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,30,0,30,0,0,0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,16295,8726,7569,10884,5935,4949,5411,2791,2620,2330,824,1506,2089,650,1439,241,174,67,10335,5551,4784,6035,3471,2564,4300,2080,2220,3630,2351,1279,2760,1814,946,870,537,333
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",15207,7414,7793,11058,5160,5898,4149,2254,1895,4001,1725,2276,3497,1472,2025,504,253,251,7832,3979,3853,6361,3170,3191,1471,809,662,3374,1710,1664,1200,518,682,2174,1192,982
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",17298,7896,9402,12741,6397,6344,4557,1499,3058,5279,1504,3775,4374,1389,2985,905,115,790,9190,4835,4355,6634,3908,2726,2556,927,1629,2829,1557,1272,1733,1100,633,1096,457,639
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",464,98,366,363,98,265,101,0,101,393,98,295,292,98,194,101,0,101,71,0,71,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0
8,Erie County (Northwest) PUMA,1234,893,341,1112,771,341,122,122,0,702,621,81,702,621,81,0,0,0,410,150,260,410,150,260,0,0,0,122,122,0,0,0,0,122,122,0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,12891,5499,7392,10845,4820,6025,2046,679,1367,9009,4042,4967,7984,3787,4197,1025,255,770,3285,1023,2262,2477,812,1665,808,211,597,597,434,163,384,221,163,213,213,0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",8426,4261,4165,6991,2987,4004,1435,1274,161,5301,1949,3352,5082,1876,3206,219,73,146,2625,1812,813,1909,1111,798,716,701,15,500,500,0,0,0,0,500,500,0
11,Saratoga County (South & Central) PUMA,1906,943,963,1718,872,846,188,71,117,1730,943,787,1542,872,670,188,71,117,176,0,176,176,0,176,0,0,0,0,0,0,0,0,0,0,0,0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,4703,1615,3088,4309,1435,2874,394,180,214,2557,1015,1542,2557,1015,1542,0,0,0,1789,311,1478,1575,311,1264,214,0,214,357,289,68,177,109,68,180,180,0
13,Columbia & Greene Counties PUMA,1487,411,1076,988,366,622,499,45,454,672,278,394,672,278,394,0,0,0,708,26,682,254,26,228,454,0,454,107,107,0,62,62,0,45,45,0
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,7745,3664,4081,6803,3219,3584,942,445,497,3931,1963,1968,3852,1963,1889,79,0,79,3583,1653,1930,2804,1208,1596,779,445,334,231,48,183,147,48,99,84,0,84
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,11188,5925,5263,10146,5283,4863,1042,642,400,5921,2299,3622,5896,2274,3622,25,25,0,2944,1916,1028,2433,1611,822,511,305,206,2323,1710,613,1817,1398,419,506,312,194
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,17119,8524,8595,13993,6880,7113,3126,1644,1482,6378,3262,3116,5949,3116,2833,429,146,283,9144,4216,4928,7193,3226,3967,1951,990,961,1597,1046,551,851,538,313,746,508,238
17,Putnam County PUMA,2675,1627,1048,2329,1425,904,346,202,144,614,213,401,578,177,401,36,36,0,1540,1175,365,1540,1175,365,0,0,0,521,239,282,211,73,138,310,166,144
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,7909,4130,3779,6923,3570,3353,986,560,426,4334,2322,2012,4000,2068,1932,334,254,80,3007,1551,1456,2691,1412,1279,316,139,177,568,257,311,232,90,142,336,167,169
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,32789,19825,12964,22788,14489,8299,10001,5336,4665,5453,2633,2820,4636,1999,2637,817,634,183,22990,14252,8738,15262,10550,4712,7728,3702,4026,4346,2940,1406,2890,1940,950,1456,1000,456
20,Rockland County (North)--New City & Congers PUMA,8658,4647,4011,7168,3888,3280,1490,759,731,3438,1952,1486,3438,1952,1486,0,0,0,4255,2001,2254,2828,1305,1523,1427,696,731,965,694,271,902,631,271,63,63,0
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",20746,10971,9775,12033,7061,4972,8713,3910,4803,4498,2896,1602,2909,1932,977,1589,964,625,10906,5281,5625,6836,4015,2821,4070,1266,2804,5342,2794,2548,2288,1114,1174,3054,1680,1374
22,Orange County (Northwest) PUMA,5390,2893,2497,5162,2893,2269,228,0,228,2248,1166,1082,2248,1166,1082,0,0,0,2786,1371,1415,2558,1371,1187,228,0,228,356,356,0,356,356,0,0,0,0
