,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,1237231,478713,220564,258149,583659,308721,274938,174859,101972,72887
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,6673,2646,1180,1466,3356,1879,1477,671,299,372
2,"Chenango, Delaware & Broome (East) Counties PUMA",255,120,85,35,135,135,0,0,0,0
3,Cayuga & Onondaga (South) Counties PUMA,30,0,0,0,0,0,0,30,0,30
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,16295,2330,824,1506,10335,5551,4784,3630,2351,1279
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",15207,4001,1725,2276,7832,3979,3853,3374,1710,1664
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",17298,5279,1504,3775,9190,4835,4355,2829,1557,1272
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",464,393,98,295,71,0,71,0,0,0
8,Erie County (Northwest) PUMA,1234,702,621,81,410,150,260,122,122,0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,12891,9009,4042,4967,3285,1023,2262,597,434,163
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",8426,5301,1949,3352,2625,1812,813,500,500,0
11,Saratoga County (South & Central) PUMA,1906,1730,943,787,176,0,176,0,0,0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,4703,2557,1015,1542,1789,311,1478,357,289,68
13,Columbia & Greene Counties PUMA,1507,672,278,394,728,46,682,107,107,0
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,7745,3931,1963,1968,3583,1653,1930,231,48,183
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,11204,5921,2299,3622,2944,1916,1028,2339,1716,623
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,17119,6378,3262,3116,9144,4216,4928,1597,1046,551
17,Putnam County PUMA,2675,614,213,401,1540,1175,365,521,239,282
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,7909,4334,2322,2012,3007,1551,1456,568,257,311
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,32789,5453,2633,2820,22990,14252,8738,4346,2940,1406
20,Rockland County (North)--New City & Congers PUMA,8658,3438,1952,1486,4255,2001,2254,965,694,271
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",20746,4498,2896,1602,10906,5281,5625,5342,2794,2548
22,Orange County (Northwest) PUMA,5440,2248,1166,1082,2836,1371,1465,356,356,0
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,6444,4719,1770,2949,1662,1093,569,63,0,63
24,Dutchess County (Southwest) PUMA,6864,3439,956,2483,2723,2152,571,702,340,362
25,Westchester County (Northwest) PUMA,9759,4433,1683,2750,3190,1991,1199,2136,1397,739
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,4435,1748,966,782,2536,1455,1081,151,76,75
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,12326,5219,2072,3147,4259,1916,2343,2848,1847,1001
28,Saratoga County (Outer) PUMA,1824,1559,855,704,219,117,102,46,46,0
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,27545,9746,5331,4415,13034,6765,6269,4765,3222,1543
30,Erie County (South) PUMA,816,535,247,288,258,258,0,23,0,23
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",20701,7525,3802,3723,10347,6194,4153,2829,1142,1687
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,7777,3105,1646,1459,3729,1810,1919,943,358,585
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,7589,2080,970,1110,3237,1636,1601,2272,1830,442
34,St. Lawrence County PUMA,1840,705,361,344,1016,663,353,119,95,24
35,Genesee & Orleans Counties PUMA,1044,492,360,132,370,309,61,182,182,0
36,Monroe County (Central)--Rochester City (West) PUMA,1943,796,224,572,906,534,372,241,90,151
37,Wayne & Seneca Counties PUMA,1420,828,151,677,515,341,174,77,0,77
38,Warren & Washington Counties PUMA,117,94,94,0,23,23,0,0,0,0
39,Erie County (North Central) PUMA,4913,4384,2601,1783,365,0,365,164,71,93
40,"Clinton, Franklin, Essex & Hamilton Counties PUMA",881,168,47,121,403,239,164,310,310,0
41,Dutchess County (North & East) PUMA,2496,1119,423,696,553,449,104,824,655,169
42,Tompkins County PUMA,4208,3718,1947,1771,343,79,264,147,0,147
