,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,2779.0,1546.0,1233.0,1228.0,511.0,717.0,1551.0,1035.0,516.0,379.0,0.0,379.0,379.0,0.0,379.0,0.0,0.0,0.0,1032.0,483.0,549.0,519.0,252.0,267.0,513.0,231.0,282.0,1368.0,1063.0,305.0,330.0,259.0,71.0,1038.0,804.0,234.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,2004.0,671.0,1333.0,1772.0,671.0,1101.0,232.0,0.0,232.0,579.0,0.0,579.0,579.0,0.0,579.0,0.0,0.0,0.0,1425.0,671.0,754.0,1193.0,671.0,522.0,232.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Tompkins County PUMA,457.0,457.0,0.0,457.0,457.0,0.0,0.0,0.0,0.0,329.0,329.0,0.0,329.0,329.0,0.0,0.0,0.0,0.0,128.0,128.0,0.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Dutchess County (Southwest) PUMA,2456.0,785.0,1671.0,2456.0,785.0,1671.0,0.0,0.0,0.0,513.0,116.0,397.0,513.0,116.0,397.0,0.0,0.0,0.0,1267.0,669.0,598.0,1267.0,669.0,598.0,0.0,0.0,0.0,676.0,0.0,676.0,676.0,0.0,676.0,0.0,0.0,0.0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,3617.0,1843.0,1774.0,1832.0,916.0,916.0,1785.0,927.0,858.0,596.0,154.0,442.0,413.0,154.0,259.0,183.0,0.0,183.0,2844.0,1619.0,1225.0,1242.0,692.0,550.0,1602.0,927.0,675.0,177.0,70.0,107.0,177.0,70.0,107.0,0.0,0.0,0.0
21,Westchester County (Northwest) PUMA,1489.0,756.0,733.0,1000.0,663.0,337.0,489.0,93.0,396.0,142.0,0.0,142.0,142.0,0.0,142.0,0.0,0.0,0.0,926.0,530.0,396.0,437.0,437.0,0.0,489.0,93.0,396.0,421.0,226.0,195.0,421.0,226.0,195.0,0.0,0.0,0.0
22,Albany County (Outside Albany City) PUMA,1067.0,845.0,222.0,628.0,406.0,222.0,439.0,439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,406.0,222.0,628.0,406.0,222.0,0.0,0.0,0.0,439.0,439.0,0.0,0.0,0.0,0.0,439.0,439.0,0.0
23,Monroe County (South) PUMA,107.0,0.0,107.0,107.0,0.0,107.0,0.0,0.0,0.0,107.0,0.0,107.0,107.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Jefferson & Lewis Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Erie County (Central) PUMA,331.0,168.0,163.0,331.0,168.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,168.0,163.0,331.0,168.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,St. Lawrence County PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1745.0,1281.0,464.0,872.0,408.0,464.0,873.0,873.0,0.0,408.0,408.0,0.0,408.0,408.0,0.0,0.0,0.0,0.0,1337.0,873.0,464.0,464.0,0.0,464.0,873.0,873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,4145.0,1907.0,2238.0,2964.0,1376.0,1588.0,1181.0,531.0,650.0,850.0,374.0,476.0,629.0,374.0,255.0,221.0,0.0,221.0,2719.0,1052.0,1667.0,1759.0,521.0,1238.0,960.0,531.0,429.0,576.0,481.0,95.0,576.0,481.0,95.0,0.0,0.0,0.0
31,Cayuga & Onondaga (South) Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Fulton & Montgomery Counties PUMA,944.0,0.0,944.0,591.0,0.0,591.0,353.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944.0,0.0,944.0,591.0,0.0,591.0,353.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,416.0,74.0,342.0,416.0,74.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0,74.0,74.0,0.0,0.0,0.0,0.0,342.0,0.0,342.0,342.0,0.0,342.0,0.0,0.0,0.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1505.0,484.0,1021.0,1385.0,484.0,901.0,120.0,0.0,120.0,85.0,0.0,85.0,85.0,0.0,85.0,0.0,0.0,0.0,1185.0,249.0,936.0,1065.0,249.0,816.0,120.0,0.0,120.0,235.0,235.0,0.0,235.0,235.0,0.0,0.0,0.0,0.0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,177.0,177.0,0.0,177.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,177.0,0.0,177.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,1455.0,633.0,822.0,1162.0,633.0,529.0,293.0,0.0,293.0,246.0,246.0,0.0,246.0,246.0,0.0,0.0,0.0,0.0,1209.0,387.0,822.0,916.0,387.0,529.0,293.0,0.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",7257.0,2542.0,4715.0,5150.0,2067.0,3083.0,2107.0,475.0,1632.0,637.0,0.0,637.0,637.0,0.0,637.0,0.0,0.0,0.0,5180.0,2108.0,3072.0,3979.0,1993.0,1986.0,1201.0,115.0,1086.0,1440.0,434.0,1006.0,534.0,74.0,460.0,906.0,360.0,546.0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,350.0,200.0,150.0,350.0,200.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,200.0,150.0,350.0,200.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",1506.0,426.0,1080.0,1234.0,426.0,808.0,272.0,0.0,272.0,181.0,181.0,0.0,181.0,181.0,0.0,0.0,0.0,0.0,1114.0,140.0,974.0,842.0,140.0,702.0,272.0,0.0,272.0,211.0,105.0,106.0,211.0,105.0,106.0,0.0,0.0,0.0
41,Suffolk County (Central)--Islip Town (East) PUMA,993.0,398.0,595.0,773.0,398.0,375.0,220.0,0.0,220.0,241.0,241.0,0.0,241.0,241.0,0.0,0.0,0.0,0.0,752.0,157.0,595.0,532.0,157.0,375.0,220.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
