,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",237.0,120.0,117.0,138.0,120.0,18.0,99.0,0.0,99.0,117.0,0.0,117.0,18.0,0.0,18.0,99.0,0.0,99.0,120.0,120.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,3326.0,1931.0,1395.0,547.0,385.0,162.0,2779.0,1546.0,1233.0,489.0,0.0,489.0,110.0,0.0,110.0,379.0,0.0,379.0,1469.0,868.0,601.0,437.0,385.0,52.0,1032.0,483.0,549.0,1368.0,1063.0,305.0,0.0,0.0,0.0,1368.0,1063.0,305.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,2188.0,715.0,1473.0,140.0,0.0,140.0,2048.0,715.0,1333.0,646.0,0.0,646.0,67.0,0.0,67.0,579.0,0.0,579.0,1542.0,715.0,827.0,73.0,0.0,73.0,1469.0,715.0,754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Tompkins County PUMA,947.0,457.0,490.0,490.0,0.0,490.0,457.0,457.0,0.0,587.0,329.0,258.0,258.0,0.0,258.0,329.0,329.0,0.0,360.0,128.0,232.0,232.0,0.0,232.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Dutchess County (Southwest) PUMA,5778.0,2287.0,3491.0,3322.0,1502.0,1820.0,2456.0,785.0,1671.0,1194.0,176.0,1018.0,681.0,60.0,621.0,513.0,116.0,397.0,3104.0,1532.0,1572.0,1837.0,863.0,974.0,1267.0,669.0,598.0,1480.0,579.0,901.0,804.0,579.0,225.0,676.0,0.0,676.0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,6860.0,3677.0,3183.0,3183.0,1774.0,1409.0,3677.0,1903.0,1774.0,1195.0,382.0,813.0,599.0,228.0,371.0,596.0,154.0,442.0,5309.0,3097.0,2212.0,2405.0,1418.0,987.0,2904.0,1679.0,1225.0,356.0,198.0,158.0,179.0,128.0,51.0,177.0,70.0,107.0
21,Westchester County (Northwest) PUMA,3260.0,1168.0,2092.0,1771.0,412.0,1359.0,1489.0,756.0,733.0,913.0,133.0,780.0,771.0,133.0,638.0,142.0,0.0,142.0,1926.0,809.0,1117.0,1000.0,279.0,721.0,926.0,530.0,396.0,421.0,226.0,195.0,0.0,0.0,0.0,421.0,226.0,195.0
22,Albany County (Outside Albany City) PUMA,1572.0,1007.0,565.0,505.0,162.0,343.0,1067.0,845.0,222.0,343.0,0.0,343.0,343.0,0.0,343.0,0.0,0.0,0.0,790.0,568.0,222.0,162.0,162.0,0.0,628.0,406.0,222.0,439.0,439.0,0.0,0.0,0.0,0.0,439.0,439.0,0.0
23,Monroe County (South) PUMA,364.0,134.0,230.0,257.0,134.0,123.0,107.0,0.0,107.0,241.0,134.0,107.0,134.0,134.0,0.0,107.0,0.0,107.0,123.0,0.0,123.0,123.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Jefferson & Lewis Counties PUMA,209.0,209.0,0.0,209.0,209.0,0.0,0.0,0.0,0.0,64.0,64.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,145.0,145.0,0.0,145.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Chenango, Delaware & Broome (East) Counties PUMA",307.0,268.0,39.0,307.0,268.0,39.0,0.0,0.0,0.0,21.0,0.0,21.0,21.0,0.0,21.0,0.0,0.0,0.0,203.0,185.0,18.0,203.0,185.0,18.0,0.0,0.0,0.0,83.0,83.0,0.0,83.0,83.0,0.0,0.0,0.0,0.0
26,Erie County (Central) PUMA,783.0,440.0,343.0,452.0,272.0,180.0,331.0,168.0,163.0,187.0,133.0,54.0,187.0,133.0,54.0,0.0,0.0,0.0,596.0,307.0,289.0,265.0,139.0,126.0,331.0,168.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,St. Lawrence County PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1745.0,1281.0,464.0,0.0,0.0,0.0,1745.0,1281.0,464.0,408.0,408.0,0.0,0.0,0.0,0.0,408.0,408.0,0.0,1337.0,873.0,464.0,0.0,0.0,0.0,1337.0,873.0,464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1203.0,510.0,693.0,1203.0,510.0,693.0,0.0,0.0,0.0,598.0,105.0,493.0,598.0,105.0,493.0,0.0,0.0,0.0,605.0,405.0,200.0,605.0,405.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,5437.0,1999.0,3438.0,1292.0,92.0,1200.0,4145.0,1907.0,2238.0,1597.0,466.0,1131.0,747.0,92.0,655.0,850.0,374.0,476.0,3264.0,1052.0,2212.0,545.0,0.0,545.0,2719.0,1052.0,1667.0,576.0,481.0,95.0,0.0,0.0,0.0,576.0,481.0,95.0
31,Cayuga & Onondaga (South) Counties PUMA,250.0,197.0,53.0,250.0,197.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,197.0,53.0,250.0,197.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1851.0,704.0,1147.0,1851.0,704.0,1147.0,0.0,0.0,0.0,745.0,318.0,427.0,745.0,318.0,427.0,0.0,0.0,0.0,1010.0,386.0,624.0,1010.0,386.0,624.0,0.0,0.0,0.0,96.0,0.0,96.0,96.0,0.0,96.0,0.0,0.0,0.0
33,Fulton & Montgomery Counties PUMA,1119.0,175.0,944.0,175.0,175.0,0.0,944.0,0.0,944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1119.0,175.0,944.0,175.0,175.0,0.0,944.0,0.0,944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,531.0,145.0,386.0,115.0,71.0,44.0,416.0,74.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,145.0,44.0,115.0,71.0,44.0,74.0,74.0,0.0,342.0,0.0,342.0,0.0,0.0,0.0,342.0,0.0,342.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,5224.0,2575.0,2649.0,3380.0,1752.0,1628.0,1844.0,823.0,1021.0,481.0,52.0,429.0,396.0,52.0,344.0,85.0,0.0,85.0,4176.0,2205.0,1971.0,2652.0,1617.0,1035.0,1524.0,588.0,936.0,567.0,318.0,249.0,332.0,83.0,249.0,235.0,235.0,0.0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,597.0,258.0,339.0,339.0,0.0,339.0,258.0,258.0,0.0,99.0,0.0,99.0,99.0,0.0,99.0,0.0,0.0,0.0,498.0,258.0,240.0,240.0,0.0,240.0,258.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,4473.0,2509.0,1964.0,2886.0,1876.0,1010.0,1587.0,633.0,954.0,689.0,465.0,224.0,443.0,219.0,224.0,246.0,246.0,0.0,3486.0,1746.0,1740.0,2145.0,1359.0,786.0,1341.0,387.0,954.0,298.0,298.0,0.0,298.0,298.0,0.0,0.0,0.0,0.0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",8418.0,3024.0,5394.0,417.0,186.0,231.0,8001.0,2838.0,5163.0,901.0,134.0,767.0,264.0,134.0,130.0,637.0,0.0,637.0,5719.0,2160.0,3559.0,91.0,52.0,39.0,5628.0,2108.0,3520.0,1798.0,730.0,1068.0,62.0,0.0,62.0,1736.0,730.0,1006.0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,476.0,200.0,276.0,0.0,0.0,0.0,476.0,200.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,200.0,150.0,0.0,0.0,0.0,350.0,200.0,150.0,126.0,0.0,126.0,0.0,0.0,0.0,126.0,0.0,126.0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",2560.0,1257.0,1303.0,628.0,405.0,223.0,1932.0,852.0,1080.0,339.0,221.0,118.0,158.0,40.0,118.0,181.0,181.0,0.0,1868.0,789.0,1079.0,328.0,223.0,105.0,1540.0,566.0,974.0,353.0,247.0,106.0,142.0,142.0,0.0,211.0,105.0,106.0
41,Suffolk County (Central)--Islip Town (East) PUMA,1945.0,891.0,1054.0,952.0,493.0,459.0,993.0,398.0,595.0,331.0,241.0,90.0,90.0,0.0,90.0,241.0,241.0,0.0,1439.0,475.0,964.0,687.0,318.0,369.0,752.0,157.0,595.0,175.0,175.0,0.0,175.0,175.0,0.0,0.0,0.0,0.0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1078.0,1002.0,76.0,0.0,0.0,0.0,1078.0,1002.0,76.0,312.0,312.0,0.0,0.0,0.0,0.0,312.0,312.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,600.0,600.0,0.0,166.0,90.0,76.0,0.0,0.0,0.0,166.0,90.0,76.0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",2130.0,987.0,1143.0,988.0,544.0,444.0,1142.0,443.0,699.0,973.0,392.0,581.0,482.0,301.0,181.0,491.0,91.0,400.0,1083.0,521.0,562.0,506.0,243.0,263.0,577.0,278.0,299.0,74.0,74.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,939.0,422.0,517.0,189.0,0.0,189.0,750.0,422.0,328.0,379.0,169.0,210.0,0.0,0.0,0.0,379.0,169.0,210.0,438.0,131.0,307.0,189.0,0.0,189.0,249.0,131.0,118.0,122.0,122.0,0.0,0.0,0.0,0.0,122.0,122.0,0.0
45,Saratoga County (Outer) PUMA,315.0,315.0,0.0,315.0,315.0,0.0,0.0,0.0,0.0,41.0,41.0,0.0,41.0,41.0,0.0,0.0,0.0,0.0,274.0,274.0,0.0,274.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",3699.0,1493.0,2206.0,1653.0,797.0,856.0,2046.0,696.0,1350.0,679.0,269.0,410.0,513.0,103.0,410.0,166.0,166.0,0.0,2567.0,993.0,1574.0,1027.0,581.0,446.0,1540.0,412.0,1128.0,453.0,231.0,222.0,113.0,113.0,0.0,340.0,118.0,222.0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",762.0,50.0,712.0,147.0,50.0,97.0,615.0,0.0,615.0,40.0,0.0,40.0,0.0,0.0,0.0,40.0,0.0,40.0,384.0,50.0,334.0,147.0,50.0,97.0,237.0,0.0,237.0,338.0,0.0,338.0,0.0,0.0,0.0,338.0,0.0,338.0
48,Wayne & Seneca Counties PUMA,730.0,467.0,263.0,329.0,269.0,60.0,401.0,198.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.0,319.0,263.0,272.0,212.0,60.0,310.0,107.0,203.0,148.0,148.0,0.0,57.0,57.0,0.0,91.0,91.0,0.0
49,Schenectady County--Schenectady City PUMA,845.0,299.0,546.0,422.0,146.0,276.0,423.0,153.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845.0,299.0,546.0,422.0,146.0,276.0,423.0,153.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,3302.0,1723.0,1579.0,178.0,178.0,0.0,3124.0,1545.0,1579.0,1167.0,666.0,501.0,58.0,58.0,0.0,1109.0,608.0,501.0,1686.0,783.0,903.0,120.0,120.0,0.0,1566.0,663.0,903.0,449.0,274.0,175.0,0.0,0.0,0.0,449.0,274.0,175.0
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,453.0,121.0,332.0,415.0,83.0,332.0,38.0,38.0,0.0,83.0,83.0,0.0,83.0,83.0,0.0,0.0,0.0,0.0,370.0,38.0,332.0,332.0,0.0,332.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,3406.0,1932.0,1474.0,2806.0,1759.0,1047.0,600.0,173.0,427.0,1279.0,1013.0,266.0,1173.0,907.0,266.0,106.0,106.0,0.0,2048.0,919.0,1129.0,1554.0,852.0,702.0,494.0,67.0,427.0,79.0,0.0,79.0,79.0,0.0,79.0,0.0,0.0,0.0
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",3475.0,1657.0,1818.0,196.0,196.0,0.0,3279.0,1461.0,1818.0,534.0,0.0,534.0,0.0,0.0,0.0,534.0,0.0,534.0,2253.0,1338.0,915.0,196.0,196.0,0.0,2057.0,1142.0,915.0,688.0,319.0,369.0,0.0,0.0,0.0,688.0,319.0,369.0
54,Columbia & Greene Counties PUMA,459.0,134.0,325.0,245.0,134.0,111.0,214.0,0.0,214.0,82.0,0.0,82.0,82.0,0.0,82.0,0.0,0.0,0.0,327.0,84.0,243.0,113.0,84.0,29.0,214.0,0.0,214.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0
55,Rensselaer County--Troy City PUMA,555.0,134.0,421.0,163.0,134.0,29.0,392.0,0.0,392.0,118.0,0.0,118.0,29.0,0.0,29.0,89.0,0.0,89.0,104.0,48.0,56.0,48.0,48.0,0.0,56.0,0.0,56.0,333.0,86.0,247.0,86.0,86.0,0.0,247.0,0.0,247.0
56,Erie County (West Central)--Buffalo City (West) PUMA,3810.0,2432.0,1378.0,1202.0,711.0,491.0,2608.0,1721.0,887.0,111.0,0.0,111.0,71.0,0.0,71.0,40.0,0.0,40.0,3198.0,1931.0,1267.0,991.0,571.0,420.0,2207.0,1360.0,847.0,501.0,501.0,0.0,140.0,140.0,0.0,361.0,361.0,0.0
57,Erie County (South) PUMA,94.0,0.0,94.0,94.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,0.0,48.0,0.0,0.0,0.0,46.0,0.0,46.0,46.0,0.0,46.0,0.0,0.0,0.0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,790.0,443.0,347.0,39.0,0.0,39.0,751.0,443.0,308.0,115.0,115.0,0.0,0.0,0.0,0.0,115.0,115.0,0.0,403.0,56.0,347.0,39.0,0.0,39.0,364.0,56.0,308.0,272.0,272.0,0.0,0.0,0.0,0.0,272.0,272.0,0.0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",4438.0,1426.0,3012.0,385.0,77.0,308.0,4053.0,1349.0,2704.0,1845.0,297.0,1548.0,212.0,77.0,135.0,1633.0,220.0,1413.0,2370.0,1129.0,1241.0,173.0,0.0,173.0,2197.0,1129.0,1068.0,223.0,0.0,223.0,0.0,0.0,0.0,223.0,0.0,223.0
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,1544.0,1025.0,519.0,218.0,78.0,140.0,1326.0,947.0,379.0,424.0,78.0,346.0,218.0,78.0,140.0,206.0,0.0,206.0,1001.0,828.0,173.0,0.0,0.0,0.0,1001.0,828.0,173.0,119.0,119.0,0.0,0.0,0.0,0.0,119.0,119.0,0.0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,4859.0,1796.0,3063.0,377.0,159.0,218.0,4482.0,1637.0,2845.0,847.0,321.0,526.0,77.0,0.0,77.0,770.0,321.0,449.0,2848.0,629.0,2219.0,159.0,159.0,0.0,2689.0,470.0,2219.0,1164.0,846.0,318.0,141.0,0.0,141.0,1023.0,846.0,177.0
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,1103.0,49.0,1054.0,863.0,49.0,814.0,240.0,0.0,240.0,374.0,49.0,325.0,374.0,49.0,325.0,0.0,0.0,0.0,622.0,0.0,622.0,382.0,0.0,382.0,240.0,0.0,240.0,107.0,0.0,107.0,107.0,0.0,107.0,0.0,0.0,0.0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,4806.0,2696.0,2110.0,348.0,129.0,219.0,4458.0,2567.0,1891.0,400.0,228.0,172.0,54.0,0.0,54.0,346.0,228.0,118.0,2320.0,1206.0,1114.0,294.0,129.0,165.0,2026.0,1077.0,949.0,2086.0,1262.0,824.0,0.0,0.0,0.0,2086.0,1262.0,824.0
64,Albany County (East Central)--Albany City PUMA,1724.0,748.0,976.0,0.0,0.0,0.0,1724.0,748.0,976.0,333.0,186.0,147.0,0.0,0.0,0.0,333.0,186.0,147.0,1215.0,386.0,829.0,0.0,0.0,0.0,1215.0,386.0,829.0,176.0,176.0,0.0,0.0,0.0,0.0,176.0,176.0,0.0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,1095.0,548.0,547.0,1095.0,548.0,547.0,0.0,0.0,0.0,229.0,0.0,229.0,229.0,0.0,229.0,0.0,0.0,0.0,866.0,548.0,318.0,866.0,548.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,447.0,0.0,447.0,0.0,0.0,0.0,447.0,0.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,86.0,0.0,0.0,0.0,86.0,0.0,86.0,361.0,0.0,361.0,0.0,0.0,0.0,361.0,0.0,361.0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",12027.0,5183.0,6844.0,1383.0,778.0,605.0,10644.0,4405.0,6239.0,993.0,453.0,540.0,652.0,374.0,278.0,341.0,79.0,262.0,7091.0,2934.0,4157.0,655.0,404.0,251.0,6436.0,2530.0,3906.0,3943.0,1796.0,2147.0,76.0,0.0,76.0,3867.0,1796.0,2071.0
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",5682.0,2594.0,3088.0,0.0,0.0,0.0,5682.0,2594.0,3088.0,899.0,119.0,780.0,0.0,0.0,0.0,899.0,119.0,780.0,2565.0,1141.0,1424.0,0.0,0.0,0.0,2565.0,1141.0,1424.0,2218.0,1334.0,884.0,0.0,0.0,0.0,2218.0,1334.0,884.0
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",6165.0,3008.0,3157.0,2281.0,1069.0,1212.0,3884.0,1939.0,1945.0,1440.0,567.0,873.0,731.0,337.0,394.0,709.0,230.0,479.0,4085.0,2090.0,1995.0,1470.0,652.0,818.0,2615.0,1438.0,1177.0,640.0,351.0,289.0,80.0,80.0,0.0,560.0,271.0,289.0
70,Erie County (Northeast) PUMA,155.0,155.0,0.0,155.0,155.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,NYC-Manhattan Community District 11--East Harlem PUMA,9101.0,3105.0,5996.0,68.0,0.0,68.0,9033.0,3105.0,5928.0,2096.0,595.0,1501.0,68.0,0.0,68.0,2028.0,595.0,1433.0,5042.0,2037.0,3005.0,0.0,0.0,0.0,5042.0,2037.0,3005.0,1963.0,473.0,1490.0,0.0,0.0,0.0,1963.0,473.0,1490.0
72,Orange County (Southeast) PUMA,6178.0,2909.0,3269.0,4373.0,2287.0,2086.0,1805.0,622.0,1183.0,1087.0,305.0,782.0,958.0,305.0,653.0,129.0,0.0,129.0,4860.0,2373.0,2487.0,3184.0,1751.0,1433.0,1676.0,622.0,1054.0,231.0,231.0,0.0,231.0,231.0,0.0,0.0,0.0,0.0
