,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,284459,140177,144282,237377,119995,117382,47082,20182,26900,68708,26277,42431,58878,22908,35970,9830,3369,6461,187285,98663,88622,157246,84580,72666,30039,14083,15956,28466,15237,13229,21253,12507,8746,7213,2730,4483
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2195,899,1296,1633,337,1296,562,562,0,657,108,549,657,108,549,0,0,0,1017,791,226,455,229,226,562,562,0,521,0,521,521,0,521,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1469,610,859,1171,555,616,298,55,243,713,518,195,713,518,195,0,0,0,513,92,421,215,37,178,298,55,243,243,0,243,243,0,243,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,2949,1967,982,2801,1888,913,148,79,69,1260,717,543,1191,717,474,69,0,69,1254,989,265,1175,910,265,79,79,0,435,261,174,435,261,174,0,0,0
4,Madison & Cortland Counties PUMA,415,93,322,151,93,58,264,0,264,292,0,292,28,0,28,264,0,264,123,93,30,123,93,30,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,798,532,266,760,494,266,38,38,0,185,145,40,185,145,40,0,0,0,613,387,226,575,349,226,38,38,0,0,0,0,0,0,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,2077,1821,256,2077,1821,256,0,0,0,0,0,0,0,0,0,0,0,0,1932,1676,256,1932,1676,256,0,0,0,145,145,0,145,145,0,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,804,615,189,681,615,66,123,0,123,285,162,123,162,162,0,123,0,123,519,453,66,519,453,66,0,0,0,0,0,0,0,0,0,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",730,340,390,624,234,390,106,106,0,0,0,0,0,0,0,0,0,0,730,340,390,624,234,390,106,106,0,0,0,0,0,0,0,0,0,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,1807,700,1107,952,406,546,855,294,561,698,280,418,698,280,418,0,0,0,1109,420,689,254,126,128,855,294,561,0,0,0,0,0,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,522,423,99,522,423,99,0,0,0,200,101,99,200,101,99,0,0,0,322,322,0,322,322,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Erie County (Northwest) PUMA,738,280,458,506,177,329,232,103,129,128,0,128,69,0,69,59,0,59,363,103,260,260,0,260,103,103,0,247,177,70,177,177,0,70,0,70
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",2551,1422,1129,2341,1422,919,210,0,210,1096,630,466,1096,630,466,0,0,0,1205,792,413,995,792,203,210,0,210,250,0,250,250,0,250,0,0,0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,3268,1538,1730,2918,1368,1550,350,170,180,439,115,324,336,115,221,103,0,103,2658,1423,1235,2411,1253,1158,247,170,77,171,0,171,171,0,171,0,0,0
14,Rockland County (North)--New City & Congers PUMA,2035,1331,704,1804,1331,473,231,0,231,712,245,467,603,245,358,109,0,109,1225,988,237,1103,988,115,122,0,122,98,98,0,98,98,0,0,0,0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",237,120,117,219,120,99,18,0,18,117,0,117,99,0,99,18,0,18,120,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,1932,756,1176,1459,587,872,473,169,304,489,0,489,489,0,489,0,0,0,989,537,452,680,368,312,309,169,140,454,219,235,290,219,71,164,0,164
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,2082,609,1473,1838,609,1229,244,0,244,646,0,646,545,0,545,101,0,101,1436,609,827,1293,609,684,143,0,143,0,0,0,0,0,0,0,0,0
18,Tompkins County PUMA,947,457,490,858,457,401,89,0,89,587,329,258,498,329,169,89,0,89,360,128,232,360,128,232,0,0,0,0,0,0,0,0,0,0,0,0
19,Dutchess County (Southwest) PUMA,4247,1710,2537,3496,1483,2013,751,227,524,1134,116,1018,820,83,737,314,33,281,2504,1210,1294,2185,1134,1051,319,76,243,609,384,225,491,266,225,118,118,0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,4987,2926,2061,4016,2391,1625,971,535,436,1068,382,686,731,228,503,337,154,183,3740,2416,1324,3106,2035,1071,634,381,253,179,128,51,179,128,51,0,0,0
21,Westchester County (Northwest) PUMA,2906,1101,1805,2405,1101,1304,501,0,501,821,133,688,821,133,688,0,0,0,1833,716,1117,1332,716,616,501,0,501,252,252,0,252,252,0,0,0,0
22,Albany County (Outside Albany City) PUMA,1015,450,565,644,190,454,371,260,111,343,0,343,343,0,343,0,0,0,672,450,222,301,190,111,371,260,111,0,0,0,0,0,0,0,0,0
23,Monroe County (South) PUMA,276,134,142,276,134,142,0,0,0,241,134,107,241,134,107,0,0,0,35,0,35,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0
24,Jefferson & Lewis Counties PUMA,64,64,0,64,64,0,0,0,0,64,64,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Chenango, Delaware & Broome (East) Counties PUMA",244,205,39,86,47,39,158,158,0,21,0,21,21,0,21,0,0,0,203,185,18,45,27,18,158,158,0,20,20,0,20,20,0,0,0,0
26,Erie County (Central) PUMA,783,440,343,580,237,343,203,203,0,187,133,54,123,69,54,64,64,0,596,307,289,457,168,289,139,139,0,0,0,0,0,0,0,0,0,0
27,St. Lawrence County PUMA,217,217,0,217,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,217,0,217,217,0,0,0,0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1033,569,464,351,161,190,682,408,274,408,408,0,0,0,0,408,408,0,625,161,464,351,161,190,274,0,274,0,0,0,0,0,0,0,0,0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,900,289,611,900,289,611,0,0,0,516,105,411,516,105,411,0,0,0,384,184,200,384,184,200,0,0,0,0,0,0,0,0,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,3371,1181,2190,2772,1181,1591,599,0,599,1346,466,880,1125,466,659,221,0,221,1831,521,1310,1453,521,932,378,0,378,194,194,0,194,194,0,0,0,0
31,Cayuga & Onondaga (South) Counties PUMA,250,197,53,66,45,21,184,152,32,0,0,0,0,0,0,0,0,0,250,197,53,66,45,21,184,152,32,0,0,0,0,0,0,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1293,601,692,1096,601,495,197,0,197,745,318,427,654,318,336,91,0,91,452,283,169,346,283,63,106,0,106,96,0,96,96,0,96,0,0,0
33,Fulton & Montgomery Counties PUMA,990,175,815,851,36,815,139,139,0,0,0,0,0,0,0,0,0,0,990,175,815,851,36,815,139,139,0,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,531,145,386,531,145,386,0,0,0,0,0,0,0,0,0,0,0,0,189,145,44,189,145,44,0,0,0,342,0,342,342,0,342,0,0,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,3655,1925,1730,2802,1157,1645,853,768,85,391,52,339,306,52,254,85,0,85,3073,1682,1391,2305,914,1391,768,768,0,191,191,0,191,191,0,0,0,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,276,177,99,276,177,99,0,0,0,99,0,99,99,0,99,0,0,0,177,177,0,177,177,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,3847,2368,1479,3847,2368,1479,0,0,0,689,465,224,689,465,224,0,0,0,2860,1605,1255,2860,1605,1255,0,0,0,298,298,0,298,298,0,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",4967,2016,2951,4632,1924,2708,335,92,243,809,134,675,809,134,675,0,0,0,3564,1512,2052,3229,1420,1809,335,92,243,594,370,224,594,370,224,0,0,0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,350,200,150,350,200,150,0,0,0,0,0,0,0,0,0,0,0,0,350,200,150,350,200,150,0,0,0,0,0,0,0,0,0,0,0,0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",1499,1101,398,1386,1085,301,113,16,97,221,221,0,221,221,0,0,0,0,1136,738,398,1023,722,301,113,16,97,142,142,0,142,142,0,0,0,0
41,Suffolk County (Central)--Islip Town (East) PUMA,1777,766,1011,1609,766,843,168,0,168,379,241,138,379,241,138,0,0,0,1223,350,873,1055,350,705,168,0,168,175,175,0,175,175,0,0,0,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",988,912,76,912,912,0,76,0,76,312,312,0,312,312,0,0,0,0,600,600,0,600,600,0,0,0,0,76,0,76,0,0,0,76,0,76
