,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
27,St. Lawrence County PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1033,569,464,872,408,464,161,161,0,408,408,0,408,408,0,0,0,0,625,161,464,464,0,464,161,161,0,0,0,0,0,0,0,0,0,0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,716,105,611,716,105,611,0,0,0,516,105,411,516,105,411,0,0,0,200,0,200,200,0,200,0,0,0,0,0,0,0,0,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,3326,1190,2136,3150,1181,1969,176,9,167,1125,466,659,1125,466,659,0,0,0,1998,521,1477,1831,521,1310,167,0,167,203,203,0,194,194,0,9,9,0
31,Cayuga & Onondaga (South) Counties PUMA,250,197,53,98,45,53,152,152,0,0,0,0,0,0,0,0,0,0,250,197,53,98,45,53,152,152,0,0,0,0,0,0,0,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1293,601,692,1293,601,692,0,0,0,745,318,427,745,318,427,0,0,0,452,283,169,452,283,169,0,0,0,96,0,96,96,0,96,0,0,0
33,Fulton & Montgomery Counties PUMA,990,175,815,990,175,815,0,0,0,0,0,0,0,0,0,0,0,0,990,175,815,990,175,815,0,0,0,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,531,145,386,531,145,386,0,0,0,0,0,0,0,0,0,0,0,0,189,145,44,189,145,44,0,0,0,342,0,342,342,0,342,0,0,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,3839,2109,1730,3476,1746,1730,363,363,0,391,52,339,391,52,339,0,0,0,3257,1866,1391,2894,1503,1391,363,363,0,191,191,0,191,191,0,0,0,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,347,177,170,276,177,99,71,0,71,99,0,99,99,0,99,0,0,0,248,177,71,177,177,0,71,0,71,0,0,0,0,0,0,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,3767,2368,1399,3477,2078,1399,290,290,0,689,465,224,689,465,224,0,0,0,2780,1605,1175,2490,1315,1175,290,290,0,298,298,0,298,298,0,0,0,0
