,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
27,St. Lawrence County PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1745,1281,464,759,569,190,986,712,274,408,408,0,408,408,0,0,0,0,1337,873,464,351,161,190,986,712,274,0,0,0,0,0,0,0,0,0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1203,510,693,1203,510,693,0,0,0,598,105,493,598,105,493,0,0,0,605,405,200,605,405,200,0,0,0,0,0,0,0,0,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,5451,2013,3438,3152,837,2315,2299,1176,1123,1597,466,1131,1376,466,910,221,0,221,3269,1057,2212,1681,371,1310,1588,686,902,585,490,95,95,0,95,490,490,0
31,Cayuga & Onondaga (South) Counties PUMA,250,197,53,250,197,53,0,0,0,0,0,0,0,0,0,0,0,0,250,197,53,250,197,53,0,0,0,0,0,0,0,0,0,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1851,704,1147,1851,704,1147,0,0,0,745,318,427,745,318,427,0,0,0,1010,386,624,1010,386,624,0,0,0,96,0,96,96,0,96,0,0,0
33,Fulton & Montgomery Counties PUMA,1119,175,944,165,36,129,954,139,815,0,0,0,0,0,0,0,0,0,1119,175,944,165,36,129,954,139,815,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,531,145,386,531,145,386,0,0,0,0,0,0,0,0,0,0,0,0,189,145,44,189,145,44,0,0,0,342,0,342,342,0,342,0,0,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,5224,2575,2649,4390,2057,2333,834,518,316,481,52,429,396,52,344,85,0,85,4176,2205,1971,3427,1687,1740,749,518,231,567,318,249,567,318,249,0,0,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,597,258,339,276,177,99,321,81,240,99,0,99,99,0,99,0,0,0,498,258,240,177,177,0,321,81,240,0,0,0,0,0,0,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,4473,2509,1964,4332,2368,1964,141,141,0,689,465,224,689,465,224,0,0,0,3486,1746,1740,3345,1605,1740,141,141,0,298,298,0,298,298,0,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",8454,3042,5412,5563,2456,3107,2891,586,2305,901,134,767,809,134,675,92,0,92,5737,2178,3559,4322,1952,2370,1415,226,1189,1816,730,1086,432,370,62,1384,360,1024
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,476,200,276,350,200,150,126,0,126,0,0,0,0,0,0,0,0,0,350,200,150,350,200,150,0,0,0,126,0,126,0,0,0,126,0,126
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",2588,1285,1303,1687,1190,497,901,95,806,339,221,118,339,221,118,0,0,0,1884,805,1079,1101,722,379,783,83,700,365,259,106,247,247,0,118,12,106
41,Suffolk County (Central)--Islip Town (East) PUMA,1945,891,1054,1945,891,1054,0,0,0,331,241,90,331,241,90,0,0,0,1439,475,964,1439,475,964,0,0,0,175,175,0,175,175,0,0,0,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1078,1002,76,1002,1002,0,76,0,76,312,312,0,312,312,0,0,0,0,600,600,0,600,600,0,0,0,0,166,90,76,90,90,0,76,0,76
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",2130,987,1143,1744,601,1143,386,386,0,973,392,581,936,355,581,37,37,0,1083,521,562,734,172,562,349,349,0,74,74,0,74,74,0,0,0,0
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,939,422,517,847,422,425,92,0,92,379,169,210,379,169,210,0,0,0,438,131,307,346,131,215,92,0,92,122,122,0,122,122,0,0,0,0
45,Saratoga County (Outer) PUMA,315,315,0,315,315,0,0,0,0,41,41,0,41,41,0,0,0,0,274,274,0,274,274,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",3724,1493,2231,2664,1493,1171,1060,0,1060,679,269,410,679,269,410,0,0,0,2592,993,1599,1693,993,700,899,0,899,453,231,222,292,231,61,161,0,161
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",924,212,712,514,50,464,410,162,248,40,0,40,40,0,40,0,0,0,384,50,334,384,50,334,0,0,0,500,162,338,90,0,90,410,162,248
48,Wayne & Seneca Counties PUMA,730,467,263,228,168,60,502,299,203,0,0,0,0,0,0,0,0,0,582,319,263,171,111,60,411,208,203,148,148,0,57,57,0,91,91,0
49,Schenectady County--Schenectady City PUMA,989,299,690,575,299,276,414,0,414,0,0,0,0,0,0,0,0,0,989,299,690,575,299,276,414,0,414,0,0,0,0,0,0,0,0,0
