,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
133,Onondaga County (North) PUMA,47468,26182,21286,60560.13967304289,64987,55113,22527,12359,10168,74217.45860522929,81891,64889,24298,13293,11005,48500.51156473784,50422,46178,643,530,113,37801.85069984448,36133,45628
134,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,28261,14856,13405,56230.270054138215,58528,53682,15247,7771,7476,70291.76965960517,69062,71569,12705,6869,5836,40442.76820149548,48044,31496,309,216,93,11520.0,13003,8073
135,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,30457,13655,16802,49368.738549430345,50069,48799,14410,5467,8943,61432.70159611381,54436,65709,13637,7042,6595,40429.78587665909,49000,31277,2410,1146,1264,27816.36929460581,35802,20575
136,Genesee & Orleans Counties PUMA,33762,19972,13790,47415.92885492565,51783,41090,6828,3263,3565,66394.30492091388,72465,60837,24975,15200,9775,42806.97217217217,48008,34719,1959,1509,450,40026.61868300153,45093,23036
137,Westchester County (Central)--White Plains City PUMA,44327,25229,19098,125731.06844586821,152623,90205,30823,17078,13745,149304.13353664472,185644,104151,12640,7287,5353,75192.7818829114,90469,54396,864,864,0,24123.84259259259,24123,0
138,Saratoga County (South & Central) PUMA,40742,22896,17846,70020.8404840214,77267,60723,22578,11768,10810,79507.3461334042,94359,63338,17437,10850,6587,59408.018695876584,60432,57720,727,278,449,29951.30674002751,10779,41821
139,Monroe County (South) PUMA,57592,33505,24087,84823.73628281706,100843,62540,36592,21382,15210,104278.02339309138,126870,72517,20823,11997,8826,51018.54622292657,55009,45593,177,126,51,39932.20338983051,48000,20000
140,Suffolk County (Central)--Islip Town (Northwest) PUMA,20999,12077,8922,49416.452212010096,51868,46097,6019,2830,3189,65590.27247051006,71872,60014,13515,8194,5321,43827.66777654458,47839,37650,1465,1053,412,34523.7542662116,29462,47460
141,St. Lawrence County PUMA,29829,16919,12910,45178.733983707134,51597,36767,8772,4896,3876,62598.25581395349,73559,48752,19796,11125,8671,38581.6657910689,43633,32100,1261,898,363,27566.93100713719,30519,20263
142,Nassau County (West Central)--Hempstead Town (West Central) PUMA,28823,15721,13102,87075.6473649516,100662,70772,14272,7130,7142,116335.08576233184,145257,87461,13875,7926,5949,59458.48072072072,65906,50867,676,665,11,36184.34911242603,36779,220
143,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,23193,9874,13319,59854.876040184536,64999,56041,9181,3608,5573,74242.41803725084,86762,66137,12526,5739,6787,51924.700622704775,53137,50898,1486,527,959,37810.0269179004,45175,33762
144,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",32654,14348,18306,46205.95718748086,51270,42236,7673,3249,4424,71209.65932490551,90734,56870,21228,9313,11915,40029.74420576597,42388,38186,3753,1786,1967,30020.303756994406,25798,33853
145,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,38445,22954,15491,81268.33671478737,91490,66122,19266,10922,8344,94726.91295546558,112010,72102,18845,11698,7147,66159.89917750066,70449,59139,334,334,0,157392.8143712575,157392,0
146,Capital Region,354518,189232,165286,483401.4474313579,529917,429018,136122,66149,69973,649044.3628634905,794636,521658,207209,115301,91908,386190.89054342546,410295,355784,11187,7782,3405,343920.64441037585,253382,671492
147,Central NY,247458,135766,111692,322064.8863745483,357307,279272,93493,48501,44992,426652.2340212413,491206,358241,144374,80220,64154,262383.9365996287,286577,231814,9591,7045,2546,217769.84483792822,231978,163427
148,Finger Lakes,391496,218787,172709,528102.9489054914,588685,449396,149637,75805,73832,714211.9071969528,845414,581929,224907,130891,94016,420794.84010368213,461740,363552,16952,12091,4861,322997.69838196423,348312,207957
149,Long Island,760663,436132,324531,2223879.73009188,2545792,1764649,374306,200473,173833,2720119.079481993,3213879,2117088,367997,222501,145496,1632328.3626511337,1844001,1303732,18360,13158,5202,1406349.9888190385,1314749,1264659
150,Mid-Hudson,589943,327889,262054,1491763.2227478279,1708125,1209729,292615,151040,141575,1882480.9082339413,2232760,1483634,278320,163208,115112,1061976.4072977707,1167633,907513,19008,13641,5367,590228.6545799462,579654,614591
151,Mohawk Valley,144345,80559,63786,196600.29537875595,219171,168217,40936,19494,21442,277652.64036177145,330300,226841,96712,55668,41044,164997.77550151595,183506,139455,6697,5397,1300,131535.4227851291,138969,100131
152,New York City,1607461,832461,775000,3834631.1847739643,4239004,3404694,917442,443503,473939,4598080.584453217,5251902,4014794,613899,339651,274248,2895967.2592557576,3174524,2544468,76120,49307,26813,#DIV/0!,1703266,1282427
153,North Country,129352,75441,53911,143560.3340309498,160123,119939,36512,18824,17688,203756.43143121895,240927,158657,86596,51736,34860,122915.68432796776,135664,104490,6244,4881,1363,87620.58089414533,95870,60671
154,Southern Tier,193059,105845,87214,320529.45967374067,362936,269983,63276,30488,32788,439918.1373021591,535876,351544,120548,68326,52222,256502.93399308086,282975,222600,9235,7031,2204,204871.38493713952,231574,133860
155,Western NY,439909,246158,193751,606253.8352700026,672707,521633,158574,81442,77132,788431.1847773612,909017,661243,266488,154050,112438,509048.5398093835,563754,434599,14847,10666,4181,385284.43913954776,442085,209453
