,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
22,Albany County (Outside Albany City) PUMA,77080,39291,37789,73834,37242,36592,3246,2049,1197,32740,16761,15979,32278,16391,15887,462,370,92,41516,20163,21353,39301,18905,20396,2215,1258,957,2824,2367,457,2255,1946,309,569,421,148
23,Monroe County (South) PUMA,61817,32539,29278,60003,31861,28142,1814,678,1136,37324,18525,18799,36519,18405,18114,805,120,685,22977,12942,10035,22191,12487,9704,786,455,331,1516,1072,444,1293,969,324,223,103,120
24,Jefferson & Lewis Counties PUMA,50198,27474,22724,47512,26292,21220,2686,1182,1504,11219,5053,6166,11179,5038,6141,40,15,25,35079,19589,15490,33607,19240,14367,1472,349,1123,3900,2832,1068,2726,2014,712,1174,818,356
25,"Chenango, Delaware & Broome (East) Counties PUMA",38001,19366,18635,36340,18331,18009,1661,1035,626,8715,3435,5280,8553,3391,5162,162,44,118,27423,14808,12615,26219,14088,12131,1204,720,484,1863,1123,740,1568,852,716,295,271,24
26,Erie County (Central) PUMA,62868,30502,32366,59524,28708,30816,3344,1794,1550,17580,7366,10214,17052,7227,9825,528,139,389,44170,22307,21863,41586,20801,20785,2584,1506,1078,1118,829,289,886,680,206,232,149,83
27,St. Lawrence County PUMA,36334,18704,17630,34305,17720,16585,2029,984,1045,9989,5338,4651,9903,5252,4651,86,86,0,24268,11914,12354,22862,11371,11491,1406,543,863,2077,1452,625,1540,1097,443,537,355,182
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",28185,14114,14071,25407,12195,13212,2778,1919,859,20235,10049,10186,19434,9768,9666,801,281,520,6566,2864,3702,5351,1988,3363,1215,876,339,1384,1201,183,622,439,183,762,762,0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,37505,20441,17064,36327,19681,16646,1178,760,418,18896,9756,9140,18424,9361,9063,472,395,77,18008,10181,7827,17302,9816,7486,706,365,341,601,504,97,601,504,97,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,53065,29599,23466,49565,27054,22511,3500,2545,955,35408,18723,16685,33666,17614,16052,1742,1109,633,15441,9241,6200,13774,7896,5878,1667,1345,322,2216,1635,581,2125,1544,581,91,91,0
31,Cayuga & Onondaga (South) Counties PUMA,45334,23167,22167,43884,22071,21813,1450,1096,354,14554,6135,8419,14350,6011,8339,204,124,80,28647,15662,12985,27472,14751,12721,1175,911,264,2133,1370,763,2062,1309,753,71,61,10
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,41812,22716,19096,40354,21925,18429,1458,791,667,20361,9505,10856,20122,9418,10704,239,87,152,21248,13104,8144,20029,12400,7629,1219,704,515,203,107,96,203,107,96,0,0,0
33,Fulton & Montgomery Counties PUMA,38899,19914,18985,36353,18345,18008,2546,1569,977,7725,3117,4608,7548,2976,4572,177,141,36,27446,14749,12697,25488,13393,12095,1958,1356,602,3728,2048,1680,3317,1976,1341,411,72,339
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,65635,32710,32925,62930,31340,31590,2705,1370,1335,29721,14769,14952,28920,14413,14507,801,356,445,34462,17161,17301,32895,16257,16638,1567,904,663,1452,780,672,1115,670,445,337,110,227
