,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,7060228.0,3448917.0,3611311.0,4407181.0,2182038.0,2225143.0,2653047.0,1266879.0,1386168.0,2878050.0,1310908.0,1567142.0,1886878.0,855020.0,1031858.0,991172.0,455888.0,535284.0,3728339.0,1889897.0,1838442.0,2343216.0,1219134.0,1124082.0,1385123.0,670763.0,714360.0,453839.0,248112.0,205727.0,177087.0,107884.0,69203.0,276752.0,140228.0,136524.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,79469.0,36159.0,43310.0,25892.0,9228.0,16664.0,53577.0,26931.0,26646.0,66139.0,28149.0,37990.0,23961.0,8530.0,15431.0,42178.0,19619.0,22559.0,11967.0,7493.0,4474.0,1931.0,698.0,1233.0,10036.0,6795.0,3241.0,1363.0,517.0,846.0,0.0,0.0,0.0,1363.0,517.0,846.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,44257.0,22239.0,22018.0,39493.0,19974.0,19519.0,4764.0,2265.0,2499.0,22622.0,10490.0,12132.0,20075.0,9523.0,10552.0,2547.0,967.0,1580.0,19051.0,10410.0,8641.0,17311.0,9349.0,7962.0,1740.0,1061.0,679.0,2584.0,1339.0,1245.0,2107.0,1102.0,1005.0,477.0,237.0,240.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,60336.0,29774.0,30562.0,17761.0,8731.0,9030.0,42575.0,21043.0,21532.0,43770.0,20651.0,23119.0,14547.0,6958.0,7589.0,29223.0,13693.0,15530.0,13572.0,7856.0,5716.0,2909.0,1773.0,1136.0,10663.0,6083.0,4580.0,2994.0,1267.0,1727.0,305.0,0.0,305.0,2689.0,1267.0,1422.0
4,Madison & Cortland Counties PUMA,56679.0,28426.0,28253.0,42912.0,20869.0,22043.0,13767.0,7557.0,6210.0,15137.0,7198.0,7939.0,13302.0,6202.0,7100.0,1835.0,996.0,839.0,38512.0,19285.0,19227.0,27376.0,13364.0,14012.0,11136.0,5921.0,5215.0,3030.0,1943.0,1087.0,2234.0,1303.0,931.0,796.0,640.0,156.0
5,Ontario & Yates Counties PUMA,64567.0,31861.0,32706.0,51548.0,26235.0,25313.0,13019.0,5626.0,7393.0,22089.0,9977.0,12112.0,18330.0,8358.0,9972.0,3759.0,1619.0,2140.0,37736.0,18884.0,18852.0,29487.0,15262.0,14225.0,8249.0,3622.0,4627.0,4742.0,3000.0,1742.0,3731.0,2615.0,1116.0,1011.0,385.0,626.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,61566.0,30023.0,31543.0,49238.0,24704.0,24534.0,12328.0,5319.0,7009.0,18559.0,7855.0,10704.0,15810.0,7490.0,8320.0,2749.0,365.0,2384.0,40597.0,20749.0,19848.0,32007.0,16350.0,15657.0,8590.0,4399.0,4191.0,2410.0,1419.0,991.0,1421.0,864.0,557.0,989.0,555.0,434.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,35329.0,17255.0,18074.0,32282.0,16080.0,16202.0,3047.0,1175.0,1872.0,18696.0,8303.0,10393.0,17877.0,8092.0,9785.0,819.0,211.0,608.0,15239.0,8387.0,6852.0,13788.0,7655.0,6133.0,1451.0,732.0,719.0,1394.0,565.0,829.0,617.0,333.0,284.0,777.0,232.0,545.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",79157.0,39786.0,39371.0,55600.0,28246.0,27354.0,23557.0,11540.0,12017.0,14728.0,6337.0,8391.0,11849.0,5254.0,6595.0,2879.0,1083.0,1796.0,57199.0,29216.0,27983.0,40184.0,20985.0,19199.0,17015.0,8231.0,8784.0,7230.0,4233.0,2997.0,3567.0,2007.0,1560.0,3663.0,2226.0,1437.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,87794.0,39360.0,48434.0,30805.0,14479.0,16326.0,56989.0,24881.0,32108.0,73169.0,32035.0,41134.0,26966.0,13141.0,13825.0,46203.0,18894.0,27309.0,14625.0,7325.0,7300.0,3839.0,1338.0,2501.0,10786.0,5987.0,4799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,49065.0,24599.0,24466.0,44790.0,22599.0,22191.0,4275.0,2000.0,2275.0,19704.0,8797.0,10907.0,19131.0,8653.0,10478.0,573.0,144.0,429.0,27480.0,14361.0,13119.0,24582.0,13309.0,11273.0,2898.0,1052.0,1846.0,1881.0,1441.0,440.0,1077.0,637.0,440.0,804.0,804.0,0.0
11,Erie County (Northwest) PUMA,50113.0,23407.0,26706.0,38785.0,18177.0,20608.0,11328.0,5230.0,6098.0,19113.0,8637.0,10476.0,15693.0,6621.0,9072.0,3420.0,2016.0,1404.0,29189.0,13600.0,15589.0,21747.0,10720.0,11027.0,7442.0,2880.0,4562.0,1811.0,1170.0,641.0,1345.0,836.0,509.0,466.0,334.0,132.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",29091.0,13346.0,15745.0,14678.0,6570.0,8108.0,14413.0,6776.0,7637.0,15773.0,7938.0,7835.0,8324.0,4056.0,4268.0,7449.0,3882.0,3567.0,11649.0,4862.0,6787.0,5375.0,2080.0,3295.0,6274.0,2782.0,3492.0,1669.0,546.0,1123.0,979.0,434.0,545.0,690.0,112.0,578.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,33527.0,14676.0,18851.0,8314.0,5002.0,3312.0,25213.0,9674.0,15539.0,6521.0,2902.0,3619.0,2407.0,1480.0,927.0,4114.0,1422.0,2692.0,23058.0,10917.0,12141.0,5548.0,3522.0,2026.0,17510.0,7395.0,10115.0,3948.0,857.0,3091.0,359.0,0.0,359.0,3589.0,857.0,2732.0
