,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,280210,157302,122908,227681,138925,88756,52529,18377,34152,62234,25604,36630,53519,23490,30029,8715,2114,6601,159541,92827,66714,127876,81565,46311,31665,11262,20403,58435,38871,19564,46286,33870,12416,12149,5001,7148
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",7263,4725,2538,6314,4342,1972,949,383,566,1713,893,820,1581,893,688,132,0,132,4396,2980,1416,3881,2597,1284,515,383,132,1154,852,302,852,852,0,302,0,302
2,Ulster County (East) PUMA,824,367,457,824,367,457,0,0,0,284,196,88,284,196,88,0,0,0,540,171,369,540,171,369,0,0,0,0,0,0,0,0,0,0,0,0
3,Albany County (East Central)--Albany City PUMA,90,0,90,90,0,90,0,0,0,90,0,90,90,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,223,133,90,133,133,0,90,0,90,223,133,90,133,133,0,90,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,3979,2007,1972,2734,2007,727,1245,0,1245,491,57,434,279,57,222,212,0,212,2745,1286,1459,1712,1286,426,1033,0,1033,743,664,79,743,664,79,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",159,60,99,159,60,99,0,0,0,102,60,42,102,60,42,0,0,0,0,0,0,0,0,0,0,0,0,57,0,57,57,0,57,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,348,348,0,348,348,0,0,0,0,0,0,0,0,0,0,0,0,0,155,155,0,155,155,0,0,0,0,193,193,0,193,193,0,0,0,0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",7666,3698,3968,6809,3362,3447,857,336,521,1656,290,1366,1255,290,965,401,0,401,3924,2251,1673,3581,2028,1553,343,223,120,2086,1157,929,1973,1044,929,113,113,0
11,Livingston & Wyoming Counties PUMA,456,175,281,277,175,102,179,0,179,219,175,44,219,175,44,0,0,0,58,0,58,58,0,58,0,0,0,179,0,179,0,0,0,179,0,179
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,1161,348,813,853,348,505,308,0,308,250,107,143,107,107,0,143,0,143,735,241,494,570,241,329,165,0,165,176,0,176,176,0,176,0,0,0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,2765,2130,635,2612,2130,482,153,0,153,0,0,0,0,0,0,0,0,0,2683,2130,553,2530,2130,400,153,0,153,82,0,82,82,0,82,0,0,0
