,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,3349.0,2130.0,1219.0,680.0,518.0,162.0,2669.0,1612.0,1057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763.0,2130.0,633.0,598.0,518.0,80.0,2165.0,1612.0,553.0,586.0,0.0,586.0,82.0,0.0,82.0,504.0,0.0,504.0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,288.0,139.0,149.0,149.0,0.0,149.0,139.0,139.0,0.0,149.0,0.0,149.0,149.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,139.0,0.0,0.0,0.0,0.0,139.0,139.0,0.0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,628.0,123.0,505.0,182.0,0.0,182.0,446.0,123.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,123.0,182.0,182.0,0.0,182.0,123.0,123.0,0.0,323.0,0.0,323.0,0.0,0.0,0.0,323.0,0.0,323.0
16,Monroe County (Central)--Rochester City (East) PUMA,97.0,0.0,97.0,97.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,97.0,97.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Westchester County (Northwest) PUMA,4825.0,2479.0,2346.0,1615.0,623.0,992.0,3210.0,1856.0,1354.0,987.0,637.0,350.0,350.0,0.0,350.0,637.0,637.0,0.0,3026.0,1421.0,1605.0,504.0,202.0,302.0,2522.0,1219.0,1303.0,812.0,421.0,391.0,761.0,421.0,340.0,51.0,0.0,51.0
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,2614.0,1205.0,1409.0,82.0,0.0,82.0,2532.0,1205.0,1327.0,323.0,0.0,323.0,82.0,0.0,82.0,241.0,0.0,241.0,1910.0,945.0,965.0,0.0,0.0,0.0,1910.0,945.0,965.0,381.0,260.0,121.0,0.0,0.0,0.0,381.0,260.0,121.0
19,Onondaga County (Central)--Syracuse City PUMA,295.0,64.0,231.0,295.0,64.0,231.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,195.0,64.0,131.0,195.0,64.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Westchester County (Northeast) PUMA,2716.0,1472.0,1244.0,444.0,208.0,236.0,2272.0,1264.0,1008.0,510.0,274.0,236.0,236.0,0.0,236.0,274.0,274.0,0.0,907.0,703.0,204.0,208.0,208.0,0.0,699.0,495.0,204.0,1299.0,495.0,804.0,0.0,0.0,0.0,1299.0,495.0,804.0
21,Madison & Cortland Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Erie County (West Central)--Buffalo City (West) PUMA,189.0,189.0,0.0,0.0,0.0,0.0,189.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,189.0,0.0,0.0,0.0,0.0,189.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
