,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
126,Suffolk County (Northwest)--Smithtown Town PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1.033194428094207,#DIV/0!,#DIV/0!,#DIV/0!,-0.1689282503428186,#DIV/0!,#DIV/0!,#DIV/0!,-0.12651118314431375,-0.268908411397508,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,D,#DIV!0,#DIV!0,#DIV!0,C,#DIV!0,#DIV!0,C-,#DIV!0,C,#DIV!0
127,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",#DIV/0!,-0.01107858506899067,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.129993635379539,#DIV/0!,#DIV/0!,-0.17866931569091848,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.30162113614461594,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C,#DIV!0,#DIV!0,C,#DIV!0,#DIV!0,C-,#DIV!0,#DIV!0,#DIV!0
128,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",#DIV/0!,-0.36435264285490254,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.04038173266497145,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,C-,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
129,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,#DIV/0!,0.41865937089328403,0.037546693634515245,0.03947261748895239,-0.20441820504790026,-0.24336688683503355,-0.35293633434323457,#DIV/0!,-0.3204989537088995,-0.0830941039510354,0.5233486364653281,0.5267198843302247,0.5461745142513801,-0.014771968976767004,0.5844704326374092,0.2517640630068057,#DIV!0,B-,C,C,C,C,C-,#DIV!0,C-,C,B-,B-,B-,B-,C,B-
130,Westchester County (Southwest)--Yonkers City PUMA,0.43110345300457403,0.5522993541683106,0.2592576795278172,0.26117763319806636,#DIV/0!,-0.40465786043514507,0.07148281051903185,#DIV/0!,0.15586846830398257,-0.3340728330274027,#DIV/0!,#DIV/0!,#DIV/0!,-0.49655455092548273,-0.19682656587112243,#DIV/0!,B-,B-,B-,B-,#DIV!0,C-,C,#DIV!0,C,C-,#DIV!0,#DIV!0,C,#DIV!0,C-,#DIV!0
131,Broome (Outer West) & Tioga Counties PUMA,#DIV/0!,-0.01107858506899067,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.12705632367034275,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
132,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,0.43110345300457403,0.29752382133473226,-0.20236506749448363,-0.20043268334942518,-0.015521622097575306,-1.033194428094207,-0.12059885707892984,-0.12049791196790209,0.30008478432759805,-0.5884099129079002,0.14919032111853459,0.1525857420968595,0.11608436251940642,0.3178193308628938,-0.1480683215882393,0.04275518663273612,B-,B-,C,C,C,D,C,C,B-,C-,C,C,C,C,B-,C
133,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",0.43110345300457403,-0.26327087332336385,0.19924908170093572,0.20117065126937975,-2.104769907700752,-0.031048589308684434,-0.10117637289570552,-0.23839179389337375,0.30008478432759805,-0.1912333544204724,-0.7879086302317218,-0.7844526664341798,-2.908975374026321,-0.5952250258140224,-0.11229463746323688,-0.7257149862946223,B-,C-,C,C,E,C,C,C,B-,C,D,D,C,E,C-,C-
134,NYC-Manhattan Community District 10--Central Harlem PUMA,#DIV/0!,0.6705323253432921,0.2592576795278172,0.26117763319806636,0.01352042323885719,-0.08222053615447855,-0.2647715163453419,#DIV/0!,#DIV/0!,0.06487809784567743,#DIV/0!,#DIV/0!,#DIV/0!,-0.6433634381723392,-0.6027450486563122,#DIV/0!,#DIV!0,B-,B-,B-,C,C,C-,#DIV!0,#DIV!0,C,#DIV!0,#DIV!0,C-,#DIV!0,C-,#DIV!0
135,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",#DIV/0!,0.17572878412266654,#DIV/0!,#DIV/0!,#DIV/0!,-0.058277673689898356,-0.09859094516414328,#DIV/0!,#DIV/0!,-0.1113379901823721,0.7162591303252143,0.71961791489033,#DIV/0!,0.14801864964505285,-0.2165379011004161,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,C,C,#DIV!0,#DIV!0,C,B-,B-,C,#DIV!0,C,#DIV!0
136,Erie County (Northwest) PUMA,#DIV/0!,-2.6379130728380953,0.2592576795278172,0.26117763319806636,0.391269402142398,-1.033194428094207,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,E,B-,B-,B-,D,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
137,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,0.43110345300457403,-0.5504599398045813,0.2592576795278172,0.26117763319806636,#DIV/0!,-0.4822185906754581,0.40565416339463767,#DIV/0!,-0.5756750370118854,-0.18680651586127914,-0.3836084115420435,-0.3801785682251767,0.5663891692603894,-0.5314634184558689,-0.19654193988561133,-0.24112638881735363,B-,C-,B-,B-,#DIV!0,C-,B-,#DIV!0,C-,C,C-,C-,C,B-,C-,C
138,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,-3.279076848225609,-0.01107858506899067,#DIV/0!,#DIV/0!,#DIV/0!,0.03045227349561964,0.499194917644794,#DIV/0!,0.30008478432759805,-0.024567687658626207,-0.013067355606733177,-0.009661451704300396,#DIV/0!,0.26055090751231025,-0.28570779317477024,#DIV/0!,E,C,#DIV!0,#DIV!0,#DIV!0,C,B-,#DIV!0,B-,C,C,C,C-,#DIV!0,B-,#DIV!0
139,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
140,Nassau County (West Central)--Hempstead Town (West Central) PUMA,#DIV/0!,0.1608729761080953,0.2592576795278172,0.26117763319806636,#DIV/0!,-0.27918709963386323,-0.42695701384396434,#DIV/0!,#DIV/0!,0.9334966062023036,0.7162591303252143,0.71961791489033,#DIV/0!,-0.021598445812381954,0.23376992977592684,#DIV/0!,#DIV!0,C,B-,B-,#DIV!0,C-,C-,#DIV!0,#DIV!0,B,B-,B-,C,#DIV!0,C,#DIV!0
141,Nassau County (Central)--Hempstead Town (Northeast) PUMA,#DIV/0!,0.7339404872567211,0.2592576795278172,0.26117763319806636,#DIV/0!,0.3046564127828099,0.15634546026110704,#DIV/0!,#DIV/0!,0.7140338715696424,#DIV/0!,#DIV/0!,#DIV/0!,-0.08387470632004344,-0.43132003791397094,#DIV/0!,#DIV!0,B-,B-,B-,#DIV!0,B-,C,#DIV!0,#DIV!0,B-,#DIV!0,#DIV!0,C-,#DIV!0,C,#DIV!0
