,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
0,Total Geo,-0.3532211847982229,-0.028161024801076726,0.025102785012742684,-0.15795437126662457,0.024719176853412687,-0.4617013260938424,-0.17459524991293932,-0.16083017071522152,-0.07906294138548825,-0.19792933884165653,-0.15619702293684756,-0.09486904887912616,0.06845746347433865,-0.8460790286638926,0.014474366345612832,-0.18445793584100853,C-,C,C,C,C,C-,C,C,C,C,C,C,C,C,D,C
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.407677968788824,0.5700885578494793,0.18811357682175944,0.18940465612628846,-0.34263472414697976,-1.329094645851906,-0.5412176771784334,-0.12252318394156683,-0.04709188161818183,0.2722730390556391,-0.0076162873027381985,-0.008039703674101726,-0.5161446919517482,-0.9303556480636853,-1.0569423322642704,-0.3277025008312981,B-,B-,C,C,C-,D-,C-,C,C,B-,C,C,D,C-,D,C-
2,Ulster County (East) PUMA,-1.8338873246953737,0.11924908011104789,-0.1835928375924816,-0.18226924150873947,0.43060785128399837,0.08344261803293018,-0.6186069831900679,-0.312150976794098,0.45749146041165883,-0.06086401011352209,-0.6201188245997694,-0.6205749903726104,-0.8107599797517919,0.6001759567481559,-0.26107902718276776,-0.1879613449800924,E,C,C,C,B-,C,C-,C-,B-,C,C-,C-,C-,D,B-,C
3,Albany County (East Central)--Albany City PUMA,0.407677968788824,0.3206088610018248,-0.02778930805144503,-0.02647934161942332,-0.006725606099710851,-1.6099694909442896,1.1607020605901863,0.031146449095138036,-0.6580910496613271,-2.5773470811855694,-0.5146996109566134,-0.5151501401550065,0.41278478775762056,-0.8684122521229704,0.021489485751453135,-0.6713465515103447,B-,B-,C,C,C,D-,B,C,C-,E,C-,C-,C,B-,D,C-
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.407677968788824,0.2982921675300732,0.512353599782942,0.513616314655678,#DIV/0!,1.0227011280501783,-1.6599844941694535,#DIV/0!,0.5153567838259516,-0.9367346203756967,0.30299466647668843,0.30258785791053255,0.8635085262768972,-0.9769443756346424,1.8565242188951685,0.2753275796249856,B-,B-,B-,B-,#DIV!0,B,D-,#DIV!0,B-,D,B-,B-,A,B,D,B-
5,Ontario & Yates Counties PUMA,0.407677968788824,0.6793753156764715,-5.842317285582314,-5.8404986657745575,0.43060785128399837,-0.06586465320555239,-0.6738646386051841,-1.557840586774045,-1.8534258346403403,-1.0514224557603933,-1.3729425991570605,-1.373439017053825,0.8635085262768972,0.4388924863218728,-0.4350698984020964,-0.6834141132021351,B-,B-,E,E,B-,C,C-,D-,E,D,D-,D-,C-,B,B-,C-
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.407677968788824,0.09705410429769348,0.512353599782942,0.513616314655678,0.43060785128399837,-0.4675786267440432,0.1970597514908761,0.24154156622228126,0.5153567838259516,-0.05577599835983254,1.4657744897430487,1.465429852908344,#DIV/0!,0.6979167444171346,-0.016890195605349833,#DIV/0!,B-,C,B-,B-,B-,C-,C,C,B-,C,A-,A-,C,#DIV!0,B-,#DIV!0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,-0.24281502352281079,0.6876678585541212,0.512353599782942,0.513616314655678,0.43060785128399837,0.20757601245817142,1.0915520400132326,0.45722266474647605,0.5153567838259516,0.030341236601522232,-0.14237515123552755,-0.14280577291930832,0.10619418777163778,-1.1802496075978028,0.3242383554536901,-0.06989999544283385,C,B-,B-,B-,B-,C,B,B-,B-,C,C,C,B-,C,D,C
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.407677968788824,-1.1929908266806168,0.512353599782942,0.513616314655678,0.43060785128399837,-1.2337081568478012,-0.06641666679459886,-0.08983713083022493,0.5153567838259516,1.2809430808882938,1.3874828667284067,1.3871340437823991,0.8635085262768972,0.8390188366591101,-0.5075443643338663,0.8236999676895989,B-,D,B-,B-,B-,D,C,C,B-,A-,A-,A-,C-,B,B,B
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,-3.5675325460299576,-0.06123585893833893,-1.1444152757043558,-1.1430076271268401,-2.241154248219589,-0.5584200265408544,-1.2155768078003686,-1.4187631986229008,-1.1748210887830544,0.061853029476377934,-0.041158511565747964,-0.04158372137910062,-0.42118252887732616,-0.9229779603928676,-0.11029603962365668,-0.3785952601636251,E,C,D,D,E,C-,D,D-,D,C,C,C,C,C-,D,C-
