,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
27,St. Lawrence County PUMA,817,532,285,656,427,229,161,105,56,723,519,204,575,427,148,148,92,56,69,0,69,69,0,69,0,0,0,25,13,12,12,0,12,13,13,0
28,Columbia & Greene Counties PUMA,615,100,515,396,100,296,219,0,219,263,73,190,121,73,48,142,0,142,327,27,300,250,27,223,77,0,77,25,0,25,25,0,25,0,0,0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,4031,2072,1959,3847,1888,1959,184,184,0,2904,1464,1440,2806,1366,1440,98,98,0,1127,608,519,1041,522,519,86,86,0,0,0,0,0,0,0,0,0,0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",5297,2248,3049,4735,2102,2633,562,146,416,3326,1353,1973,3326,1353,1973,0,0,0,1857,781,1076,1295,635,660,562,146,416,114,114,0,114,114,0,0,0,0
31,Monroe County (North & West) PUMA,143,143,0,143,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,143,0,143,143,0,0,0,0
32,Schenectady County--Schenectady City PUMA,259,76,183,259,76,183,0,0,0,63,31,32,63,31,32,0,0,0,196,45,151,196,45,151,0,0,0,0,0,0,0,0,0,0,0,0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",2718,1179,1539,1455,565,890,1263,614,649,252,60,192,252,60,192,0,0,0,2284,1025,1259,1115,505,610,1169,520,649,182,94,88,88,0,88,94,94,0
34,Niagara County (North & East) PUMA,204,204,0,204,204,0,0,0,0,126,126,0,126,126,0,0,0,0,78,78,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,2427,1827,600,2427,1827,600,0,0,0,755,540,215,755,540,215,0,0,0,1347,962,385,1347,962,385,0,0,0,325,325,0,325,325,0,0,0,0
36,Suffolk County (East) PUMA,2238,1251,987,2238,1251,987,0,0,0,947,461,486,947,461,486,0,0,0,1291,790,501,1291,790,501,0,0,0,0,0,0,0,0,0,0,0,0
