,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,4118.0,1865.0,2253.0,3818.0,1826.0,1992.0,300.0,39.0,261.0,1937.0,808.0,1129.0,1700.0,769.0,931.0,237.0,39.0,198.0,2079.0,1057.0,1022.0,2016.0,1057.0,959.0,63.0,0.0,63.0,102.0,0.0,102.0,102.0,0.0,102.0,0.0,0.0,0.0
16,Monroe County (Central)--Rochester City (East) PUMA,247.0,60.0,187.0,153.0,60.0,93.0,94.0,0.0,94.0,187.0,0.0,187.0,93.0,0.0,93.0,94.0,0.0,94.0,60.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Westchester County (Northwest) PUMA,3541.0,1517.0,2024.0,3278.0,1317.0,1961.0,263.0,200.0,63.0,1330.0,641.0,689.0,1131.0,505.0,626.0,199.0,136.0,63.0,1774.0,677.0,1097.0,1774.0,677.0,1097.0,0.0,0.0,0.0,437.0,199.0,238.0,373.0,135.0,238.0,64.0,64.0,0.0
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,493.0,307.0,186.0,119.0,119.0,0.0,374.0,188.0,186.0,493.0,307.0,186.0,119.0,119.0,0.0,374.0,188.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Onondaga County (Central)--Syracuse City PUMA,1863.0,611.0,1252.0,765.0,494.0,271.0,1098.0,117.0,981.0,1320.0,339.0,981.0,222.0,222.0,0.0,1098.0,117.0,981.0,543.0,272.0,271.0,543.0,272.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Westchester County (Northeast) PUMA,2809.0,1234.0,1575.0,1735.0,678.0,1057.0,1074.0,556.0,518.0,1928.0,920.0,1008.0,854.0,364.0,490.0,1074.0,556.0,518.0,796.0,314.0,482.0,796.0,314.0,482.0,0.0,0.0,0.0,85.0,0.0,85.0,85.0,0.0,85.0,0.0,0.0,0.0
21,Madison & Cortland Counties PUMA,90.0,28.0,62.0,78.0,28.0,50.0,12.0,0.0,12.0,48.0,28.0,20.0,48.0,28.0,20.0,0.0,0.0,0.0,42.0,0.0,42.0,30.0,0.0,30.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Erie County (West Central)--Buffalo City (West) PUMA,593.0,289.0,304.0,593.0,289.0,304.0,0.0,0.0,0.0,144.0,82.0,62.0,144.0,82.0,62.0,0.0,0.0,0.0,242.0,0.0,242.0,242.0,0.0,242.0,0.0,0.0,0.0,207.0,207.0,0.0,207.0,207.0,0.0,0.0,0.0,0.0
23,Monroe County (Central)--Rochester City (West) PUMA,660.0,284.0,376.0,0.0,0.0,0.0,660.0,284.0,376.0,660.0,284.0,376.0,0.0,0.0,0.0,660.0,284.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Suffolk County (Central)--Islip Town (East) PUMA,524.0,146.0,378.0,415.0,146.0,269.0,109.0,0.0,109.0,337.0,146.0,191.0,288.0,146.0,142.0,49.0,0.0,49.0,60.0,0.0,60.0,0.0,0.0,0.0,60.0,0.0,60.0,127.0,0.0,127.0,127.0,0.0,127.0,0.0,0.0,0.0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,1719.0,670.0,1049.0,1719.0,670.0,1049.0,0.0,0.0,0.0,1461.0,470.0,991.0,1461.0,470.0,991.0,0.0,0.0,0.0,258.0,200.0,58.0,258.0,200.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",163.0,163.0,0.0,0.0,0.0,0.0,163.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,163.0,0.0,0.0,0.0,0.0,163.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,St. Lawrence County PUMA,817.0,532.0,285.0,695.0,440.0,255.0,122.0,92.0,30.0,723.0,519.0,204.0,601.0,427.0,174.0,122.0,92.0,30.0,69.0,0.0,69.0,69.0,0.0,69.0,0.0,0.0,0.0,25.0,13.0,12.0,25.0,13.0,12.0,0.0,0.0,0.0
28,Columbia & Greene Counties PUMA,615.0,100.0,515.0,567.0,100.0,467.0,48.0,0.0,48.0,263.0,73.0,190.0,215.0,73.0,142.0,48.0,0.0,48.0,327.0,27.0,300.0,327.0,27.0,300.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,4031.0,2072.0,1959.0,2006.0,1168.0,838.0,2025.0,904.0,1121.0,2904.0,1464.0,1440.0,1128.0,730.0,398.0,1776.0,734.0,1042.0,1127.0,608.0,519.0,878.0,438.0,440.0,249.0,170.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",5297.0,2248.0,3049.0,3935.0,1767.0,2168.0,1362.0,481.0,881.0,3326.0,1353.0,1973.0,2369.0,1132.0,1237.0,957.0,221.0,736.0,1857.0,781.0,1076.0,1566.0,635.0,931.0,291.0,146.0,145.0,114.0,114.0,0.0,0.0,0.0,0.0,114.0,114.0,0.0
31,Monroe County (North & West) PUMA,143.0,143.0,0.0,0.0,0.0,0.0,143.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,143.0,0.0,0.0,0.0,0.0,143.0,143.0,0.0
32,Schenectady County--Schenectady City PUMA,259.0,76.0,183.0,259.0,76.0,183.0,0.0,0.0,0.0,63.0,31.0,32.0,63.0,31.0,32.0,0.0,0.0,0.0,196.0,45.0,151.0,196.0,45.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",2718.0,1179.0,1539.0,1159.0,505.0,654.0,1559.0,674.0,885.0,252.0,60.0,192.0,130.0,0.0,130.0,122.0,60.0,62.0,2284.0,1025.0,1259.0,1029.0,505.0,524.0,1255.0,520.0,735.0,182.0,94.0,88.0,0.0,0.0,0.0,182.0,94.0,88.0
