,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
21,Madison & Cortland Counties PUMA,54860,27459,27401,44846,22627,22219,10014,4832,5182,14305,5804,8501,13645,5552,8093,660,252,408,35948,17983,17965,28354,14906,13448,7594,3077,4517,4607,3672,935,2847,2169,678,1760,1503,257
22,Erie County (West Central)--Buffalo City (West) PUMA,49413,22634,26779,36908,17765,19143,12505,4869,7636,22926,9708,13218,20054,8301,11753,2872,1407,1465,22289,11122,11167,15170,8341,6829,7119,2781,4338,4198,1804,2394,1684,1123,561,2514,681,1833
23,Monroe County (Central)--Rochester City (West) PUMA,41912,20501,21411,23687,11234,12453,18225,9267,8958,8173,3761,4412,7084,3380,3704,1089,381,708,25539,12177,13362,14710,6566,8144,10829,5611,5218,8200,4563,3637,1893,1288,605,6307,3275,3032
24,Suffolk County (Central)--Islip Town (East) PUMA,49208,24477,24731,44995,21916,23079,4213,2561,1652,21526,8975,12551,20709,8848,11861,817,127,690,25769,15045,10724,23075,12787,10288,2694,2258,436,1913,457,1456,1211,281,930,702,176,526
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,41993,21113,20880,40510,20534,19976,1483,579,904,25394,12047,13347,25046,11922,13124,348,125,223,16088,8740,7348,14953,8286,6667,1135,454,681,511,326,185,511,326,185,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",26916,12613,14303,13989,7479,6510,12927,5134,7793,4280,1734,2546,3339,1565,1774,941,169,772,15633,7750,7883,8391,4406,3985,7242,3344,3898,7003,3129,3874,2259,1508,751,4744,1621,3123
27,St. Lawrence County PUMA,48242,24112,24130,38608,20329,18279,9634,3783,5851,11077,4760,6317,10571,4594,5977,506,166,340,33172,17028,16144,26190,14543,11647,6982,2485,4497,3993,2324,1669,1847,1192,655,2146,1132,1014
28,Columbia & Greene Counties PUMA,50470,24736,25734,39883,19369,20514,10587,5367,5220,15295,6801,8494,13079,5726,7353,2216,1075,1141,32155,16279,15876,25302,12947,12355,6853,3332,3521,3020,1656,1364,1502,696,806,1518,960,558
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,69401,32840,36561,58906,28505,30401,10495,4335,6160,51968,24572,27396,49452,23421,26031,2516,1151,1365,12980,6098,6882,8416,4491,3925,4564,1607,2957,4453,2170,2283,1038,593,445,3415,1577,1838
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",34013,14614,19399,30627,13709,16918,3386,905,2481,18552,7542,11010,17444,7212,10232,1108,330,778,13873,6519,7354,12175,6050,6125,1698,469,1229,1588,553,1035,1008,447,561,580,106,474
