,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
142,Nassau County (West Central)--Hempstead Town (West Central) PUMA,8492,4193,4299,57023.492699010836,54736,59253,3870,1733,2137,66531.91214470284,67706,65579,4508,2409,2099,48411.490683229815,45824,51380,114,51,63,74789.47368421052,35000,107000
143,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,6851,4378,2473,41646.24872281419,42184,40692,1503,705,798,64970.85828343313,60525,68898,3184,1868,1316,33907.0351758794,38953,26743,2164,1805,359,36833.29482439926,38365,29129
144,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",10393,6668,3725,37912.72972192822,38769,36378,3269,1725,1544,48634.475374732334,48276,49034,6114,4332,1782,35109.99345763821,37290,29809,1010,611,399,20176.633663366338,22417,16745
145,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,3132,1623,1509,46967.544699872284,54916,38417,585,315,270,71348.54700854702,84552,55944,2446,1308,1138,41011.222403924774,47779,33231,101,0,101,50000.0,0,50000
146,Capital Region,13913,9240,4673,562324.3495674145,592008,393590,8814,5577,3237,671375.4556525158,669265,385033,3889,2453,1436,400969.4515395247,388258,268899,1210,1210,0,#DIV/0!,99481,0
147,Central NY,8900,5131,3769,420741.8195452287,554827,222522,5012,2523,2489,547404.4496439802,671676,270190,3111,2135,976,214161.5236952444,221625,90443,777,473,304,#DIV/0!,144517,46311
148,Finger Lakes,16951,8843,8108,552308.5699919753,747278,498508,7092,3959,3133,1002230.5654704808,1204933,676278,8561,4104,4457,344581.9431640241,324798,306036,1298,780,518,#DIV/0!,176525,168398
149,Long Island,150698,88273,62425,1722856.7646596066,1912795,1477525,61646,32338,29308,2311359.929436697,2685003,1955245,68086,40199,27887,1331505.3764904363,1508572,1021655,20966,15736,5230,#DIV/0!,909837,956551
150,Mid-Hudson,119572,68241,51331,1133398.1067991985,1172441,1081538,51933,26841,25092,1635250.8459134619,1914246,1456117,51558,29631,21927,810227.4052475536,775205,837833,16081,11769,4312,599745.2740498842,615108,410649
151,Mohawk Valley,4767,2640,2127,271669.5513509743,225062,309702,1659,977,682,467449.65121933876,293975,491293,2156,1116,1040,122265.5218801689,106811,188469,952,547,405,#DIV/0!,77824,56780
152,New York City,742979,430708,312271,3302665.235792622,3560327,3028110,332705,176216,156489,4186590.601399792,4551443,3813410,325716,195609,130107,2342880.4727249644,2444153,2127436,84558,58883,25675,#DIV/0!,1740126,1331222
153,North Country,2509,892,1617,216444.24928493198,362266,133861,1653,672,981,283323.949874889,424615,130264,716,127,589,87472.83556841838,28667,89395,140,93,47,#DIV/0!,59000,40000
154,Southern Tier,7181,4525,2656,511110.49883092236,641237,245812,5553,3302,2251,#DIV/0!,656528,213941,1527,1122,405,259286.5815714516,325084,126264,101,101,0,#DIV/0!,149000,0
155,Western NY,12948,7942,5006,755257.0120936385,1082383,455464,6353,3460,2893,#DIV/0!,1153332,550075,5520,4144,1376,#DIV/0!,261760,160287,1075,338,737,#DIV/0!,218000,150200
