,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,7435330,2994614,1358791,1635823,3874362,1986891,1887471,566354,321422,244932
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,49737,19040,7974,11066,29223,15011,14212,1474,953,521
2,"Chenango, Delaware & Broome (East) Counties PUMA",50032,10902,5294,5608,32916,15822,17094,6214,3708,2506
3,Cayuga & Onondaga (South) Counties PUMA,57690,16446,7170,9276,35622,18651,16971,5622,3982,1640
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,44715,7140,1639,5501,30625,14108,16517,6950,2725,4225
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",62217,20422,8699,11723,34910,19523,15387,6885,3367,3518
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",56148,20265,10982,9283,31939,16425,15514,3944,2073,1871
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",50396,12325,5227,7098,34075,17514,16561,3996,2363,1633
8,Erie County (Northwest) PUMA,56170,21532,9234,12298,33408,16563,16845,1230,433,797
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,82951,65904,30533,35371,14733,7571,7162,2314,1888,426
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",64301,55688,25199,30489,7997,5347,2650,616,401,215
11,Saratoga County (South & Central) PUMA,51956,26814,12265,14549,23717,13671,10046,1425,946,479
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,43748,23158,10715,12443,19747,8835,10912,843,658,185
13,Columbia & Greene Counties PUMA,52273,12296,5246,7050,32760,17122,15638,7217,4312,2905
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,45820,16774,7557,9217,27744,13639,14105,1302,1036,266
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,41874,28463,13489,14974,12702,7740,4962,709,346,363
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,49629,20154,8673,11481,26593,13786,12807,2882,1495,1387
17,Putnam County PUMA,47143,23008,10211,12797,22980,11843,11137,1155,942,213
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,33775,24557,11315,13242,7985,4908,3077,1233,643,590
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,25053,11854,6955,4899,10039,5230,4809,3160,2004,1156
20,Rockland County (North)--New City & Congers PUMA,35225,17764,7486,10278,15464,8671,6793,1997,1294,703
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",43063,5558,1609,3949,27780,14032,13748,9725,4988,4737
22,Orange County (Northwest) PUMA,51027,12711,5060,7651,34168,18302,15866,4148,2242,1906
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,72017,49404,23681,25723,18211,9440,8771,4402,1616,2786
24,Dutchess County (Southwest) PUMA,75333,25583,12115,13468,44646,23278,21368,5104,2915,2189
25,Westchester County (Northwest) PUMA,56569,31097,13590,17507,22931,11725,11206,2541,2126,415
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,50164,24995,11833,13162,24500,12154,12346,669,421,248
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,62387,32354,13636,18718,26232,13147,13085,3801,2075,1726
28,Saratoga County (Outer) PUMA,63379,20352,8779,11573,38073,19134,18939,4954,3460,1494
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,29027,9667,4066,5601,14842,8342,6500,4518,2261,2257
30,Erie County (South) PUMA,87107,31221,13344,17877,54098,28458,25640,1788,1349,439
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",57830,14139,4962,9177,38805,19573,19232,4886,3079,1807
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,75094,42422,21080,21342,25259,12532,12727,7413,4156,3257
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,59603,17719,7304,10415,40250,20729,19521,1634,900,734
34,St. Lawrence County PUMA,51363,12599,4885,7714,33668,18280,15388,5096,3465,1631
35,Genesee & Orleans Counties PUMA,52106,11313,4057,7256,37215,20037,17178,3578,2025,1553
36,Monroe County (Central)--Rochester City (West) PUMA,45269,9024,4500,4524,28485,12900,15585,7760,5012,2748
37,Wayne & Seneca Counties PUMA,63079,13065,5188,7877,42992,21662,21330,7022,5020,2002
38,Warren & Washington Counties PUMA,66072,15251,5371,9880,45667,24589,21078,5154,3291,1863
39,Erie County (North Central) PUMA,50098,26977,12299,14678,22083,10973,11110,1038,668,370
40,"Clinton, Franklin, Essex & Hamilton Counties PUMA",87976,17842,6766,11076,60463,33088,27375,9671,7273,2398
41,Dutchess County (North & East) PUMA,58021,19264,8363,10901,33245,17251,15994,5512,3940,1572
42,Tompkins County PUMA,40214,19089,9597,9492,19438,9005,10433,1687,823,864
43,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",66070,56000,31876,24124,9359,5978,3381,711,597,114
44,Onondaga County (Central)--Syracuse City PUMA,59105,16702,7857,8845,33802,15465,18337,8601,4095,4506
45,Suffolk County (South Central)--Brookhaven Town (South) PUMA,57567,14795,6730,8065,40305,20658,19647,2467,1403,1064
