,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,4808,2299,2509,4369,1938,2431,439,361,78,2325,993,1332,2225,893,1332,100,100,0,1793,925,868,1454,664,790,339,261,78,690,381,309,690,381,309,0,0,0
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,13818,6460,7358,13641,6392,7249,177,68,109,6097,3106,2991,6097,3106,2991,0,0,0,6975,2914,4061,6798,2846,3952,177,68,109,746,440,306,746,440,306,0,0,0
26,Westchester County (Southeast) PUMA,12699,8036,4663,11494,7253,4241,1205,783,422,4302,2117,2185,4099,1981,2118,203,136,67,5378,2972,2406,4579,2528,2051,799,444,355,3019,2947,72,2816,2744,72,203,203,0
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,11635,7562,4073,11253,7260,3993,382,302,80,2992,1678,1314,2690,1376,1314,302,302,0,6320,4230,2090,6320,4230,2090,0,0,0,2323,1654,669,2243,1654,589,80,0,80
28,Westchester County (Northwest) PUMA,12291,6842,5449,11948,6717,5231,343,125,218,3236,1237,1999,3018,1237,1781,218,0,218,6499,3906,2593,6374,3781,2593,125,125,0,2556,1699,857,2556,1699,857,0,0,0
29,Monroe County (South) PUMA,5182,3204,1978,5182,3204,1978,0,0,0,3497,2320,1177,3497,2320,1177,0,0,0,1685,884,801,1685,884,801,0,0,0,0,0,0,0,0,0,0,0,0
30,Rockland County (North)--New City & Congers PUMA,5570,2585,2985,5457,2585,2872,113,0,113,2124,793,1331,2011,793,1218,113,0,113,3035,1440,1595,3035,1440,1595,0,0,0,411,352,59,411,352,59,0,0,0
31,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",12607,7097,5510,11920,6557,5363,687,540,147,1667,655,1012,1667,655,1012,0,0,0,8279,4976,3303,7592,4436,3156,687,540,147,2661,1466,1195,2661,1466,1195,0,0,0
32,Orange County (Southeast) PUMA,2283,796,1487,1802,796,1006,481,0,481,983,224,759,911,224,687,72,0,72,711,461,250,711,461,250,0,0,0,589,111,478,180,111,69,409,0,409
33,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",20383,12108,8275,19768,11877,7891,615,231,384,8154,3987,4167,7957,3829,4128,197,158,39,10450,7019,3431,10221,6946,3275,229,73,156,1779,1102,677,1590,1102,488,189,0,189
34,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,7840,3972,3868,7731,3863,3868,109,109,0,4248,1940,2308,4221,1913,2308,27,27,0,2494,991,1503,2412,909,1503,82,82,0,1098,1041,57,1098,1041,57,0,0,0
35,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",6180,3298,2882,5560,2979,2581,620,319,301,1734,675,1059,1611,552,1059,123,123,0,3533,1869,1664,3125,1762,1363,408,107,301,913,754,159,824,665,159,89,89,0
36,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,24314,14904,9410,23693,14736,8957,621,168,453,11495,6149,5346,11269,6149,5120,226,0,226,11746,8064,3682,11351,7896,3455,395,168,227,1073,691,382,1073,691,382,0,0,0
37,Suffolk County (Northwest)--Huntington Town (South) PUMA,4979,2610,2369,4933,2564,2369,46,46,0,3089,1624,1465,3043,1578,1465,46,46,0,1607,788,819,1607,788,819,0,0,0,283,198,85,283,198,85,0,0,0
