,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,1029064,568767,460297,864373,513028,351345,164691,55739,108952,411741,208520,203221,356823,188792,168031,54918,19728,35190,480807,267350,213457,394106,240403,153703,86701,26947,59754,136516,92897,43619,113444,83833,29611,23072,9064,14008
1,Monroe County (Central)--Rochester City (East) PUMA,1609,1209,400,1269,981,288,340,228,112,616,507,109,616,507,109,0,0,0,906,702,204,566,474,92,340,228,112,87,0,87,87,0,87,0,0,0
2,NYC-Brooklyn Community District 4--Bushwick PUMA,10248,6256,3992,7921,5119,2802,2327,1137,1190,2370,1080,1290,1876,761,1115,494,319,175,5748,3739,2009,4311,3065,1246,1437,674,763,2130,1437,693,1734,1293,441,396,144,252
3,NYC-Manhattan Community District 10--Central Harlem PUMA,13539,8447,5092,11090,7499,3591,2449,948,1501,5282,3880,1402,4278,3192,1086,1004,688,316,6120,3018,3102,4880,2873,2007,1240,145,1095,2137,1549,588,1932,1434,498,205,115,90
4,Ontario & Yates Counties PUMA,729,343,386,464,343,121,265,0,265,280,233,47,280,233,47,0,0,0,368,110,258,135,110,25,233,0,233,81,0,81,49,0,49,32,0,32
5,Albany County (Outside Albany City) PUMA,4882,3250,1632,4389,3014,1375,493,236,257,3824,2628,1196,3491,2552,939,333,76,257,800,364,436,740,304,436,60,60,0,258,258,0,158,158,0,100,100,0
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",551,336,215,409,312,97,142,24,118,283,117,166,214,117,97,69,0,69,268,219,49,195,195,0,73,24,49,0,0,0,0,0,0,0,0,0
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,22447,13275,9172,18569,11395,7174,3878,1880,1998,10338,5945,4393,8642,4983,3659,1696,962,734,8770,5209,3561,7455,4421,3034,1315,788,527,3339,2121,1218,2472,1991,481,867,130,737
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",7644,4431,3213,6575,3558,3017,1069,873,196,3414,1148,2266,3152,1009,2143,262,139,123,1893,1661,232,1134,975,159,759,686,73,2337,1622,715,2289,1574,715,48,48,0
9,Warren & Washington Counties PUMA,288,132,156,195,132,63,93,0,93,204,132,72,132,132,0,72,0,72,84,0,84,63,0,63,21,0,21,0,0,0,0,0,0,0,0,0
10,Erie County (North Central) PUMA,4970,3252,1718,3554,2367,1187,1416,885,531,4260,2670,1590,2844,1785,1059,1416,885,531,459,331,128,459,331,128,0,0,0,251,251,0,251,251,0,0,0,0
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",13998,8503,5495,13105,8503,4602,893,0,893,11523,6724,4799,10630,6724,3906,893,0,893,2389,1779,610,2389,1779,610,0,0,0,86,0,86,86,0,86,0,0,0
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,985,509,476,751,509,242,234,0,234,525,291,234,291,291,0,234,0,234,352,110,242,352,110,242,0,0,0,108,108,0,108,108,0,0,0,0
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,8721,4736,3985,8100,4460,3640,621,276,345,5325,2273,3052,5044,2090,2954,281,183,98,1446,1187,259,1273,1187,86,173,0,173,1950,1276,674,1783,1183,600,167,93,74
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,3528,1565,1963,2845,1565,1280,683,0,683,782,334,448,458,334,124,324,0,324,2357,1231,1126,2129,1231,898,228,0,228,389,0,389,258,0,258,131,0,131
