,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
57,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,4203,1619,938,681,1891,1099,792,693,439,254
58,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",9385,7940,3626,4314,1309,338,971,136,136,0
59,NYC-Manhattan Community District 11--East Harlem PUMA,10534,3538,1483,2055,4613,1570,3043,2383,1846,537
60,Schenectady County--Schenectady City PUMA,1861,1200,663,537,352,244,108,309,0,309
61,"Clinton, Franklin, Essex & Hamilton Counties PUMA",596,234,180,54,289,95,194,73,0,73
62,Onondaga County (Central)--Syracuse City (Outer) PUMA,1704,1146,672,474,378,163,215,180,53,127
63,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",16228,6671,2496,4175,8170,3501,4669,1387,733,654
64,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",3179,1323,549,774,1185,596,589,671,491,180
65,Onondaga County (North) PUMA,1343,400,201,199,777,193,584,166,105,61
66,Ulster County (East) PUMA,3398,1204,491,713,1668,624,1044,526,206,320
67,Oswego County PUMA,453,310,144,166,78,0,78,65,65,0
68,Niagara County (North & East) PUMA,449,264,150,114,185,37,148,0,0,0
69,Broome (Outer West) & Tioga Counties PUMA,291,169,82,87,35,35,0,87,0,87
70,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",20521,5519,2902,2617,10887,6341,4546,4115,1496,2619
71,Suffolk County (Southwest)--Islip Town (South) PUMA,5852,2426,1489,937,2653,1578,1075,773,493,280
72,Erie County (Central) PUMA,1084,299,125,174,412,359,53,373,48,325
73,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",11593,4395,1872,2523,5445,2259,3186,1753,1166,587
74,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1556,933,489,444,623,443,180,0,0,0
75,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,4609,1707,788,919,2071,1362,709,831,576,255
76,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",26759,8878,3157,5721,15076,7973,7103,2805,1863,942
77,Cattaraugus & Allegany Counties PUMA,450,27,0,27,253,0,253,170,126,44
78,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",38441,14982,7524,7458,20256,8922,11334,3203,1448,1755
79,Jefferson & Lewis Counties PUMA,1453,485,384,101,865,65,800,103,0,103
80,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",4420,2096,1455,641,1697,850,847,627,278,349
81,NYC-Queens Community District 1--Astoria & Long Island City PUMA,18752,8329,3776,4553,8678,4242,4436,1745,846,899
82,Saratoga County (Outer) PUMA,921,644,276,368,126,53,73,151,151,0
83,Dutchess County (Southwest) PUMA,7928,2707,1481,1226,3943,2303,1640,1278,668,610
84,Erie County (Northwest) PUMA,625,607,500,107,18,18,0,0,0,0
85,Genesee & Orleans Counties PUMA,832,310,283,27,63,29,34,459,393,66
86,Erie County (Northeast) PUMA,383,179,109,70,124,124,0,80,80,0
87,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",18610,6689,3644,3045,9505,4928,4577,2416,1435,981
88,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,5662,1911,591,1320,1838,980,858,1913,1135,778
89,Nassau County (West Central)--Hempstead Town (West Central) PUMA,10828,5341,2351,2990,4870,3078,1792,617,441,176
90,Suffolk County (South Central)--Brookhaven Town (South) PUMA,5271,864,451,413,2536,1396,1140,1871,1086,785
91,Orange County (Northeast)--Greater Newburgh City PUMA,5905,2196,1008,1188,2365,1206,1159,1344,625,719
92,Sullivan & Ulster (West) Counties PUMA,2762,604,401,203,1931,487,1444,227,152,75
93,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",12627,4479,2384,2095,6154,2514,3640,1994,969,1025
94,Wayne & Seneca Counties PUMA,788,153,62,91,428,304,124,207,119,88
95,Albany County (East Central)--Albany City PUMA,3349,2099,1032,1067,1162,747,415,88,0,88
96,Nassau County (Northwest)--North Hempstead Town (North) PUMA,7494,5863,2914,2949,1301,577,724,330,203,127
97,Rensselaer County--Troy City PUMA,1641,960,480,480,350,250,100,331,124,207
98,Tompkins County PUMA,3564,3259,1734,1525,249,0,249,56,0,56
99,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,9685,3208,1622,1586,5160,2570,2590,1317,1174,143
100,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,31033,6522,3179,3343,19979,10477,9502,4532,2684,1848
101,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,34614,12020,5631,6389,19646,11861,7785,2948,1698,1250
102,Columbia & Greene Counties PUMA,956,391,138,253,307,203,104,258,245,13
103,Madison & Cortland Counties PUMA,384,200,159,41,184,0,184,0,0,0
104,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,17275,11966,4684,7282,4623,1177,3446,686,296,390
105,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,17797,2484,1583,901,13005,7275,5730,2308,1023,1285
106,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",20534,4332,1662,2670,11568,5428,6140,4634,2619,2015
107,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,5838,3117,845,2272,1986,1274,712,735,117,618
108,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",470,93,0,93,346,327,19,31,31,0
109,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,153,63,0,63,90,90,0,0,0,0
110,Livingston & Wyoming Counties PUMA,95,0,0,0,42,0,42,53,53,0
111,Putnam County PUMA,2684,1142,405,737,991,328,663,551,425,126
112,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",10715,2587,1148,1439,7314,3266,4048,814,525,289
113,Suffolk County (Northwest)--Huntington Town (North) PUMA,5193,1821,874,947,2530,1558,972,842,541,301
114,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",13797,3330,1771,1559,7924,3979,3945,2543,1582,961
115,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,9736,4916,2637,2279,4233,2016,2217,587,336,251
116,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,11803,7301,3417,3884,3891,2522,1369,611,286,325
117,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,15098,3636,1530,2106,9660,4576,5084,1802,990,812
118,Orange County (Northwest) PUMA,5431,682,252,430,3817,1714,2103,932,548,384
119,Nassau County (Central)--Hempstead Town (East Central) PUMA,2282,1112,351,761,1170,435,735,0,0,0
120,Monroe County (North & West) PUMA,49,0,0,0,0,0,0,49,0,49
121,Suffolk County (Northwest)--Smithtown Town PUMA,2365,1903,674,1229,145,69,76,317,217,100
122,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,2463,1253,326,927,827,542,285,383,245,138
123,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",9253,2915,1755,1160,4298,2702,1596,2040,1143,897
124,Suffolk County (Central)--Brookhaven Town (Central) PUMA,7518,1827,1159,668,5409,2655,2754,282,146,136
125,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,11890,3620,1935,1685,6786,3098,3688,1484,917,567
126,Erie County (South) PUMA,543,129,69,60,414,278,136,0,0,0
127,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",10093,3554,1395,2159,5062,2879,2183,1477,570,907
128,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",6538,2675,1496,1179,3056,1268,1788,807,401,406
129,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",8847,2404,1467,937,4699,2392,2307,1744,1500,244
130,Nassau County (West Central)--North Hempstead Town (South) PUMA,14604,8129,3253,4876,3956,2525,1431,2519,1977,542
131,Monroe County (Central)--Greece & Gates Towns PUMA,1971,846,437,409,1125,573,552,0,0,0
132,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",28123,7576,2029,5547,14960,7536,7424,5587,3375,2212
