,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,1229301.0,621133.0,608168.0,526427.0,255783.0,270644.0,702874.0,365350.0,337524.0,474784.0,225581.0,249203.0,242706.0,109975.0,132731.0,232078.0,115606.0,116472.0,577850.0,292621.0,285229.0,222001.0,109725.0,112276.0,355849.0,182896.0,172953.0,176667.0,102931.0,73736.0,61720.0,36083.0,25637.0,114947.0,66848.0,48099.0
1,Monroe County (Central)--Rochester City (East) PUMA,1908.0,1362.0,546.0,999.0,602.0,397.0,909.0,760.0,149.0,765.0,549.0,216.0,190.0,81.0,109.0,575.0,468.0,107.0,980.0,737.0,243.0,646.0,445.0,201.0,334.0,292.0,42.0,163.0,76.0,87.0,163.0,76.0,87.0,0.0,0.0,0.0
2,NYC-Brooklyn Community District 4--Bushwick PUMA,11570.0,6414.0,5156.0,1690.0,880.0,810.0,9880.0,5534.0,4346.0,2670.0,1080.0,1590.0,914.0,442.0,472.0,1756.0,638.0,1118.0,5887.0,3645.0,2242.0,692.0,354.0,338.0,5195.0,3291.0,1904.0,3013.0,1689.0,1324.0,84.0,84.0,0.0,2929.0,1605.0,1324.0
3,NYC-Manhattan Community District 10--Central Harlem PUMA,16904.0,8756.0,8148.0,1584.0,806.0,778.0,15320.0,7950.0,7370.0,6334.0,4044.0,2290.0,1022.0,441.0,581.0,5312.0,3603.0,1709.0,7909.0,3163.0,4746.0,447.0,365.0,82.0,7462.0,2798.0,4664.0,2661.0,1549.0,1112.0,115.0,0.0,115.0,2546.0,1549.0,997.0
4,Ontario & Yates Counties PUMA,766.0,343.0,423.0,670.0,343.0,327.0,96.0,0.0,96.0,280.0,233.0,47.0,233.0,233.0,0.0,47.0,0.0,47.0,405.0,110.0,295.0,405.0,110.0,295.0,0.0,0.0,0.0,81.0,0.0,81.0,32.0,0.0,32.0,49.0,0.0,49.0
5,Albany County (Outside Albany City) PUMA,6633.0,3743.0,2890.0,3098.0,1629.0,1469.0,3535.0,2114.0,1421.0,5224.0,3012.0,2212.0,1813.0,898.0,915.0,3411.0,2114.0,1297.0,1151.0,473.0,678.0,1027.0,473.0,554.0,124.0,0.0,124.0,258.0,258.0,0.0,258.0,258.0,0.0,0.0,0.0,0.0
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",586.0,245.0,341.0,537.0,245.0,292.0,49.0,0.0,49.0,309.0,144.0,165.0,309.0,144.0,165.0,0.0,0.0,0.0,150.0,101.0,49.0,101.0,101.0,0.0,49.0,0.0,49.0,127.0,0.0,127.0,127.0,0.0,127.0,0.0,0.0,0.0
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,27327.0,15091.0,12236.0,14583.0,7410.0,7173.0,12744.0,7681.0,5063.0,11465.0,6530.0,4935.0,6458.0,2905.0,3553.0,5007.0,3625.0,1382.0,11471.0,6051.0,5420.0,5955.0,3246.0,2709.0,5516.0,2805.0,2711.0,4391.0,2510.0,1881.0,2170.0,1259.0,911.0,2221.0,1251.0,970.0
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",8801.0,4768.0,4033.0,5473.0,2720.0,2753.0,3328.0,2048.0,1280.0,3644.0,1273.0,2371.0,3046.0,1273.0,1773.0,598.0,0.0,598.0,2342.0,1661.0,681.0,1995.0,1314.0,681.0,347.0,347.0,0.0,2815.0,1834.0,981.0,432.0,133.0,299.0,2383.0,1701.0,682.0
9,Warren & Washington Counties PUMA,288.0,132.0,156.0,279.0,123.0,156.0,9.0,9.0,0.0,204.0,132.0,72.0,195.0,123.0,72.0,9.0,9.0,0.0,84.0,0.0,84.0,84.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Erie County (North Central) PUMA,5726.0,3528.0,2198.0,2904.0,1248.0,1656.0,2822.0,2280.0,542.0,4912.0,2946.0,1966.0,2776.0,1248.0,1528.0,2136.0,1698.0,438.0,459.0,331.0,128.0,128.0,0.0,128.0,331.0,331.0,0.0,355.0,251.0,104.0,0.0,0.0,0.0,355.0,251.0,104.0
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",16278.0,8892.0,7386.0,3231.0,1913.0,1318.0,13047.0,6979.0,6068.0,12667.0,6782.0,5885.0,3195.0,1913.0,1282.0,9472.0,4869.0,4603.0,3525.0,2110.0,1415.0,36.0,0.0,36.0,3489.0,2110.0,1379.0,86.0,0.0,86.0,0.0,0.0,0.0,86.0,0.0,86.0
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1207.0,571.0,636.0,1207.0,571.0,636.0,0.0,0.0,0.0,525.0,291.0,234.0,525.0,291.0,234.0,0.0,0.0,0.0,414.0,172.0,242.0,414.0,172.0,242.0,0.0,0.0,0.0,268.0,108.0,160.0,268.0,108.0,160.0,0.0,0.0,0.0
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,9833.0,5240.0,4593.0,8186.0,4363.0,3823.0,1647.0,877.0,770.0,5657.0,2458.0,3199.0,5060.0,2458.0,2602.0,597.0,0.0,597.0,2117.0,1506.0,611.0,1067.0,629.0,438.0,1050.0,877.0,173.0,2059.0,1276.0,783.0,2059.0,1276.0,783.0,0.0,0.0,0.0
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,3922.0,1547.0,2375.0,810.0,168.0,642.0,3112.0,1379.0,1733.0,713.0,334.0,379.0,245.0,0.0,245.0,468.0,334.0,134.0,2548.0,1083.0,1465.0,565.0,168.0,397.0,1983.0,915.0,1068.0,661.0,130.0,531.0,0.0,0.0,0.0,661.0,130.0,531.0
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,7197.0,3217.0,3980.0,2202.0,606.0,1596.0,4995.0,2611.0,2384.0,4884.0,2551.0,2333.0,1722.0,543.0,1179.0,3162.0,2008.0,1154.0,1119.0,240.0,879.0,400.0,63.0,337.0,719.0,177.0,542.0,1194.0,426.0,768.0,80.0,0.0,80.0,1114.0,426.0,688.0
16,Onondaga County (Central)--Syracuse City PUMA,4233.0,2178.0,2055.0,1485.0,792.0,693.0,2748.0,1386.0,1362.0,2011.0,1164.0,847.0,528.0,169.0,359.0,1483.0,995.0,488.0,1451.0,732.0,719.0,877.0,543.0,334.0,574.0,189.0,385.0,771.0,282.0,489.0,80.0,80.0,0.0,691.0,202.0,489.0
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,9566.0,4924.0,4642.0,7518.0,3730.0,3788.0,2048.0,1194.0,854.0,4243.0,2052.0,2191.0,3977.0,1900.0,2077.0,266.0,152.0,114.0,4233.0,2477.0,1756.0,2697.0,1644.0,1053.0,1536.0,833.0,703.0,1090.0,395.0,695.0,844.0,186.0,658.0,246.0,209.0,37.0
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,9378.0,3925.0,5453.0,8264.0,3860.0,4404.0,1114.0,65.0,1049.0,3441.0,1221.0,2220.0,3306.0,1221.0,2085.0,135.0,0.0,135.0,5257.0,2381.0,2876.0,4363.0,2316.0,2047.0,894.0,65.0,829.0,680.0,323.0,357.0,595.0,323.0,272.0,85.0,0.0,85.0
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",14939.0,6747.0,8192.0,887.0,366.0,521.0,14052.0,6381.0,7671.0,6791.0,3309.0,3482.0,608.0,188.0,420.0,6183.0,3121.0,3062.0,6349.0,2213.0,4136.0,279.0,178.0,101.0,6070.0,2035.0,4035.0,1799.0,1225.0,574.0,0.0,0.0,0.0,1799.0,1225.0,574.0
20,Monroe County (Central)--Rochester City (West) PUMA,2427.0,1263.0,1164.0,1272.0,580.0,692.0,1155.0,683.0,472.0,509.0,305.0,204.0,156.0,71.0,85.0,353.0,234.0,119.0,1504.0,800.0,704.0,702.0,351.0,351.0,802.0,449.0,353.0,414.0,158.0,256.0,414.0,158.0,256.0,0.0,0.0,0.0
21,"Chenango, Delaware & Broome (East) Counties PUMA",695.0,230.0,465.0,557.0,225.0,332.0,138.0,5.0,133.0,440.0,128.0,312.0,307.0,128.0,179.0,133.0,0.0,133.0,218.0,102.0,116.0,213.0,97.0,116.0,5.0,5.0,0.0,37.0,0.0,37.0,37.0,0.0,37.0,0.0,0.0,0.0
22,Dutchess County (North & East) PUMA,2585.0,978.0,1607.0,1715.0,772.0,943.0,870.0,206.0,664.0,1384.0,666.0,718.0,1258.0,628.0,630.0,126.0,38.0,88.0,437.0,0.0,437.0,244.0,0.0,244.0,193.0,0.0,193.0,764.0,312.0,452.0,213.0,144.0,69.0,551.0,168.0,383.0
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,11967.0,6338.0,5629.0,4118.0,2307.0,1811.0,7849.0,4031.0,3818.0,5903.0,2768.0,3135.0,2245.0,1096.0,1149.0,3658.0,1672.0,1986.0,4832.0,3088.0,1744.0,1482.0,949.0,533.0,3350.0,2139.0,1211.0,1232.0,482.0,750.0,391.0,262.0,129.0,841.0,220.0,621.0
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,5239.0,2433.0,2806.0,1120.0,328.0,792.0,4119.0,2105.0,2014.0,2453.0,1051.0,1402.0,638.0,225.0,413.0,1815.0,826.0,989.0,1869.0,1001.0,868.0,242.0,0.0,242.0,1627.0,1001.0,626.0,917.0,381.0,536.0,240.0,103.0,137.0,677.0,278.0,399.0
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,15614.0,6827.0,8787.0,9771.0,4537.0,5234.0,5843.0,2290.0,3553.0,7041.0,3427.0,3614.0,5196.0,2446.0,2750.0,1845.0,981.0,864.0,7729.0,2960.0,4769.0,4191.0,1890.0,2301.0,3538.0,1070.0,2468.0,844.0,440.0,404.0,384.0,201.0,183.0,460.0,239.0,221.0
26,Westchester County (Southeast) PUMA,13862.0,8185.0,5677.0,3470.0,2220.0,1250.0,10392.0,5965.0,4427.0,4749.0,2276.0,2473.0,2138.0,1090.0,1048.0,2611.0,1186.0,1425.0,6094.0,2962.0,3132.0,799.0,669.0,130.0,5295.0,2293.0,3002.0,3019.0,2947.0,72.0,533.0,461.0,72.0,2486.0,2486.0,0.0
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,13806.0,7971.0,5835.0,9193.0,5526.0,3667.0,4613.0,2445.0,2168.0,3203.0,1798.0,1405.0,2306.0,1403.0,903.0,897.0,395.0,502.0,7086.0,4230.0,2856.0,5540.0,3199.0,2341.0,1546.0,1031.0,515.0,3517.0,1943.0,1574.0,1347.0,924.0,423.0,2170.0,1019.0,1151.0
