,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade,Home_Ownership_BABS_score
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.24035742891488085,-0.07401985245141166,-1.0916148496580012,0.46850970198944564,-0.04162085693561783,-1.7020041879261303,-0.2502036207985962,-0.3500851766950615,0.29146255447013436,1.026622486156265,0.8618112782095388,#DIV/0!,0.3450969796565773,0.46035625451313716,0.5127335852847874,#DIV/0!,C,C,D,B-,C,D-,C-,C-,B-,B,B,#DIV!0,B-,B-,B-,#DIV!0,#DIV/0!
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",0.15101219690273554,-0.5268403279632123,-1.2426398598349289,#DIV/0!,#DIV/0!,-0.07268527366744061,-0.23948539585994624,#DIV/0!,0.20857642707797475,-0.4852171805336212,-0.8640003919532607,-1.5104111628444246,0.07245921827415168,-0.517908827395643,-0.40906487131804464,-0.5007952555275526,C,C-,D,#DIV!0,#DIV!0,C,C,#DIV!0,C,C-,D,D-,C-,C,C-,C-,#DIV/0!
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,#DIV/0!,-0.24062001963666693,-1.2352948765948863,#DIV/0!,-2.0796738780831556,0.6345522282500704,0.1239438942852287,#DIV/0!,#DIV/0!,-0.43405439759771397,#DIV/0!,#DIV/0!,-0.07073512614979151,-0.8068638682831899,-0.9212600726453716,#DIV/0!,#DIV!0,C,D,#DIV!0,E,B-,C,#DIV!0,#DIV!0,C-,#DIV!0,#DIV!0,D,C,D,#DIV!0,#DIV/0!
45,Saratoga County (Outer) PUMA,0.24035742891488085,-0.011066863487794332,0.6004635751385465,#DIV/0!,#DIV/0!,0.9014038517521943,0.1682087538478972,#DIV/0!,0.29146255447013436,-1.8236216158527856,0.9453935667048867,0.5515468531150173,#DIV/0!,1.0803817920865735,1.2805507340276172,#DIV/0!,C,C,B-,#DIV!0,#DIV!0,B,C,#DIV!0,B-,E,B,B-,A-,#DIV!0,B,#DIV!0,#DIV/0!
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",#DIV/0!,-0.7758909541871499,0.2864062980637151,#DIV/0!,0.27086684579690085,0.5535902807674782,0.134908560810285,#DIV/0!,0.2754388394131933,-1.132837538408286,0.5023015344676247,#DIV/0!,0.33431562342376936,-0.3608562783074672,-0.7484941212629733,#DIV/0!,#DIV!0,D,B-,#DIV!0,B-,B-,C,#DIV!0,B-,D,B-,#DIV!0,C-,B-,C-,#DIV!0,#DIV/0!
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",0.24035742891488085,0.5691102362449652,0.46245143694976487,0.10816532413919888,0.15360628049942135,0.11342840778255592,-0.20433248507181365,0.20611237563699622,0.25942881554113784,-0.41238384418622037,0.3866903748321305,0.40991889770089707,0.1752985184791259,-0.4828265869445748,-0.8288882136631733,-0.07039457689152531,C,B-,B-,C,C,C,C,C,B-,C-,B-,B-,D,C,C-,C,#DIV/0!
48,Wayne & Seneca Counties PUMA,0.24035742891488085,-2.785417570201173,0.6004635751385465,0.46850970198944564,#DIV/0!,0.6385691138021363,0.04245602782944522,#DIV/0!,0.29146255447013436,0.7300270644343082,0.9453935667048867,0.5515468531150173,#DIV/0!,0.9066176830023446,0.2776566755704016,#DIV/0!,C,E,B-,B-,#DIV!0,B-,C,#DIV!0,B-,B-,B,B-,B-,#DIV!0,B,#DIV!0,#DIV/0!
49,Schenectady County--Schenectady City PUMA,0.24035742891488085,0.9055542781635806,0.08321558155742352,-2.100653982186118,0.4316816723666742,-0.06623459138850045,0.014963078889049134,-0.07015950481185859,0.29146255447013436,0.6870901145186521,0.8234131191749225,0.5515468531150173,#DIV/0!,1.0109335713417558,-0.6546011242651804,#DIV/0!,C,B,C,E,B-,C,C,C,B-,B-,B,B-,C-,#DIV!0,B,#DIV!0,#DIV/0!
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,0.15657621905016916,0.09373279546432245,-0.41228687537092734,#DIV/0!,-0.5165079001281554,-0.13700137010674307,0.0035565075426863984,#DIV/0!,0.075978190093735,-0.6415284203895104,-1.3228233816168207,-0.2977046481858736,0.13389329958071455,0.4565867111483188,-0.25051510839854324,-0.26373047968114,C,C,C-,#DIV!0,C-,C,C,#DIV!0,C,C-,D-,C-,C-,C,B-,C-,#DIV/0!
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.24035742891488085,0.2797487680920652,0.2885364731799149,0.37993835486445265,0.04641713107609212,0.8284315397712377,-0.18591852938140296,0.2682158809310343,#DIV/0!,-0.44373144044541124,0.5455716918090616,0.39404689932244497,#DIV/0!,0.35494455223537197,-1.0599370452154149,#DIV/0!,C,B-,B-,B-,C,B,C,B-,#DIV!0,C-,B-,B-,D,#DIV!0,B-,#DIV!0,#DIV/0!
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.14486786276356736,-0.7179793459959042,0.45759834787229176,#DIV/0!,0.6670975407403884,0.5125043858615266,-0.06622237969198236,#DIV/0!,0.29146255447013436,0.6532182537641332,0.8082331541180945,0.5515468531150173,0.2612545177073992,-1.156392193645258,-0.056664759667579834,0.19323691140884874,C,C-,B-,#DIV!0,B-,B-,C,#DIV!0,B-,B-,B,B-,C,B-,D,C,#DIV/0!
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",-1.056968956234357,0.03123555884371788,0.03019219706359226,0.29749526319925357,-0.04169976407915905,0.7463921306435624,-0.17538184951820654,-0.024105060011656652,0.058696654594801244,-1.8457294566463607,-0.4363020510652743,0.36106956823744385,0.1405479698381135,2.182692616017526,0.4055782566254517,0.1237933653716717,D,C,C,B-,C,B-,C,C,C,E,C-,B-,B-,C,A,C,#DIV/0!
54,Columbia & Greene Counties PUMA,0.24035742891488085,0.353669069680491,0.04393164073630696,0.22143424431840816,#DIV/0!,1.094372273620897,-0.7524286192943922,#DIV/0!,0.29146255447013436,0.2345701886598215,-1.336278185258996,-0.02665402982499055,0.17282611336241296,-0.9054289847390083,0.4939802331146577,-0.15364601574513834,C,B-,C,C,#DIV!0,B,D,#DIV!0,B-,C,D-,C,B-,C,D,C,#DIV/0!
