,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_Ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_Ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_Ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_Ownership_HS_grade,Overall_HS_grade
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.1821493259208712,-0.6281573667826859,0.37377540702727774,0.45632952966874596,0.29682961711285893,-0.8415066474989931,-0.7407495264895813,-0.12876138014878663,0.3248011035033778,0.645478744948732,0.1722785903376808,#DIV/0!,0.16213425822814673,-0.6590011556957194,-0.5290693357820224,#DIV/0!,C,C-,B-,B-,B-,D,C-,C,B-,B-,C,#DIV!0,C-,C,C-,#DIV!0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,-0.08154408922378056,-0.7337494225027618,0.2753476839874406,#DIV/0!,0.5463541997492823,0.22682170275337998,-0.5409330278275768,#DIV/0!,#DIV/0!,0.22613312447496364,0.35869492596995844,#DIV/0!,#DIV/0!,-0.8971567982686268,0.7596246346553523,#DIV/0!,C,C-,B-,#DIV!0,B-,C,C-,#DIV!0,#DIV!0,C,B-,#DIV!0,B,#DIV!0,D,#DIV!0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.1821493259208712,-2.4900046797460025,-1.714274171025507,#DIV/0!,-0.12180233688099805,-1.0741163719369784,2.0454671154537234,#DIV/0!,0.3248011035033778,-0.6959238151491508,0.4030731182969137,0.4611273738870843,0.6503905676593816,-0.3682429007221434,1.1533178174391232,0.2755061807020838,C,E,D-,#DIV!0,C,D,A,#DIV!0,B-,C-,B-,B-,B,B-,C-,B-
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.1821493259208712,0.24254494665082887,-0.4870397138534946,#DIV/0!,-0.48770304186310476,0.5682645648870953,0.4006141223700394,#DIV/0!,#DIV/0!,-0.2578383761164663,0.6153667878907039,0.4611273738870843,#DIV/0!,0.04271774222485695,-0.9173132208859767,#DIV/0!,C,C,C-,#DIV!0,C-,B-,B-,#DIV!0,#DIV!0,C-,B-,B-,D,#DIV!0,C,#DIV!0
16,Monroe County (Central)--Rochester City (East) PUMA,0.1821493259208712,0.5157668646723387,-3.030066789710069,#DIV/0!,#DIV/0!,1.7228757895944953,0.3058431644415105,#DIV/0!,#DIV/0!,-0.5249597126130415,0.12893029892773578,0.4611273738870843,-0.39001182297824644,0.35636183554308887,1.1609399812181778,#DIV/0!,C,B-,E,#DIV!0,#DIV!0,A-,B-,#DIV!0,#DIV!0,C-,C,B-,B,C-,B-,#DIV!0
17,Westchester County (Northwest) PUMA,0.1821493259208712,-0.3156878466683496,0.16029280849245553,0.45632952966874596,-0.5308915185081746,0.4186680267530276,-0.20016731762434417,0.024384715433461702,0.3248011035033778,-0.46220726024485004,-0.37147541247844273,-1.5806298921977,0.37831570063684317,-0.6845766138610506,-0.5907100598839872,-0.42664034778940135,C,C-,C,B-,C-,B-,C,C,B-,C-,C-,D-,C-,B-,C-,C-
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.2032562767154174,0.14083677621041316,#DIV/0!,#DIV/0!,#DIV/0!,0.33368903359925867,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C,C,#DIV!0,B-,#DIV!0,#DIV!0,#DIV!0
19,Onondaga County (Central)--Syracuse City PUMA,-0.4110484569656505,0.6936554435799099,-0.15432729586078728,-0.42448766931460075,-0.9025884445192317,-0.6201471343260236,-0.6385159931373624,-0.35106565007767804,-1.4851603287989876,-1.0896254150281501,0.6153667878907039,0.4611273738870843,-0.8920415278608245,-0.25771895188555444,-0.204885612141922,-0.40756252484823585,C-,B-,C,C-,D,C-,C-,C-,D-,D,B-,B-,C,D,C-,C-
20,Westchester County (Northeast) PUMA,-0.9747608035920603,0.6967504672586866,-0.6087276179391149,#DIV/0!,0.5463541997492823,0.28123016794087147,-0.2943864671027466,#DIV/0!,0.3248011035033778,-1.059955714586566,-0.21943118480651316,#DIV/0!,#DIV/0!,-0.03613163011123401,-0.7766312678643185,#DIV/0!,D,B-,C-,#DIV!0,B-,B-,C-,#DIV!0,B-,D,C,#DIV!0,D,#DIV!0,C,#DIV!0
21,Madison & Cortland Counties PUMA,0.1821493259208712,-0.7214618827417422,0.5436730995327466,0.45632952966874596,0.5463541997492823,-0.24749095119842293,-0.8864712485574255,-0.018131132517992064,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1.453176168077994,#DIV/0!,C,C-,B-,B-,B-,C,D,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,D-,#DIV!0,#DIV!0,#DIV!0
