,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",8585,3223,1712,1511,3961,1580,2381,1401,695,706
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",20049,6271,3699,2572,10264,5238,5026,3514,2192,1322
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,2773,2034,1234,800,739,275,464,0,0,0
59,Albany County (East Central)--Albany City PUMA,1780,1137,263,874,269,0,269,374,69,305
60,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,8383,3882,1646,2236,3688,1456,2232,813,424,389
61,Rensselaer County--Troy City PUMA,1812,1072,384,688,248,161,87,492,363,129
62,Warren & Washington Counties PUMA,249,91,91,0,107,0,107,51,51,0
63,Orange County (Northeast)--Greater Newburgh City PUMA,3443,984,423,561,1412,553,859,1047,560,487
64,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",6516,3247,1476,1771,2633,1125,1508,636,323,313
65,Fulton & Montgomery Counties PUMA,489,442,181,261,47,47,0,0,0,0
66,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,21643,10683,4985,5698,8237,3872,4365,2723,1769,954
67,Monroe County (Central)--Rochester City (East) PUMA,2339,401,51,350,1374,462,912,564,344,220
68,Chautauqua County PUMA,126,32,32,0,33,33,0,61,61,0
69,Nassau County (Northwest)--North Hempstead Town (North) PUMA,7965,5013,2504,2509,2884,2076,808,68,0,68
70,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1388,692,214,478,191,103,88,505,505,0
71,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,16881,9915,4052,5863,6280,3798,2482,686,303,383
72,Monroe County (Central)--Rochester City (West) PUMA,2902,865,636,229,1805,1117,688,232,232,0
73,Orange County (Southeast) PUMA,3491,1565,962,603,1492,523,969,434,434,0
74,Rockland County (North)--New City & Congers PUMA,9098,3285,1350,1935,4344,1931,2413,1469,780,689
75,Westchester County (Southeast) PUMA,13632,4366,2333,2033,6705,3313,3392,2561,1759,802
76,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",15031,6271,4008,2263,5036,2305,2731,3724,1670,2054
77,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,6476,2767,1108,1659,2741,1403,1338,968,694,274
78,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,31528,13381,6755,6626,13783,8115,5668,4364,2649,1715
79,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",12941,4193,2229,1964,7465,3825,3640,1283,838,445
80,Onondaga County (Central)--Syracuse City (Outer) PUMA,1653,1400,664,736,253,48,205,0,0,0
81,Wayne & Seneca Counties PUMA,1356,788,708,80,422,46,376,146,73,73
82,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",19377,5001,3059,1942,9640,4812,4828,4736,2399,2337
83,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,11618,4816,2595,2221,5622,3461,2161,1180,767,413
84,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,19129,6923,3062,3861,10259,5090,5169,1947,1300,647
85,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",6849,2492,1052,1440,3897,1896,2001,460,409,51
86,Suffolk County (South Central)--Brookhaven Town (South) PUMA,3759,788,355,433,2315,1566,749,656,453,203
87,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,40491,14700,10078,4622,19962,11154,8808,5829,3628,2201
88,Livingston & Wyoming Counties PUMA,557,107,0,107,366,200,166,84,84,0
89,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",6667,2745,1223,1522,3251,1027,2224,671,281,390
90,Cattaraugus & Allegany Counties PUMA,411,334,162,172,77,44,33,0,0,0
91,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,252,9,9,0,187,36,151,56,56,0
92,Orange County (Northwest) PUMA,3476,1411,350,1061,1873,606,1267,192,77,115
93,Columbia & Greene Counties PUMA,1159,429,322,107,730,491,239,0,0,0
94,Suffolk County (East) PUMA,4728,734,417,317,2745,1175,1570,1249,914,335
95,Monroe County (East) PUMA,1964,981,452,529,757,435,322,226,102,124
96,Sullivan & Ulster (West) Counties PUMA,2127,621,391,230,1458,389,1069,48,48,0
97,Cayuga & Onondaga (South) Counties PUMA,354,133,103,30,221,150,71,0,0,0
