,puma,BABS_FT_Work_Total,BABS_FT_Work_M,BABS_FT_Work_F,HS_FT_Work_Total,HS_FT_Work_M,HS_FT_Work_F,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
0,Total Geo,88.09783887547216,92.25468757036985,84.0235815741976,81.63902790737127,88.84393442145783,71.57243510883822,80.24192631555013,89.02441786717405,62.47451025317906
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,96.4349376114082,100.0,92.93909973521623,80.0,100.0,50.579470198675494,100.0,100.0,#DIV/0!
2,"Chenango, Delaware & Broome (East) Counties PUMA",100.0,100.0,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
3,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,100.0,#DIV/0!,100.0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,91.62253249879633,78.88349514563106,100.0,85.53837342497135,87.20167846839759,83.53831598864711,84.36052725329533,87.14285714285714,77.92207792207793
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",84.65809468147282,97.13930348258707,73.59426681367145,83.56807511737088,88.22699040090345,77.30550284629982,85.20971302428256,82.1078431372549,93.20695102685625
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",86.82673588578845,91.75334323922733,84.80317363442173,79.0599455040872,90.06418485237484,66.61828737300436,79.32983447719015,88.2466281310212,64.23913043478261
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",65.87837837837837,100.0,48.98989898989899,100.0,#DIV/0!,100.0,#DIV/0!,#DIV/0!,#DIV/0!
8,Erie County (Northwest) PUMA,100.0,100.0,100.0,36.58536585365854,100.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,88.68217054263566,100.0,77.83961548191247,33.06188925081433,96.7818831942789,0.0,85.06787330316742,85.06787330316742,#DIV/0!
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",79.04471544715447,100.0,66.06319947333772,100.0,#DIV/0!,100.0,100.0,100.0,#DIV/0!
11,Saratoga County (South & Central) PUMA,92.55247122545701,87.84530386740332,100.0,100.0,#DIV/0!,100.0,#DIV/0!,#DIV/0!,#DIV/0!
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,87.81236299868479,100.0,78.04107424960506,59.36183022275737,100.0,50.0,50.42016806722689,62.28373702422145,0.0
13,Columbia & Greene Counties PUMA,87.11018711018711,73.83966244725738,100.0,7.836456558773425,100.0,3.5650623885918007,42.05607476635514,42.05607476635514,#DIV/0!
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,93.50341145060813,94.60010188487009,91.97443181818183,86.49665551839465,89.24515698062793,81.89944134078212,32.6530612244898,100.0,0.0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,91.07941239088781,92.65862611431568,90.0,98.95645915797049,100.0,96.63962920046349,88.98701298701299,98.94736842105263,9.767441860465116
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,96.06134541652143,98.62223646267222,93.00726022162782,80.71179344033497,75.9570765661253,85.12241054613936,86.74790555978676,100.0,44.230769230769226
17,Putnam County PUMA,100.0,100.0,100.0,100.0,100.0,100.0,45.87332053742802,100.0,0.0
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,94.15724286483575,100.0,84.70754052149401,68.47396768402155,82.97872340425532,50.24311183144247,74.9271137026239,100.0,0.0
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,86.87607573149741,97.37941511583745,73.151364764268,84.14975845410628,91.9224088013897,68.5502614758861,85.91205211726385,89.71618134906008,75.2832131822863
20,Rockland County (North)--New City & Congers PUMA,98.00344234079174,100.0,95.21056977704376,87.37890204520991,100.0,74.2024202420242,78.82483370288249,100.0,29.520295202952028
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",80.54690973766118,75.37983425414365,89.8876404494382,77.79688216414489,79.81325033348155,75.65073355418835,77.41761210156672,80.61381074168797,73.84087006296508
22,Orange County (Northwest) PUMA,92.78741865509761,93.91080617495712,90.85545722713864,89.49671772428884,100.0,74.4408945686901,100.0,100.0,#DIV/0!
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,85.8457711442786,84.80225988700565,86.66666666666667,84.13547237076648,100.0,47.953216374269005,100.0,#DIV/0!,100.0
