,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,2365,1414,951,1972,1315,657,393,99,294,1381,1001,380,1170,902,268,211,99,112,897,326,571,715,326,389,182,0,182,87,87,0,87,87,0,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",13675,7755,5920,10994,6568,4426,2681,1187,1494,2722,1514,1208,2513,1470,1043,209,44,165,7081,3938,3143,5644,3388,2256,1437,550,887,3872,2303,1569,2837,1710,1127,1035,593,442
27,St. Lawrence County PUMA,373,174,199,320,174,146,53,0,53,227,174,53,174,174,0,53,0,53,146,0,146,146,0,146,0,0,0,0,0,0,0,0,0,0,0,0
28,Columbia & Greene Counties PUMA,334,277,57,295,277,18,39,0,39,160,127,33,145,127,18,15,0,15,174,150,24,150,150,0,24,0,24,0,0,0,0,0,0,0,0,0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,3927,1676,2251,3221,1366,1855,706,310,396,3081,1250,1831,2682,1088,1594,399,162,237,510,202,308,463,202,261,47,0,47,336,224,112,76,76,0,260,148,112
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",21573,12718,8855,16338,10394,5944,5235,2324,2911,10329,5864,4465,7745,4592,3153,2584,1272,1312,9925,6288,3637,7559,5384,2175,2366,904,1462,1319,566,753,1034,418,616,285,148,137
31,Monroe County (North & West) PUMA,139,53,86,139,53,86,0,0,0,0,0,0,0,0,0,0,0,0,139,53,86,139,53,86,0,0,0,0,0,0,0,0,0,0,0,0
32,Schenectady County--Schenectady City PUMA,2689,1503,1186,2689,1503,1186,0,0,0,1268,701,567,1268,701,567,0,0,0,1364,745,619,1364,745,619,0,0,0,57,57,0,57,57,0,0,0,0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",6855,3046,3809,5504,2501,3003,1351,545,806,1826,932,894,1528,762,766,298,170,128,3086,1114,1972,2732,1114,1618,354,0,354,1943,1000,943,1244,625,619,699,375,324
34,Niagara County (North & East) PUMA,215,91,124,215,91,124,0,0,0,168,75,93,168,75,93,0,0,0,20,0,20,20,0,20,0,0,0,27,16,11,27,16,11,0,0,0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,3148,1938,1210,2589,1938,651,559,0,559,869,466,403,544,466,78,325,0,325,1947,1472,475,1713,1472,241,234,0,234,332,0,332,332,0,332,0,0,0
36,Suffolk County (East) PUMA,8004,4205,3799,6209,3709,2500,1795,496,1299,978,348,630,802,348,454,176,0,176,5093,2656,2437,3686,2160,1526,1407,496,911,1933,1201,732,1721,1201,520,212,0,212
37,Warren & Washington Counties PUMA,728,333,395,558,163,395,170,170,0,447,170,277,277,0,277,170,170,0,247,129,118,247,129,118,0,0,0,34,34,0,34,34,0,0,0,0
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,17184,6949,10235,15795,6551,9244,1389,398,991,12897,5096,7801,12055,4828,7227,842,268,574,4232,1853,2379,3685,1723,1962,547,130,417,55,0,55,55,0,55,0,0,0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",5171,2073,3098,4363,1935,2428,808,138,670,2119,540,1579,1770,402,1368,349,138,211,2353,1197,1156,2146,1197,949,207,0,207,699,336,363,447,336,111,252,0,252
40,Westchester County (Central)--White Plains City PUMA,13848,7870,5978,11611,6997,4614,2237,873,1364,6729,3623,3106,6051,3518,2533,678,105,573,5831,3799,2032,4703,3076,1627,1128,723,405,1288,448,840,857,403,454,431,45,386
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",12847,7048,5799,10242,5994,4248,2605,1054,1551,2971,1318,1653,2500,1107,1393,471,211,260,7246,3759,3487,5878,3275,2603,1368,484,884,2630,1971,659,1864,1612,252,766,359,407
42,Erie County (North Central) PUMA,3065,1481,1584,2870,1481,1389,195,0,195,2229,1090,1139,2175,1090,1085,54,0,54,534,304,230,393,304,89,141,0,141,302,87,215,302,87,215,0,0,0
43,Chautauqua County PUMA,608,369,239,533,294,239,75,75,0,326,87,239,326,87,239,0,0,0,227,227,0,152,152,0,75,75,0,55,55,0,55,55,0,0,0,0
44,Dutchess County (Southwest) PUMA,6106,3181,2925,4857,2996,1861,1249,185,1064,2202,1035,1167,1760,1035,725,442,0,442,3197,1944,1253,2713,1759,954,484,185,299,707,202,505,384,202,182,323,0,323
