,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,1034157,563735,470422,1000414,546449,453965,33743,17286,16457,424850,212372,212478,411441,203814,207627,13409,8558,4851,470832,263915,206917,454960,257482,197478,15872,6433,9439,138475,87448,51027,134013,85153,48860,4462,2295,2167
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",16841,9887,6954,16428,9637,6791,413,250,163,7266,3449,3817,6853,3199,3654,413,250,163,8421,5586,2835,8421,5586,2835,0,0,0,1154,852,302,1154,852,302,0,0,0
2,Ulster County (East) PUMA,1982,682,1300,1766,466,1300,216,216,0,480,292,188,400,212,188,80,80,0,1109,307,802,973,171,802,136,136,0,393,83,310,393,83,310,0,0,0
3,Albany County (East Central)--Albany City PUMA,3717,2114,1603,3717,2114,1603,0,0,0,1578,619,959,1578,619,959,0,0,0,1883,1239,644,1883,1239,644,0,0,0,256,256,0,256,256,0,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1037,210,827,1037,210,827,0,0,0,638,210,428,638,210,428,0,0,0,0,0,0,0,0,0,0,0,0,399,0,399,399,0,399,0,0,0
5,Ontario & Yates Counties PUMA,712,195,517,570,195,375,142,0,142,398,195,203,398,195,203,0,0,0,314,0,314,172,0,172,142,0,142,0,0,0,0,0,0,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1693,915,778,1693,915,778,0,0,0,1082,915,167,1082,915,167,0,0,0,578,0,578,578,0,578,0,0,0,33,0,33,33,0,33,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,14715,7438,7277,14143,7061,7082,572,377,195,5383,3018,2365,5079,2776,2303,304,242,62,7644,3152,4492,7511,3152,4359,133,0,133,1688,1268,420,1553,1133,420,135,135,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",378,110,268,243,60,183,135,50,85,177,110,67,127,60,67,50,50,0,100,0,100,15,0,15,85,0,85,101,0,101,101,0,101,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,2028,1322,706,1942,1236,706,86,86,0,920,406,514,920,406,514,0,0,0,661,562,99,575,476,99,86,86,0,447,354,93,447,354,93,0,0,0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",15793,8901,6892,14433,8295,6138,1360,606,754,3475,1929,1546,3393,1847,1546,82,82,0,8246,4900,3346,7553,4778,2775,693,122,571,4072,2072,2000,3487,1670,1817,585,402,183
11,Livingston & Wyoming Counties PUMA,865,508,357,865,508,357,0,0,0,607,487,120,607,487,120,0,0,0,58,0,58,58,0,58,0,0,0,200,21,179,200,21,179,0,0,0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,5423,2667,2756,4666,1910,2756,757,757,0,2901,1572,1329,2144,815,1329,757,757,0,2346,1095,1251,2346,1095,1251,0,0,0,176,0,176,176,0,176,0,0,0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,8179,5069,3110,7481,4958,2523,698,111,587,1797,764,1033,1714,764,950,83,0,83,4208,3485,723,4208,3485,723,0,0,0,2174,820,1354,1559,709,850,615,111,504
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,2980,1584,1396,2980,1584,1396,0,0,0,1677,1215,462,1677,1215,462,0,0,0,871,61,810,871,61,810,0,0,0,432,308,124,432,308,124,0,0,0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,7470,4180,3290,7444,4180,3264,26,0,26,5079,3087,1992,5079,3087,1992,0,0,0,1564,730,834,1538,730,808,26,0,26,827,363,464,827,363,464,0,0,0
16,Monroe County (Central)--Rochester City (East) PUMA,1031,461,570,950,380,570,81,81,0,542,441,101,461,360,101,81,81,0,183,20,163,183,20,163,0,0,0,306,0,306,306,0,306,0,0,0
17,Westchester County (Northwest) PUMA,8577,4539,4038,8577,4539,4038,0,0,0,3105,1766,1339,3105,1766,1339,0,0,0,4448,2151,2297,4448,2151,2297,0,0,0,1024,622,402,1024,622,402,0,0,0
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,5263,3216,2047,5263,3216,2047,0,0,0,1692,843,849,1692,843,849,0,0,0,3082,2014,1068,3082,2014,1068,0,0,0,489,359,130,489,359,130,0,0,0
19,Onondaga County (Central)--Syracuse City PUMA,3043,1570,1473,2411,1410,1001,632,160,472,1451,651,800,1245,614,631,206,37,169,1357,796,561,931,673,258,426,123,303,235,123,112,235,123,112,0,0,0
20,Westchester County (Northeast) PUMA,5816,3138,2678,5450,3063,2387,366,75,291,1925,1029,896,1803,1029,774,122,0,122,2116,1307,809,2041,1232,809,75,75,0,1775,802,973,1606,802,804,169,0,169
21,Madison & Cortland Counties PUMA,240,42,198,240,42,198,0,0,0,160,42,118,160,42,118,0,0,0,0,0,0,0,0,0,0,0,0,80,0,80,80,0,80,0,0,0
22,Erie County (West Central)--Buffalo City (West) PUMA,3904,2169,1735,3641,2115,1526,263,54,209,1267,745,522,1267,745,522,0,0,0,1185,691,494,1032,691,341,153,0,153,1452,733,719,1342,679,663,110,54,56
23,Monroe County (Central)--Rochester City (West) PUMA,2077,1526,551,1892,1422,470,185,104,81,332,332,0,332,332,0,0,0,0,1519,968,551,1334,864,470,185,104,81,226,226,0,226,226,0,0,0,0
24,Suffolk County (Central)--Islip Town (East) PUMA,2064,1024,1040,2064,1024,1040,0,0,0,1214,588,626,1214,588,626,0,0,0,689,436,253,689,436,253,0,0,0,161,0,161,161,0,161,0,0,0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,2253,1414,839,2253,1414,839,0,0,0,1269,1001,268,1269,1001,268,0,0,0,897,326,571,897,326,571,0,0,0,87,87,0,87,87,0,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",13404,7695,5709,12796,7425,5371,608,270,338,2722,1514,1208,2722,1514,1208,0,0,0,6997,3938,3059,6649,3780,2869,348,158,190,3685,2243,1442,3425,2131,1294,260,112,148
27,St. Lawrence County PUMA,373,174,199,242,174,68,131,0,131,227,174,53,227,174,53,0,0,0,146,0,146,15,0,15,131,0,131,0,0,0,0,0,0,0,0,0
28,Columbia & Greene Counties PUMA,334,277,57,334,277,57,0,0,0,160,127,33,160,127,33,0,0,0,174,150,24,174,150,24,0,0,0,0,0,0,0,0,0,0,0,0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,3881,1742,2139,3815,1676,2139,66,66,0,3147,1316,1831,3081,1250,1831,66,66,0,510,202,308,510,202,308,0,0,0,224,224,0,224,224,0,0,0,0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",21234,12873,8361,20785,12672,8113,449,201,248,10281,5993,4288,10053,5864,4189,228,129,99,9659,6314,3345,9438,6242,3196,221,72,149,1294,566,728,1294,566,728,0,0,0
31,Monroe County (North & West) PUMA,139,53,86,139,53,86,0,0,0,0,0,0,0,0,0,0,0,0,139,53,86,139,53,86,0,0,0,0,0,0,0,0,0,0,0,0
32,Schenectady County--Schenectady City PUMA,2689,1503,1186,2689,1503,1186,0,0,0,1268,701,567,1268,701,567,0,0,0,1364,745,619,1364,745,619,0,0,0,57,57,0,57,57,0,0,0,0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",6855,3046,3809,6855,3046,3809,0,0,0,1826,932,894,1826,932,894,0,0,0,3086,1114,1972,3086,1114,1972,0,0,0,1943,1000,943,1943,1000,943,0,0,0
34,Niagara County (North & East) PUMA,204,91,113,204,91,113,0,0,0,168,75,93,168,75,93,0,0,0,20,0,20,20,0,20,0,0,0,16,16,0,16,16,0,0,0,0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,3227,2017,1210,3148,1938,1210,79,79,0,948,545,403,869,466,403,79,79,0,1947,1472,475,1947,1472,475,0,0,0,332,0,332,332,0,332,0,0,0
