,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
58,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,7855,2406,1127,1279,4793,2362,2431,656,101,555
59,Jefferson & Lewis Counties PUMA,1746,813,557,256,756,60,696,177,161,16
60,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,8429,3033,1716,1317,3951,1246,2705,1445,1053,392
61,Schenectady County--Schenectady City PUMA,2531,1423,599,824,675,460,215,433,433,0
62,NYC-Queens Community District 1--Astoria & Long Island City PUMA,30053,12855,5427,7428,14102,7666,6436,3096,2207,889
63,Suffolk County (North Central)--Brookhaven Town (North) PUMA,5075,4796,2211,2585,279,109,170,0,0,0
64,Fulton & Montgomery Counties PUMA,1499,416,325,91,918,271,647,165,114,51
65,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,6520,1364,770,594,3621,1802,1819,1535,949,586
66,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",6881,4372,1392,2980,2116,793,1323,393,171,222
67,Oswego County PUMA,1002,512,185,327,430,77,353,60,48,12
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",33807,14549,7427,7122,16661,8607,8054,2597,1679,918
69,Monroe County (Central)--Rochester City (East) PUMA,3761,723,525,198,2443,1808,635,595,518,77
70,Westchester County (Northeast) PUMA,10330,4818,1987,2831,2934,1389,1545,2578,1856,722
71,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",17650,2269,776,1493,11010,6587,4423,4371,2961,1410
72,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",44911,17853,8302,9551,22545,11154,11391,4513,2141,2372
73,Onondaga County (North) PUMA,2070,1187,538,649,772,264,508,111,37,74
74,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,8727,2642,1200,1442,5341,3444,1897,744,511,233
75,Monroe County (South) PUMA,9758,5181,2316,2865,3634,1455,2179,943,350,593
76,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",27202,13722,6845,6877,10941,6001,4940,2539,1292,1247
77,Rensselaer County--Troy City PUMA,3305,1951,762,1189,1182,678,504,172,172,0
78,Suffolk County (Central)--Islip Town (East) PUMA,5069,2285,1662,623,2784,1180,1604,0,0,0
79,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,14995,6189,2681,3508,7771,4523,3248,1035,977,58
80,Ontario & Yates Counties PUMA,774,463,240,223,219,117,102,92,92,0
81,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,9755,3362,1593,1769,4169,1990,2179,2224,1435,789
82,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,7413,2752,1352,1400,3656,1976,1680,1005,251,754
83,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",17184,7253,3212,4041,8561,4700,3861,1370,1278,92
84,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",13339,3680,1786,1894,6601,3370,3231,3058,2142,916
85,Chautauqua County PUMA,824,222,222,0,602,130,472,0,0,0
86,Orange County (Southeast) PUMA,7461,2656,1101,1555,3743,1982,1761,1062,306,756
87,Monroe County (East) PUMA,3513,1556,1126,430,1673,904,769,284,47,237
88,Broome (Outer West) & Tioga Counties PUMA,1217,675,318,357,361,123,238,181,70,111
89,Suffolk County (East) PUMA,12725,2269,1344,925,9251,4394,4857,1205,691,514
90,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",9555,4026,2081,1945,4104,1868,2236,1425,919,506
91,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,23987,5955,2847,3108,13207,6095,7112,4825,1929,2896
92,Albany County (Outside Albany City) PUMA,8074,4693,1902,2791,2140,1217,923,1241,421,820
93,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",18750,2852,1243,1609,13360,5572,7788,2538,1211,1327
94,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",14131,8505,4024,4481,3979,2312,1667,1647,1384,263
95,Nassau County (West Central)--Hempstead Town (West Central) PUMA,12032,5012,2368,2644,6424,3312,3112,596,390,206
96,Erie County (West Central)--Buffalo City (East) PUMA,2260,875,416,459,1212,618,594,173,106,67
97,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,31574,21796,9111,12685,8242,4094,4148,1536,1013,523
98,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",26688,10218,4533,5685,13836,7348,6488,2634,863,1771
99,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",14519,4037,2091,1946,7643,4816,2827,2839,1781,1058
100,Madison & Cortland Counties PUMA,1079,901,308,593,178,71,107,0,0,0
101,Nassau County (Central)--Hempstead Town (East Central) PUMA,4296,2986,1594,1392,1077,337,740,233,96,137
102,Nassau County (West Central)--North Hempstead Town (South) PUMA,20041,10902,4464,6438,7857,4469,3388,1282,539,743
103,Westchester County (Central)--White Plains City PUMA,18985,11524,5090,6434,6214,2478,3736,1247,1013,234
104,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",14234,6968,2525,4443,6545,3814,2731,721,533,188
105,Suffolk County (Northwest)--Huntington Town (South) PUMA,5370,3018,1280,1738,2231,1223,1008,121,121,0
106,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,16323,7680,3435,4245,6732,3424,3308,1911,695,1216
107,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,23318,11094,4845,6249,10359,6233,4126,1865,866,999
108,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,18995,5790,3318,2472,7441,4136,3305,5764,2784,2980
109,Suffolk County (Northwest)--Huntington Town (North) PUMA,7333,2480,966,1514,2870,843,2027,1983,1193,790
110,Suffolk County (Southwest)--Islip Town (South) PUMA,4332,1918,657,1261,1694,874,820,720,488,232
111,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",14652,4305,1220,3085,8561,3919,4642,1786,978,808
112,Ulster County (East) PUMA,3048,1253,328,925,1416,887,529,379,238,141
113,NYC-Manhattan Community District 10--Central Harlem PUMA,11951,5654,2416,3238,5775,3481,2294,522,478,44
114,NYC-Brooklyn Community District 4--Bushwick PUMA,17838,5714,3170,2544,8213,4739,3474,3911,1996,1915
115,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",8313,3863,1196,2667,4216,2356,1860,234,83,151
116,Oneida County (Central)--Greater Utica & Rome Cities PUMA,6561,1307,526,781,4101,1919,2182,1153,505,648
